energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-5.08754377,2.68794763,0.13297435,0.00000000,0.78249338,0.75037144,0.04375468,1.01204083
-5.08154077,2.59845356,0.12840723,0.00000000,0.75269484,0.73327072,0.04102611,0.97758315
-5.07553777,2.51331170,0.12449993,0.00000000,0.72405251,0.71709917,0.03844328,0.94441452
-5.06953477,2.43386211,0.12130193,0.00000000,0.69702419,0.70223944,0.03603654,0.91304182
-5.06353177,2.36125221,0.11884655,0.00000000,0.67201873,0.68902895,0.03382932,0.88390408
-5.05752876,2.29641363,0.11715084,0.00000000,0.64938695,0.67775263,0.03183792,0.85736288
-5.05152576,2.24004675,0.11621605,0.00000000,0.62941471,0.66863755,0.03007142,0.83369567
-5.04552276,2.19261321,0.11602842,0.00000000,0.61231812,0.66184950,0.02853191,0.81309213
-5.03951976,2.15433593,0.11656042,0.00000000,0.59824109,0.65749145,0.02721487,0.79565346
-5.03351676,2.12520627,0.11777211,0.00000000,0.58725499,0.65560385,0.02610974,0.78139448
-5.02751376,2.10499726,0.11961281,0.00000000,0.57936035,0.65616650,0.02520066,0.77024826
-5.02151076,2.09328216,0.12202277,0.00000000,0.57449046,0.65910180,0.02446733,0.76207298
-5.01550775,2.08945708,0.12493487,0.00000000,0.57251647,0.66427905,0.02388593,0.75666055
-5.00950475,2.09276655,0.12827628,0.00000000,0.57325386,0.67151967,0.02343014,0.75374656
-5.00350175,2.10233094,0.13197001,0.00000000,0.57646990,0.68060294,0.02307217,0.75302110
-4.99749875,2.11717468,0.13593637,0.00000000,0.58189183,0.69127208,0.02278375,0.75414010
-4.99149575,2.13625431,0.14009421,0.00000000,0.58921553,0.70324052,0.02253710,0.75673663
-4.98549275,2.15848559,0.14436214,0.00000000,0.59811437,0.71619806,0.02230583,0.76043189
-4.97948974,2.18276920,0.14865951,0.00000000,0.60824814,0.72981708,0.02206574,0.76484555
-4.97348674,2.20801442,0.15290736,0.00000000,0.61927172,0.74375843,0.02179544,0.76960529
-4.96748374,2.23316074,0.15702929,0.00000000,0.63084355,0.75767730,0.02147693,0.77435525
-4.96148074,2.25719719,0.16095232,0.00000000,0.64263365,0.77122888,0.02109594,0.77876337
-4.95547774,2.27917950,0.16460772,0.00000000,0.65433113,0.78407394,0.02064214,0.78252756
-4.94947474,2.29824522,0.16793187,0.00000000,0.66565114,0.79588445,0.02010923,0.78538076
-4.94347174,2.31362688,0.17086719,0.00000000,0.67634124,0.80634916,0.01949485,0.78709488
-4.93746873,2.32466355,0.17336312,0.00000000,0.68618701,0.81517929,0.01880033,0.78748376
-4.93146573,2.33081078,0.17537705,0.00000000,0.69501691,0.82211427,0.01803040,0.78640522
-4.92546273,2.33164914,0.17687542,0.00000000,0.70270634,0.82692746,0.01719271,0.78376233
-4.91945973,2.32689134,0.17783460,0.00000000,0.70918070,0.82943192,0.01629739,0.77950398
-4.91345673,2.31638794,0.17824185,0.00000000,0.71441754,0.82948584,0.01535645,0.77362483
-4.90745373,2.30013147,0.17809608,0.00000000,0.71844751,0.82699770,0.01438322,0.76616471
-4.90145073,2.27825877,0.17740836,0.00000000,0.72135417,0.82193082,0.01339185,0.75720755
-4.89544772,2.25105136,0.17620232,0.00000000,0.72327263,0.81430717,0.01239671,0.74687977
-4.88944472,2.21893362,0.17451411,0.00000000,0.72438683,0.80421013,0.01141196,0.73534828
-4.88344172,2.18246841,0.17239209,0.00000000,0.72492571,0.79178605,0.01045114,0.72281791
-4.87743872,2.14235012,0.16989611,0.00000000,0.72515806,0.77724439,0.00952682,0.70952845
-4.87143572,2.09939491,0.16709648,0.00000000,0.72538644,0.76085642,0.00865038,0.69575113
-4.86543272,2.05452816,0.16407253,0.00000000,0.72594007,0.74295214,0.00783183,0.68178466
-4.85942971,2.00876923,0.16091081,0.00000000,0.72716702,0.72391567,0.00707975,0.66795072
-4.85342671,1.96321366,0.15770313,0.00000000,0.72942590,0.70417902,0.00640130,0.65458908
-4.84742371,1.91901316,0.15454421,0.00000000,0.73307723,0.68421422,0.00580229,0.64205221
-4.84142071,1.87735373,0.15152935,0.00000000,0.73847481,0.66452428,0.00528731,0.63069956
-4.83541771,1.83943237,0.14875198,0.00000000,0.74595722,0.64563285,0.00485996,0.62089147
-4.82941471,1.80643286,0.14630115,0.00000000,0.75583974,0.62807301,0.00452298,0.61298287
-4.82341171,1.77950109,0.14425930,0.00000000,0.76840675,0.61237551,0.00427854,0.60731679
-4.81740870,1.75972054,0.14270002,0.00000000,0.78390485,0.59905661,0.00412844,0.60421773
-4.81140570,1.74808833,0.14168619,0.00000000,0.80253666,0.58860591,0.00407430,0.60398507
-4.80540270,1.74549228,0.14126831,0.00000000,0.82445540,0.58147455,0.00411779,0.60688645
-4.79939970,1.75268954,0.14148320,0.00000000,0.84976022,0.57806390,0.00426072,0.61315144
-4.79339670,1.77028707,0.14235306,0.00000000,0.87849228,0.57871526,0.00450515,0.62296533
-4.78739370,1.79872447,0.14388480,0.00000000,0.91063153,0.58370056,0.00485345,0.63646336
-4.78139070,1.83825933,0.14606986,0.00000000,0.94609422,0.59321466,0.00530827,0.65372549
-4.77538769,1.88895575,0.14888427,0.00000000,0.98473110,0.60736904,0.00587242,0.67477169
-4.76938469,1.95067601,0.15228906,0.00000000,1.02632643,0.62618752,0.00654880,0.69955814
-4.76338169,2.02307600,0.15623106,0.00000000,1.07059779,0.64960372,0.00734012,0.72797434
-4.75737869,2.10560456,0.16064395,0.00000000,1.11719690,0.67746078,0.00824872,0.75984136
-4.75137569,2.19750696,0.16544958,0.00000000,1.16571161,0.70951307,0.00927626,0.79491138
-4.74537269,2.29783288,0.17055955,0.00000000,1.21566910,0.74543006,0.01042334,0.83286876
-4.73936968,2.40544875,0.17587711,0.00000000,1.26654071,0.78480233,0.01168925,0.87333257
-4.73336668,2.51905475,0.18129911,0.00000000,1.31774824,0.82714946,0.01307157,0.91586093
-4.72736368,2.63720600,0.18671827,0.00000000,1.36867202,0.87192972,0.01456583,0.95995698
-4.72136068,2.75833797,0.19202545,0.00000000,1.41866076,0.91855142,0.01616526,1.00507652
-4.71535768,2.88079543,0.19711208,0.00000000,1.46704297,0.96638533,0.01786051,1.05063733
-4.70935468,3.00286449,0.20187260,0.00000000,1.51313992,1.01477816,0.01963947,1.09602981
-4.70335168,3.12280684,0.20620679,0.00000000,1.55627986,1.06306649,0.02148718,1.14062891
