energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-2.37418709,1.19913585,0.13019928,0.40808051,0.00008378,0.01968500,0.00040889,0.52888524,0.17625546,0.17539057
-2.36818409,1.26571418,0.14004240,0.43066852,0.00006596,0.02187532,0.00042515,0.55711475,0.19146927,0.18323871
-2.36218109,1.33605824,0.15065835,0.45423435,0.00005209,0.02417105,0.00046141,0.58693520,0.20715064,0.19197584
-2.35617809,1.40910122,0.16193520,0.47837153,0.00004148,0.02655347,0.00051761,0.61785899,0.22312053,0.20151406
-2.35017509,1.48373869,0.17375476,0.50266392,0.00003355,0.02900159,0.00059405,0.64937604,0.23918626,0.21176323
-2.34417209,1.55885283,0.18599468,0.52669479,0.00002782,0.03149262,0.00069134,0.68096565,0.25514578,0.22263246
-2.33816908,1.63333726,0.19853075,0.55005637,0.00002389,0.03400243,0.00081034,0.71210901,0.27079248,0.23403144
-2.33216608,1.70612188,0.21123934,0.57235937,0.00002144,0.03650625,0.00095206,0.74230165,0.28592047,0.24587111
-2.32616308,1.77619668,0.22399983,0.59324227,0.00002023,0.03897939,0.00111763,0.77106577,0.30032992,0.25806408
-2.32016008,1.84263381,0.23669703,0.61238001,0.00002003,0.04139789,0.00130816,0.79796171,0.31383254,0.27052441
-2.31415708,1.90460688,0.24922330,0.62949171,0.00002070,0.04373939,0.00152473,0.82259832,0.32625670,0.28316711
-2.30815408,1.96140688,0.26148050,0.64434711,0.00002210,0.04598373,0.00176825,0.84464178,0.33745217,0.29590713
-2.30215108,2.01245408,0.27338145,0.65677147,0.00002414,0.04811368,0.00203940,0.86382253,0.34729419,0.30865808
-2.29614807,2.05730528,0.28485093,0.66664864,0.00002674,0.05011543,0.00233854,0.87993999,0.35568665,0.32133081
-2.29014507,2.09565636,0.29582619,0.67392228,0.00002985,0.05197901,0.00266568,0.89286494,0.36256435,0.33383184
-2.28414207,2.12734005,0.30625686,0.67859501,0.00003341,0.05369855,0.00302036,0.90253949,0.36789415,0.34606197
-2.27813907,2.15231905,0.31610432,0.68072565,0.00003738,0.05527231,0.00340163,0.90897460,0.37167500,0.35791514
-2.27213607,2.17067508,0.32534063,0.68042454,0.00004172,0.05670259,0.00380800,0.91224534,0.37393682,0.36927770
-2.26613307,2.18259442,0.33394691,0.67784734,0.00004639,0.05799543,0.00423738,0.91248421,0.37473840,0.38002829
-2.26013007,2.18835076,0.34191158,0.67318734,0.00005136,0.05916012,0.00468714,0.90987270,0.37416429,0.39003845
-2.25412706,2.18828643,0.34922823,0.66666683,0.00005658,0.06020858,0.00515403,0.90463163,0.37232097,0.39917398
-2.24812406,2.18279279,0.35589360,0.65852784,0.00006201,0.06115464,0.00563424,0.89701071,0.36933236,0.40729727
-2.24212106,2.17229098,0.36190555,0.64902258,0.00006759,0.06201316,0.00612346,0.88727779,0.36533500,0.41427032
-2.23611806,2.15721377,0.36726132,0.63840418,0.00007328,0.06279921,0.00661689,0.87570828,0.36047301,0.41995872
-2.23011506,2.13798954,0.37195619,0.62691789,0.00007902,0.06352719,0.00710933,0.86257515,0.35489318,0.42423614
-2.22411206,2.11502883,0.37598256,0.61479319,0.00008475,0.06420997,0.00759530,0.84814002,0.34874019,0.42698944
-2.21810905,2.08871412,0.37932965,0.60223718,0.00009040,0.06485818,0.00806909,0.83264550,0.34215240,0.42812393
-2.21210605,2.05939295,0.38198378,0.58942925,0.00009592,0.06547961,0.00852488,0.81630919,0.33525806,0.42756875
-2.20610305,2.02737454,0.38392928,0.57651737,0.00010124,0.06607872,0.00895692,0.79931930,0.32817237,0.42528195
-2.20010005,1.99292975,0.38515000,0.56361601,0.00010630,0.06665642,0.00935955,0.78183209,0.32099516,0.42125510
-2.19409705,1.95629405,0.38563138,0.55080557,0.00011104,0.06720996,0.00972745,0.76397106,0.31380948,0.41551708
-2.18809405,1.91767301,0.38536292,0.53813342,0.00011541,0.06773308,0.01005566,0.74582767,0.30668088,0.40813688
-2.18209105,1.87724994,0.38434100,0.52561623,0.00011937,0.06821638,0.01033979,0.72746357,0.29965754,0.39922530
-2.17608804,1.83519475,0.38257189,0.51324354,0.00012286,0.06864776,0.01057605,0.70891402,0.29277108,0.38893525
-2.17008504,1.79167370,0.38007474,0.50098223,0.00012587,0.06901320,0.01076145,0.69019219,0.28603791,0.37746076
-2.16408204,1.74685919,0.37688441,0.48878172,0.00012838,0.06929751,0.01089381,0.67129424,0.27946122,0.36503458
-2.15807904,1.70093902,0.37305402,0.47657953,0.00013038,0.06948522,0.01097189,0.65220463,0.27303321,0.35192441
-2.15207604,1.65412461,0.36865686,0.46430704,0.00013187,0.06956158,0.01099541,0.63290168,0.26673778,0.33842805
-2.14607304,1.60665765,0.36378771,0.45189514,0.00013289,0.06951342,0.01096510,0.61336282,0.26055314,0.32486725
-2.14007004,1.55881478,0.35856328,0.43927949,0.00013346,0.06933011,0.01088270,0.59356956,0.25445466,0.31158087
-2.13406703,1.51090995,0.35312169,0.42640527,0.00013364,0.06900429,0.01075093,0.57351185,0.24841745,0.29891716
-2.12806403,1.46329435,0.34762087,0.41323115,0.00013348,0.06853249,0.01057347,0.55319162,0.24241880,0.28722561
-2.12206103,1.41635359,0.34223589,0.39973240,0.00013306,0.06791564,0.01035486,0.53262552,0.23644032,0.27684849
-2.11605803,1.37050231,0.33715510,0.38590302,0.00013247,0.06715927,0.01010041,0.51184667,0.23046960,0.26811225
-2.11005503,1.32617619,0.33257529,0.37175687,0.00013178,0.06627352,0.00981607,0.49090541,0.22450148,0.26131906
-2.10405203,1.28382155,0.32869579,0.35732768,0.00013111,0.06527295,0.00950829,0.46986903,0.21853875,0.25673856
-2.09804902,1.24388293,0.32571177,0.34266819,0.00013053,0.06417605,0.00918387,0.44882057,0.21259231,0.25460016
-2.09204602,1.20678901,0.32380698,0.32784823,0.00013016,0.06300458,0.00884975,0.42785672,0.20668081,0.25508591
-2.08604302,1.17293742,0.32314612,0.31295211,0.00013009,0.06178276,0.00851289,0.40708496,0.20082974,0.25832419
-2.08004002,1.14267908,0.32386715,0.29807531,0.00013038,0.06053624,0.00818005,0.38662010,0.19507014,0.26438445
-2.07403702,1.11630278,0.32607402,0.28332069,0.00013112,0.05929105,0.00785764,0.36658035,0.18943684,0.27327316
-2.06803402,1.09402090,0.32983000,0.26879445,0.00013236,0.05807251,0.00755158,0.34708316,0.18396652,0.28493107
-2.06203102,1.07595681,0.33515211,0.25460203,0.00013414,0.05690412,0.00726718,0.32824107,0.17869558,0.29923216
-2.05602801,1.06213511,0.34200698,0.24084414,0.00013648,0.05580662,0.00700905,0.31015772,0.17365806,0.31598433
-2.05002501,1.05247512,0.35030837,0.22761311,0.00013938,0.05479713,0.00678101,0.29292420,0.16888359,0.33493196
-2.04402201,1.04678849,0.35991678,0.21498976,0.00014284,0.05388848,0.00658616,0.27661609,0.16439575,0.35576063
-2.03801901,1.04478129,0.37064107,0.20304099,0.00014680,0.05308889,0.00642681,0.26129112,0.16021070,0.37810383
-2.03201601,1.04606086,0.38224246,0.19181805,0.00015124,0.05240176,0.00630460,0.24698783,0.15633635,0.40155177
-2.02601301,1.05014760,0.39444065,0.18135569,0.00015609,0.05182583,0.00622063,0.23372500,0.15277211,0.42566224
-2.02001001,1.05649127,0.40692203,0.17167216,0.00016128,0.05135566,0.00617553,0.22150223,0.14950921,0.44997311
-2.01400700,1.06449152,0.41934968,0.16277008,0.00016676,0.05098224,0.00616968,0.21030132,0.14653161,0.47401628
