energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-5.16558279,8.60607792,0.05957614,0.12032845,1.07455280,2.30064471,0.05208081,5.25069376,1.58607738,0.78232600
-5.15957979,8.64800137,0.05881800,0.12033678,1.07962550,2.30833982,0.05039913,5.28350396,1.60728133,0.79402205
-5.15357679,8.65747313,0.05781417,0.12015203,1.07997143,2.30842848,0.04854463,5.29610331,1.62308999,0.80297974
-5.14757379,8.63582800,0.05659098,0.11980343,1.07571037,2.30139329,0.04653118,5.28919221,1.63370457,0.80922329
-5.14157079,8.58511197,0.05518077,0.11932892,1.06708015,2.28786523,0.04437796,5.26390948,1.63945918,0.81283690
-5.13556778,8.50798219,0.05362074,0.11877304,1.05442687,2.26859151,0.04210841,5.22177622,1.64080433,0.81395904
-5.12956478,8.40759022,0.05195170,0.11818447,1.03819198,2.24440063,0.03974918,5.16462940,1.63828698,0.81277548
-5.12356178,8.28745415,0.05021663,0.11761350,1.01889681,2.21616608,0.03732901,5.09454836,1.63252787,0.80951125
-5.11755878,8.15132571,0.04845922,0.11710951,0.99712517,2.18477082,0.03487761,5.01377762,1.62419739,0.80442204
-5.11155578,8.00305797,0.04672244,0.11671857,0.97350478,2.15107376,0.03242457,4.92464957,1.61399093,0.79778542
-5.10555278,7.84647961,0.04504710,0.11648120,0.94868810,2.11588008,0.02999843,4.82951011,1.60260476,0.78989233
-5.09954977,7.68528065,0.04347063,0.11643052,0.92333347,2.07991648,0.02762580,4.73065042,1.59071347,0.78103904
-5.09354677,7.52291405,0.04202590,0.11659076,0.89808711,2.04381230,0.02533066,4.63024730,1.57894984,0.77152015
-5.08754377,7.36251641,0.04074036,0.11697626,0.87356669,2.00808726,0.02313383,4.53031402,1.56788781,0.76162260
-5.08154077,7.20685010,0.03963526,0.11759100,0.85034693,1.97314591,0.02105257,4.43266307,1.55802914,0.75162093
-5.07553777,7.05826768,0.03872529,0.11842866,0.82894781,1.93927879,0.01910041,4.33888142,1.54979402,0.74177399
-5.06953477,6.91869867,0.03801834,0.11947321,0.80982549,1.90666992,0.01728706,4.25031834,1.54351583,0.73232282
-5.06353177,6.78965711,0.03751558,0.12070009,0.79336637,1.87540958,0.01561855,4.16808498,1.53943990,0.72348983
-5.05752876,6.67226797,0.03721178,0.12207776,0.77988407,1.84551170,0.01409742,4.09306469,1.53772610,0.71547901
-5.05152576,6.56730903,0.03709585,0.12356968,0.76961953,1.81693442,0.01272307,4.02593227,1.53845466,0.70847694
-5.04552276,6.47526473,0.03715158,0.12513663,0.76274378,1.78960248,0.01149218,3.96718007,1.54163481,0.70265438
-5.03951976,6.39638780,0.03735853,0.12673917,0.75936324,1.76343020,0.01039916,3.91714887,1.54721556,0.69816814
-5.03351676,6.33076442,0.03769306,0.12834012,0.75952703,1.73834353,0.00943665,3.87606104,1.55509772,0.69516294
-5.02751376,6.27837888,0.03812942,0.12990713,0.76323598,1.71430001,0.00859603,3.84405385,1.56514668,0.69377307
-5.02151076,6.23917379,0.03864087,0.13141493,0.77045260,1.69130551,0.00786788,3.82121064,1.57720505,0.69412352
-5.01550775,6.21310265,0.03920082,0.13284738,0.78111166,1.66942695,0.00724249,3.80758833,1.59110449,0.69633057
-5.00950475,6.20017201,0.03978387,0.13419909,0.79513074,1.64880029,0.00671023,3.80323949,1.60667632,0.70050157
-5.00350175,6.20047143,0.04036675,0.13547664,0.81242025,1.62963354,0.00626190,3.80822824,1.62376027,0.70673399
-4.99749875,6.21419019,0.04092916,0.13669926,0.83289241,1.61220483,0.00588904,3.82263922,1.64221115,0.71511375
-4.99149575,6.24162049,0.04145446,0.13789892,0.85646878,1.59685560,0.00558417,3.84657964,1.66190327,0.72571294
-4.98549275,6.28314784,0.04193008,0.13912001,0.88308604,1.58397960,0.00534088,3.88017468,1.68273254,0.73858702
-4.97948974,6.33922975,0.04234791,0.14041833,0.91269956,1.57400836,0.00515398,3.92355703,1.70461632,0.75377182
-4.97348674,6.41036495,0.04270428,0.14185974,0.94528492,1.56739394,0.00501950,3.97685145,1.72749141,0.77128049
-4.96748374,6.49705512,0.04299994,0.14351833,0.98083691,1.56459011,0.00493469,4.04015590,1.75131033,0.79110063
-4.96148074,6.59976198,0.04323973,0.14547427,1.01936645,1.56603279,0.00489789,4.11352039,1.77603634,0.81319191
-4.95547774,6.71886244,0.04343215,0.14781139,1.06089520,1.57212095,0.00490850,4.19692510,1.80163779,0.83748432
-4.94947474,6.85460426,0.04358873,0.15061463,1.10544835,1.58319881,0.00496676,4.29025930,1.82808203,0.86387720
-4.94347174,7.00706495,0.04372335,0.15396737,1.15304584,1.59954017,0.00507366,4.39330225,1.85532953,0.89223923
-4.93746873,7.17611578,0.04385148,0.15794886,1.20369234,1.62133552,0.00523071,4.50570718,1.88332840,0.92240940
-4.93146573,7.36139273,0.04398928,0.16263163,1.25736661,1.64868248,0.00543978,4.62698939,1.91200984,0.95419884
-4.92546273,7.56227555,0.04415287,0.16807921,1.31401058,1.68157972,0.00570292,4.75651894,1.94128459,0.98739368
-4.91945973,7.77787576,0.04435741,0.17434394,1.37351890,1.71992457,0.00602218,4.89351838,1.97104060,1.02175853
-4.91345673,8.00703383,0.04461646,0.18146517,1.43572935,1.76351408,0.00639944,5.03706559,2.00114207,1.05704063
-4.90745373,8.24832551,0.04494122,0.18946774,1.50041480,1.81204943,0.00683626,5.18610177,2.03142962,1.09297435
-4.90145073,8.50007686,0.04534007,0.19836078,1.56727709,1.86514325,0.00733376,5.33944402,2.06172173,1.12928600
-4.89544772,8.76038730,0.04581809,0.20813695,1.63594353,1.92232936,0.00789244,5.49580237,2.09181724,1.16569855
-4.88944472,9.02715980,0.04637681,0.21877204,1.70596602,1.98307444,0.00851218,5.65380053,2.12149867,1.20193633
-4.88344172,9.29813723,0.04701411,0.23022501,1.77682347,2.04679120,0.00919207,5.81199981,2.15053628,1.23772937
-4.87743872,9.57094384,0.04772424,0.24243835,1.84792734,2.11285236,0.00993040,5.96892556,2.17869271,1.27281755
-4.87143572,9.84313064,0.04849799,0.25533897,1.91863043,2.18060514,0.01072462,6.12309547,2.20572785,1.30695423
-4.86543272,10.11222377,0.04932306,0.26883942,1.98823879,2.24938573,0.01157133,6.27304901,2.23140411,1.33990957
-4.85942971,10.37577459,0.05018443,0.28283951,2.05602633,2.31853341,0.01246625,6.41737739,2.25549163,1.37147352
-4.85342671,10.63141037,0.05106497,0.29722827,2.12125173,2.38740407,0.01340429,6.55475315,2.27777353,1.40145847
-4.84742371,10.87688440,0.05194602,0.31188629,2.18317703,2.45538278,0.01437956,6.68395890,2.29805111,1.42970167
-4.84142071,11.11012435,0.05280806,0.32668823,2.24108723,2.52189532,0.01538542,6.80391419,2.31614873,1.45606741
-4.83541771,11.32927746,0.05363135,0.34150564,2.29430998,2.58641852,0.01641458,6.91369997,2.33191843,1.48044904
-4.82941471,11.53275134,0.05439666,0.35620986,2.34223463,2.64848918,0.01745915,7.01257962,2.34524413,1.50277078
-4.82341171,11.71924907,0.05508581,0.37067494,2.38432977,2.70771165,0.01851076,7.10001595,2.35604520,1.52298931
-4.81740870,11.88779717,0.05568230,0.38478062,2.42015839,2.76376380,0.01956065,7.17568335,2.36427936,1.54109495
-4.81140570,12.03776538,0.05617170,0.39841505,2.44939009,2.81640154,0.02059980,7.23947449,2.36994462,1.55711247
-4.80540270,12.16887710,0.05654206,0.41147734,2.47180961,2.86546156,0.02161905,7.29150099,2.37308014,1.57110120
-4.79939970,12.28120974,0.05678412,0.42387971,2.48732140,2.91086248,0.02260922,7.33208771,2.37376599,1.58315447
-4.79339670,12.37518453,0.05689148,0.43554929,2.49594989,2.95260430,0.02356128,7.36176067,2.37212131,1.59339804
-4.78739370,12.45154550,0.05686056,0.44642932,2.49783562,2.99076606,0.02446648,7.38122841,2.36830130,1.60198752
-4.78139070,12.51132817,0.05669053,0.45647988,2.49322721,3.02550179,0.02531650,7.39135752,2.36249245,1.60910457
-4.77538769,12.55581851,0.05638314,0.46567788,2.48246974,3.05703489,0.02610364,7.39314266,2.35490657,1.61495200
-4.76938469,12.58650335,0.05594241,0.47401659,2.46599000,3.08565074,0.02682090,7.38767220,2.34577338,1.61974755
-4.76338169,12.60501402,0.05537437,0.48150445,2.44427941,3.11168802,0.02746220,7.37609051,2.33533200,1.62371670
-4.75737869,12.61306491,0.05468664,0.48816334,2.41787525,3.13552858,0.02802247,7.35955826,2.32382175,1.62708457
-4.75137569,12.61238938,0.05388813,0.49402634,2.38734128,3.15758627,0.02849778,7.33921217,2.31147229,1.63006710
