energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.98999500,0.17422462,0.00165530,0.00000000,0.00117945,0.03549677,0.15438768,0.18090167
1.99599800,0.18524697,0.00189204,0.00000000,0.00122990,0.03836473,0.16631760,0.19062482
2.00200100,0.20039816,0.00220247,0.00000000,0.00133139,0.04195411,0.18128060,0.20489645
2.00800400,0.21972821,0.00259370,0.00000000,0.00148891,0.04626740,0.19927834,0.22378459
2.01400700,0.24329976,0.00307404,0.00000000,0.00170816,0.05130600,0.22030382,0.24737791
2.02001001,0.27118689,0.00365287,0.00000000,0.00199544,0.05707016,0.24434165,0.27578430
2.02601301,0.30347258,0.00434044,0.00000000,0.00235762,0.06355879,0.27136766,0.30912774
2.03201601,0.34024457,0.00514766,0.00000000,0.00280201,0.07076904,0.30134810,0.34754304
2.03801901,0.38158973,0.00608579,0.00000000,0.00333617,0.07869585,0.33423814,0.39116874
2.04402201,0.42758669,0.00716603,0.00000000,0.00396768,0.08733122,0.36997976,0.44013777
2.05002501,0.47829682,0.00839910,0.00000000,0.00470389,0.09666332,0.40849890,0.49456610
2.05602801,0.53375372,0.00979474,0.00000000,0.00555150,0.10667546,0.44970195,0.55453943
2.06203102,0.59395120,0.01136110,0.00000000,0.00651627,0.11734484,0.49347144,0.62009820
2.06803402,0.65883014,0.01310421,0.00000000,0.00760254,0.12864111,0.53966116,0.69122116
2.07403702,0.72826465,0.01502729,0.00000000,0.00881282,0.14052492,0.58809069,0.76780818
2.08004002,0.80204794,0.01713016,0.00000000,0.01014740,0.15294626,0.63853965,0.84966283
2.08604302,0.87987869,0.01940867,0.00000000,0.01160389,0.16584290,0.69074191,0.93647563
2.09204602,0.96134860,0.02185415,0.00000000,0.01317689,0.17913893,0.74438008,1.02780880
2.09804902,1.04593207,0.02445299,0.00000000,0.01485769,0.19274351,0.79908089,1.12308372
2.10405203,1.13297877,0.02718636,0.00000000,0.01663404,0.20654992,0.85441161,1.22157196
2.11005503,1.22171015,0.03003007,0.00000000,0.01849010,0.22043515,0.90987845,1.32239097
2.11605803,1.31122057,0.03295463,0.00000000,0.02040642,0.23426007,0.96492704,1.42450550
2.12206103,1.40048378,0.03592550,0.00000000,0.02236017,0.24787024,1.01894569,1.52673528
2.12806403,1.48836526,0.03890362,0.00000000,0.02432540,0.26109764,1.07127159,1.62776962
2.13406703,1.57364045,0.04184606,0.00000000,0.02627359,0.27376306,1.12120032,1.72618907
2.14007004,1.65501899,0.04470701,0.00000000,0.02817420,0.28567949,1.16799855,1.82049392
2.14607304,1.73117422,0.04743884,0.00000000,0.02999547,0.29665617,1.21091983,1.90913905
2.15207604,1.80077741,0.04999342,0.00000000,0.03170523,0.30650341,1.24922308,1.99057394
2.15807904,1.86253528,0.05232346,0.00000000,0.03327185,0.31503791,1.28219320,2.06328676
2.16408204,1.91522960,0.05438397,0.00000000,0.03466518,0.32208838,1.30916298,2.12585049
2.17008504,1.95775703,0.05613370,0.00000000,0.03585751,0.32750127,1.32953535,2.17696943
2.17608804,1.98916745,0.05753650,0.00000000,0.03682452,0.33114635,1.34280511,2.21552377
2.18209105,2.00869898,0.05856256,0.00000000,0.03754604,0.33292183,1.34857877,2.24061025
2.18809405,2.01580785,0.05918946,0.00000000,0.03800679,0.33275870,1.34659168,2.25157678
2.19409705,2.01019156,0.05940298,0.00000000,0.03819692,0.33062422,1.33672139,2.24804930
2.20010005,1.99180418,0.05919763,0.00000000,0.03811232,0.32652416,1.31899647,2.22994939
2.20610305,1.96086271,0.05857684,0.00000000,0.03775482,0.32050378,1.29360016,2.19750170
2.21210605,1.91784420,0.05755292,0.00000000,0.03713210,0.31264743,1.26086854,2.15123061
2.21810905,1.86347356,0.05614656,0.00000000,0.03625738,0.30307676,1.22128330,2.09194628
2.22411206,1.79870267,0.05438620,0.00000000,0.03514904,0.29194756,1.17545914,2.02072055
2.23011506,1.72468164,0.05230701,0.00000000,0.03382987,0.27944548,1.12412656,1.93885405
2.23611806,1.64272358,0.04994970,0.00000000,0.03232639,0.26578066,1.06811064,1.84783570
2.24212106,1.55426451,0.04735922,0.00000000,0.03066790,0.25118173,1.00830689,1.74929683
2.24812406,1.46082035,0.04458326,0.00000000,0.02888556,0.23588918,0.94565519,1.64496184
2.25412706,1.36394267,0.04167086,0.00000000,0.02701142,0.22014865,0.88111311,1.53659757
2.26013007,1.26517533,0.03867092,0.00000000,0.02507750,0.20420427,0.81562956,1.42596366
2.26613307,1.16601365,0.03563086,0.00000000,0.02311483,0.18829234,0.75012006,1.31476586
2.27213607,1.06786763,0.03259546,0.00000000,0.02115278,0.17263564,0.68544449,1.20461391
2.27813907,0.97203050,0.02960579,0.00000000,0.01921825,0.15743851,0.62238808,1.09698562
2.28414207,0.87965346,0.02669845,0.00000000,0.01733526,0.14288289,0.56164619,0.99319794
2.29014507,0.79172717,0.02390494,0.00000000,0.01552447,0.12912532,0.50381332,0.89438580
2.29614807,0.70907007,0.02125132,0.00000000,0.01380299,0.11629501,0.44937633,0.80148865
2.30215108,0.63232347,0.01875811,0.00000000,0.01218427,0.10449294,0.39871182,0.71524485
2.30815408,0.56195280,0.01644030,0.00000000,0.01067815,0.09379188,0.35208735,0.63619297
2.31415708,0.49825445,0.01430766,0.00000000,0.00929099,0.08423734,0.30966615,0.56467954
