energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-3.58079040,1.08239235,0.11767422,0.00140235,0.08906061,0.94487441,0.05046339,0.00000000
-3.57478739,1.02738705,0.11250248,0.00132886,0.08380507,0.89724788,0.04630743,0.00000000
-3.56878439,0.97254221,0.10702505,0.00125459,0.07871967,0.84975989,0.04247493,0.00000000
-3.56278139,0.91853828,0.10133840,0.00118025,0.07386253,0.80299692,0.03896841,0.00000000
-3.55677839,0.86608620,0.09554347,0.00110660,0.06929717,0.75757089,0.03579310,0.00000000
-3.55077539,0.81591142,0.08974349,0.00103443,0.06509224,0.71410483,0.03295699,0.00000000
-3.54477239,0.76873703,0.08404181,0.00096449,0.06132118,0.67321770,0.03047091,0.00000000
-3.53876938,0.72526687,0.07853992,0.00089754,0.05806188,0.63550911,0.02834837,0.00000000
-3.53276638,0.68616930,0.07333562,0.00083427,0.05539631,0.60154465,0.02660552,0.00000000
-3.52676338,0.65206230,0.06852154,0.00077532,0.05341020,0.57184234,0.02526089,0.00000000
-3.52076038,0.62350056,0.06418393,0.00072123,0.05219274,0.54686090,0.02433514,0.00000000
-3.51475738,0.60096486,0.06040191,0.00067245,0.05183625,0.52699005,0.02385082,0.00000000
-3.50875438,0.58485413,0.05724692,0.00062934,0.05243586,0.51254335,0.02383196,0.00000000
-3.50275138,0.57548034,0.05478266,0.00059213,0.05408915,0.50375358,0.02430373,0.00000000
-3.49674837,0.57306618,0.05306523,0.00056096,0.05689563,0.50077078,0.02529192,0.00000000
-3.49074537,0.57774532,0.05214358,0.00053584,0.06095614,0.50366277,0.02682245,0.00000000
-3.48474237,0.58956522,0.05206013,0.00051670,0.06637193,0.51241815,0.02892072,0.00000000
-3.47873937,0.60849182,0.05285144,0.00050337,0.07324359,0.52695117,0.03161090,0.00000000
-3.47273637,0.63441604,0.05454902,0.00049559,0.08166955,0.54710847,0.03491517,0.00000000
-3.46673337,0.66716133,0.05717997,0.00049305,0.09174438,0.57267698,0.03885284,0.00000000
-3.46073037,0.70649205,0.06076759,0.00049540,0.10355658,0.60339278,0.04343943,0.00000000
