energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up
1.55177589,0.06076865,0.00317365,0.00339369,0.03552578,0.00069019,0.05132431,0.00000000,0.01183875,0.00000000
1.55777889,0.06953821,0.00356151,0.00375298,0.04245933,0.00074178,0.05901578,0.00000000,0.01280427,0.00000000
1.56378189,0.08075600,0.00407751,0.00425084,0.05080457,0.00082167,0.06877419,0.00000000,0.01425544,0.00000000
1.56978489,0.09455235,0.00472667,0.00489104,0.06068649,0.00093006,0.08071683,0.00000000,0.01619754,0.00000000
1.57578789,0.11106285,0.00551443,0.00567804,0.07222817,0.00106731,0.09496478,0.00000000,0.01863891,0.00000000
1.58179090,0.13041951,0.00644620,0.00661655,0.08554529,0.00123388,0.11163551,0.00000000,0.02158952,0.00000000
1.58779390,0.15274100,0.00752690,0.00771103,0.10074002,0.00143025,0.13083436,0.00000000,0.02505910,0.00000000
1.59379690,0.17812182,0.00876038,0.00896510,0.11789430,0.00165677,0.15264552,0.00000000,0.02905530,0.00000000
1.59979990,0.20662119,0.01014890,0.01038103,0.13706282,0.00191354,0.17712242,0.00000000,0.03358168,0.00000000
1.60580290,0.23825173,0.01169248,0.01195913,0.15826594,0.00220033,0.20427817,0.00000000,0.03863580,0.00000000
1.61180590,0.27296870,0.01338844,0.01369724,0.18148283,0.00251647,0.23407641,0.00000000,0.04420728,0.00000000
1.61780890,0.31066018,0.01523083,0.01559028,0.20664529,0.00286068,0.26642293,0.00000000,0.05027621,0.00000000
1.62381191,0.35113884,0.01721005,0.01762987,0.23363246,0.00323108,0.30115875,0.00000000,0.05681171,0.00000000
1.62981491,0.39413591,0.01931248,0.01980409,0.26226694,0.00362507,0.33805495,0.00000000,0.06377100,0.00000000
1.63581791,0.43929771,0.02152037,0.02209738,0.29231266,0.00403928,0.37680984,0.00000000,0.07109880,0.00000000
1.64182091,0.48618550,0.02381174,0.02449065,0.32347467,0.00446960,0.41704886,0.00000000,0.07872746,0.00000000
1.64782391,0.53427875,0.02616053,0.02696156,0.35540135,0.00491120,0.45832753,0.00000000,0.08657751,0.00000000
1.65382691,0.58298222,0.02853696,0.02948499,0.38768899,0.00535855,0.50013750,0.00000000,0.09455904,0.00000000
1.65982991,0.63163684,0.03090800,0.03203377,0.41988880,0.00580559,0.54191606,0.00000000,0.10257355,0.00000000
1.66583292,0.67953430,0.03323810,0.03457955,0.45151647,0.00624577,0.58305866,0.00000000,0.11051657,0.00000000
1.67183592,0.72593503,0.03549000,0.03709387,0.48206381,0.00667230,0.62293439,0.00000000,0.11828074,0.00000000
1.67783892,0.77008892,0.03762577,0.03954941,0.51101232,0.00707827,0.66090384,0.00000000,0.12575944,0.00000000
1.68384192,0.81125817,0.03960791,0.04192124,0.53784809,0.00745692,0.69633872,0.00000000,0.13285062,0.00000000
1.68984492,0.84874140,0.04140046,0.04418821,0.56207757,0.00780179,0.72864251,0.00000000,0.13946094,0.00000000
1.69584792,0.88189780,0.04297026,0.04633424,0.58324348,0.00810703,0.75727119,0.00000000,0.14550978,0.00000000
1.70185093,0.91017052,0.04428804,0.04834955,0.60094019,0.00836751,0.78175318,0.00000000,0.15093308,0.00000000
1.70785393,0.93310790,0.04532947,0.05023172,0.61482787,0.00857913,0.80170747,0.00000000,0.15568676,0.00000000
1.71385693,0.95038170,0.04607611,0.05198649,0.62464471,0.00873887,0.81685904,0.00000000,0.15974948,0.00000000
1.71985993,0.96180127,0.04651611,0.05362824,0.63021663,0.00884501,0.82705070,0.00000000,0.16312464,0.00000000
1.72586293,0.96732287,0.04664473,0.05518015,0.63146399,0.00889716,0.83225077,0.00000000,0.16584137,0.00000000
1.73186593,0.96705366,0.04646463,0.05667391,0.62840491,0.00889635,0.83255598,0.00000000,0.16795453,0.00000000
1.73786893,0.96124995,0.04598582,0.05814904,0.62115512,0.00884494,0.82818941,0.00000000,0.16954348,0.00000000
1.74387194,0.95030971,0.04522549,0.05965168,0.60992410,0.00874660,0.81949335,0.00000000,0.17070978,0.00000000
1.74987494,0.93475968,0.04420744,0.06123311,0.59500805,0.00860620,0.80691746,0.00000000,0.17157377,0.00000000
