energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up
-1.81590795,3.46681651,0.05122667,0.23402928,0.53684514,0.06297084,2.39501820,2.71430753,0.71543618,0.00000000
-1.80990495,3.35398837,0.04821213,0.22037623,0.51792656,0.05977070,2.31896765,2.63374686,0.70060720,0.00000000
-1.80390195,3.24360302,0.04534211,0.20775217,0.50106739,0.05672814,2.24554307,2.55235773,0.68696124,0.00000000
-1.79789895,3.13694384,0.04263827,0.19631464,0.48660141,0.05387399,2.17552063,2.47111315,0.67457183,0.00000000
-1.79189595,3.03520736,0.04012023,0.18620094,0.47482594,0.05123578,2.10965703,2.39098743,0.66344606,0.00000000
-1.78589295,2.93948746,0.03780566,0.17752788,0.46599843,0.04883771,2.04867522,2.31293737,0.65352897,0.00000000
-1.77988994,2.85076205,0.03571025,0.17039175,0.46033369,0.04670058,1.99325001,2.23788360,0.64471045,0.00000000
-1.77388694,2.76988238,0.03384769,0.16486865,0.45800155,0.04484172,1.94399398,2.16669261,0.63683430,0.00000000
-1.76788394,2.69756505,0.03222955,0.16101498,0.45912504,0.04327501,1.90144440,2.10016035,0.62970879,0.00000000
-1.76188094,2.63438686,0.03086504,0.15886792,0.46377873,0.04201078,1.86605163,2.03899777,0.62311823,0.00000000
-1.75587794,2.58078217,0.02976075,0.15844591,0.47198742,0.04105583,1.83816950,1.98381892,0.61683492,0.00000000
-1.74987494,2.53704285,0.02892034,0.15974906,0.48372496,0.04041331,1.81804778,1.93513178,0.61063084,0.00000000
-1.74387194,2.50332039,0.02834416,0.16275939,0.49891327,0.04008271,1.80582719,1.89333220,0.60428863,0.00000000
-1.73786893,2.47962983,0.02802894,0.16744095,0.51742158,0.04005975,1.80153654,1.85870059,0.59761113,0.00000000
-1.73186593,2.46585517,0.02796743,0.17373983,0.53906607,0.04033638,1.80509230,1.83140146,0.59042932,0.00000000
-1.72586293,2.46175580,0.02814816,0.18158415,0.56360985,0.04090070,1.81629992,1.81148530,0.58260823,0.00000000
