energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.01550775,2.79094980,0.54225715,2.00218420,0.00279009,0.13645999,0.00956894,0.31835938,0.26020799,0.23119596
-5.00950475,2.84252090,0.56902062,2.02919235,0.00281768,0.14159397,0.01017550,0.32196991,0.27523665,0.23751001
-5.00350175,2.89204947,0.59720202,2.05352975,0.00283320,0.14700365,0.01080986,0.32504723,0.29091286,0.24427639
-4.99749875,2.94039246,0.62696321,2.07574379,0.00283741,0.15273927,0.01147407,0.32771043,0.30720490,0.25163909
-4.99149575,2.98849089,0.65845999,2.09645636,0.00283129,0.15884830,0.01217021,0.33009678,0.32406818,0.25974152
-4.98549275,3.03732452,0.69183228,2.11633208,0.00281598,0.16537345,0.01290025,0.33235628,0.34144324,0.26872168
-4.97948974,3.08786422,0.72719438,2.13604448,0.00279277,0.17235087,0.01366593,0.33464580,0.35925429,0.27870748
-4.97348674,3.14102442,0.76462563,2.15624190,0.00276303,0.17980850,0.01446867,0.33712301,0.37740854,0.28981208
-4.96748374,3.19761753,0.80416202,2.17751462,0.00272812,0.18776468,0.01530941,0.33994031,0.39579628,0.30212961
-4.96148074,3.25831257,0.84578891,2.20036495,0.00268940,0.19622691,0.01618851,0.34323908,0.41429179,0.31573113
-4.95547774,3.32359932,0.88943537,2.22518153,0.00264813,0.20519093,0.01710562,0.34714437,0.43275503,0.33066117
-4.94947474,3.39375973,0.93497020,2.25221894,0.00260547,0.21463995,0.01805956,0.35176022,0.45103398,0.34693463
-4.94347174,3.46884711,0.98219981,2.28158343,0.00256242,0.22454412,0.01904821,0.35716576,0.46896760,0.36453429
-4.93746873,3.54867397,1.03086802,2.31322516,0.00251981,0.23486011,0.02006841,0.36341211,0.48638923,0.38340892
-4.93146573,3.63280855,1.08065777,2.34693709,0.00247828,0.24553100,0.02111584,0.37052023,0.50313008,0.40347202
-4.92546273,3.72057977,1.13119457,2.38236033,0.00243830,0.25648622,0.02218498,0.37847959,0.51902298,0.42460116
-4.91945973,3.81109028,1.18205155,2.41899545,0.00240016,0.26764180,0.02326902,0.38724776,0.53390583,0.44663818
-4.91345673,3.90323685,1.23275607,2.45621904,0.00236398,0.27890075,0.02435987,0.39675090,0.54762484,0.46939012
-4.90745373,3.99573716,1.28279742,2.49330465,0.00232973,0.29015376,0.02544812,0.40688496,0.56003738,0.49263093
-4.90145073,4.08716211,1.33163567,2.52944725,0.00229730,0.30128027,0.02652312,0.41751764,0.57101435,0.51610419
-4.89544772,4.17597252,1.37871124,2.56378998,0.00226647,0.31214983,0.02757307,0.42849114,0.58044198,0.53952675
-4.88944472,4.26055917,1.42345510,2.59545232,0.00223700,0.32262389,0.02858513,0.43962536,0.58822320,0.56259330
-4.88344172,4.33928512,1.46529942,2.62355858,0.00220862,0.33255813,0.02954570,0.45072186,0.59427849,0.58498192
-4.87743872,4.41052913,1.50368844,2.64726581,0.00218108,0.34180518,0.03044059,0.46156817,0.59854638,0.60636056
-4.87143572,4.47272914,1.53808935,2.66579017,0.00215418,0.35021777,0.03125541,0.47194264,0.60098362,0.62639434
-4.86543272,4.52442471,1.56800311,2.67843110,0.00212780,0.35765238,0.03197587,0.48161961,0.60156519,0.64475344
-4.85942971,4.56429728,1.59297490,2.68459252,0.00210187,0.36397309,0.03258821,0.49037484,0.60028418,0.66112151
-4.85342671,4.59120717,1.61260407,2.68380048,0.00207646,0.36905567,0.03307960,0.49799109,0.59715167,0.67520421
-4.84742371,4.60422622,1.62655333,2.67571683,0.00205171,0.37279164,0.03343859,0.50426377,0.59219667,0.68673767
-4.84142071,4.60266499,1.63455697,2.66014862,0.00202787,0.37509224,0.03365549,0.50900639,0.58546601,0.69549642
-4.83541771,4.58609366,1.63642773,2.63705278,0.00200526,0.37589198,0.03372278,0.51205574,0.57702436,0.70130059
-4.82941471,4.55435573,1.63206230,2.60653629,0.00198429,0.37515165,0.03363544,0.51327662,0.56695420,0.70402190
-4.82341171,4.50757387,1.62144497,2.56885164,0.00196541,0.37286057,0.03339121,0.51256591,0.55535570,0.70358827
-4.81740870,4.44614757,1.60464933,2.52438791,0.00194909,0.36903800,0.03299077,0.50985579,0.54234638,0.69998660
-4.81140570,4.37074260,1.58183787,2.47365776,0.00193582,0.36373348,0.03243780,0.50511609,0.52806059,0.69326386
-4.80540270,4.28227229,1.55325927,2.41728087,0.00192602,0.35702608,0.03173900,0.49835546,0.51264851,0.68352600
-4.79939970,4.18187145,1.51924359,2.35596442,0.00192008,0.34902267,0.03090393,0.48962149,0.49627478,0.67093505
-4.79339670,4.07086381,1.48019514,2.29048149,0.00191829,0.33985500,0.02994481,0.47899957,0.47911661,0.65570432
-4.78739370,3.95072419,1.43658341,2.22164809,0.00192082,0.32967606,0.02887616,0.46661069,0.46136138,0.63809193
-4.78139070,3.82303705,1.38893236,2.15029995,0.00192771,0.31865553,0.02771442,0.45260811,0.44320376,0.61839305
-4.77538769,3.68945313,1.33780823,2.07726979,0.00193885,0.30697482,0.02647749,0.43717314,0.42484245,0.59693112
-4.76938469,3.55164596,1.28380652,2.00336629,0.00195401,0.29482179,0.02518420,0.42051011,0.40647654,0.57404860
-4.76338169,3.41127019,1.22753849,1.92935528,0.00197275,0.28238542,0.02385383,0.40284087,0.38830175,0.55009746
-4.75737869,3.26992347,1.16961777,1.85594419,0.00199455,0.26985077,0.02250556,0.38439891,0.37050667,0.52543016
-4.75137569,3.12911331,1.11064752,1.78377014,0.00201873,0.25739441,0.02115797,0.36542346,0.35326909,0.50039121
-4.74537269,2.99023030,1.05120865,1.71339206,0.00204453,0.24518043,0.01982865,0.34615378,0.33675271,0.47530989
-4.73936968,2.85452850,0.99184954,1.64528707,0.00207112,0.23335744,0.01853375,0.32682379,0.32110432,0.45049426
-4.73336668,2.72311340,0.93307751,1.57985101,0.00209766,0.22205635,0.01728772,0.30765735,0.30645156,0.42622668
-4.72736368,2.59693751,0.87535237,1.51740275,0.00212331,0.21138928,0.01610308,0.28886426,0.29290144,0.40276093
-4.72136068,2.47680319,0.81908208,1.45819202,0.00214732,0.20144925,0.01499026,0.27063710,0.28053956,0.38032089
