energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-5.15957979,3.56235277,0.39656494,2.47525139,0.02156141,0.03127882,0.06632031,0.53633682,0.02738001,0.54492137
-5.15357679,3.66465347,0.41755653,2.48508797,0.02337297,0.03352136,0.06789329,0.58967357,0.02989875,0.58617004
-5.14757379,3.78087901,0.44028133,2.50133367,0.02539073,0.03585424,0.06973484,0.64722110,0.03264024,0.63080257
-5.14157079,3.91081379,0.46461663,2.52427251,0.02760968,0.03826409,0.07186134,0.70867744,0.03559530,0.67858302
-5.13556778,4.05369494,0.49037427,2.55388435,0.03001836,0.04073557,0.07427756,0.77360902,0.03874764,0.72915988
-5.12956478,4.20821407,0.51730152,2.58984782,0.03259856,0.04325188,0.07697591,0.84144994,0.04207370,0.78206599
-5.12356178,4.37254082,0.54508464,2.63155583,0.03532520,0.04579533,0.07993618,0.91150605,0.04554272,0.83672286
-5.11755878,4.54436786,0.57335484,2.67814309,0.03816647,0.04834800,0.08312582,0.98296422,0.04911705,0.89244943
-5.11155578,4.72097625,0.60169676,2.72852436,0.04108428,0.05089250,0.08650080,1.05490682,0.05275287,0.94847539
-5.10555278,4.89931901,0.62965907,2.78144181,0.04403485,0.05341258,0.09000693,1.12633121,0.05640107,1.00395869
-5.09954977,5.07611975,0.65676692,2.83551935,0.04696974,0.05589389,0.09358166,1.19617382,0.06000855,1.05800682
-5.09354677,5.24798252,0.68253581,2.88932138,0.04983699,0.05832448,0.09715624,1.26333802,0.06351960,1.10970118
-5.08754377,5.41150858,0.70648624,2.94141362,0.05258250,0.06069526,0.10065816,1.32672490,0.06687751,1.15812365
-5.08154077,5.56341511,0.72815869,2.99042303,0.05515162,0.06300029,0.10401379,1.38526570,0.07002634,1.20238437
-5.07553777,5.70065086,0.74712830,3.03509453,0.05749076,0.06523687,0.10715101,1.43795467,0.07291260,1.24164955
-5.06953477,5.82050397,0.76301843,3.07434196,0.05954912,0.06740540,0.11000179,1.48388085,0.07548697,1.27516814
-5.06353177,5.92069733,0.77551285,3.10729139,0.06128031,0.06950907,0.11250459,1.52225742,0.07770588,1.30229627
-5.05752876,5.99946745,0.78436573,3.13331511,0.06264395,0.07155336,0.11460642,1.55244729,0.07953283,1.32251825
-5.05152576,6.05562390,0.78940917,3.15205527,0.06360697,0.07354528,0.11626452,1.57398371,0.08093956,1.33546324
-5.04552276,6.08858695,0.79055793,3.16343658,0.06414482,0.07549257,0.11744759,1.58658493,0.08190673,1.34091691
-5.03951976,6.09840238,0.78781113,3.16766816,0.06424225,0.07740276,0.11813650,1.59016226,0.08242444,1.33882737
-5.03351676,6.08573361,0.78125090,3.16523494,0.06389384,0.07928220,0.11832449,1.58482122,0.08249223,1.32930545
-5.02751376,6.05183203,0.77103826,3.15687982,0.06310415,0.08113515,0.11801688,1.57085564,0.08211880,1.31261902
-5.02151076,5.99848792,0.75740612,3.14357781,0.06188751,0.08296292,0.11723029,1.54873525,0.08132138,1.28918199
-5.01550775,5.92796477,0.74065024,3.12650385,0.06026747,0.08476318,0.11599150,1.51908729,0.08012475,1.25953843
-5.00950475,5.84292065,0.72111822,3.10699620,0.05827590,0.08652958,0.11433596,1.48267311,0.07856013,1.22434263
-5.00350175,5.74632061,0.69919736,3.08651704,0.05595188,0.08825146,0.11230615,1.44036108,0.07666377,1.18433621
-4.99749875,5.64134431,0.67530177,3.06661229,0.05334029,0.08991404,0.10994974,1.39309693,0.07447556,1.14032321
-4.99149575,5.53129272,0.64985950,3.04887181,0.05049034,0.09149873,0.10731782,1.34187302,0.07203751,1.09314450
-4.98549275,5.41949767,0.62330009,3.03489154,0.04745393,0.09298389,0.10446314,1.28769792,0.06939238,1.04365246
-4.97948974,5.30923738,0.59604314,3.02623823,0.04428405,0.09434578,0.10143860,1.23156750,0.06658237,0.99268712
-4.97348674,5.20366008,0.56848827,3.02441741,0.04103327,0.09555971,0.09829588,1.17443865,0.06364796,0.94105454
-4.96748374,5.10571778,0.54100676,3.03084470,0.03775225,0.09660138,0.09508438,1.11720660,0.06062702,0.88950827
-4.96148074,5.01811075,0.51393509,3.04682035,0.03448857,0.09744835,0.09185050,1.06068632,0.05755413,0.83873420
-4.95547774,4.94324299,0.48757046,3.07350666,0.03128559,0.09808133,0.08863711,1.00559853,0.05446007,0.78933941
