energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
4.14507254,0.75578536,-0.24139337,1.15167894,-0.32720806,0.10568986,-0.05439298,0.00524979,-0.00044272,0.09171031,-0.04490634,0.54479077,-0.14918553,0.00000000,-0.00000000
4.15107554,0.80368457,-0.23057119,1.21418443,-0.31315885,0.11219590,-0.05180941,0.00608886,-0.00035877,0.09684569,-0.04293407,0.57288492,-0.14327372,0.00000000,-0.00000000
4.15707854,0.85275626,-0.22041880,1.27687015,-0.29978618,0.11883650,-0.04940616,0.00701273,-0.00028865,0.10202189,-0.04118616,0.60083821,-0.13763402,0.00000000,-0.00000000
4.16308154,0.90297825,-0.21107996,1.33971017,-0.28731418,0.12560964,-0.04721083,0.00802046,-0.00023057,0.10723595,-0.03968165,0.62863881,-0.13237941,0.00000000,-0.00000000
4.16908454,0.95429889,-0.20269636,1.40266893,-0.27596263,0.13251022,-0.04525089,0.00910911,-0.00018286,0.11248303,-0.03843935,0.65627508,-0.12762005,0.00000000,-0.00000000
4.17508754,1.00662421,-0.19540074,1.46568394,-0.26593734,0.13952839,-0.04355214,0.01027354,-0.00014399,0.11775489,-0.03747652,0.68372762,-0.12345864,0.00000000,-0.00000000
4.18109055,1.05980541,-0.18931011,1.52864776,-0.25742080,0.14664784,-0.04213727,0.01150631,-0.00011257,0.12303841,-0.03680763,0.71096095,-0.11998597,0.00000000,-0.00000000
4.18709355,1.11362746,-0.18451943,1.59139085,-0.25056352,0.15384418,-0.04102444,0.01279757,-0.00008738,0.12831412,-0.03644306,0.73791538,-0.11727684,0.00000000,-0.00000000
4.19309655,1.16779988,-0.18109596,1.65366624,-0.24547641,0.16108361,-0.04022605,0.01413508,-0.00006736,0.13355510,-0.03638802,0.76449964,-0.11538646,0.00000000,-0.00000000
4.19909955,1.22195043,-0.17907468,1.71513752,-0.24222461,0.16832198,-0.03974766,0.01550433,-0.00005157,0.13872605,-0.03664154,0.79058490,-0.11434760,0.00000000,-0.00000000
4.20510255,1.27562241,-0.17845480,1.77537110,-0.24082303,0.17550418,-0.03958725,0.01688870,-0.00003923,0.14378290,-0.03719572,0.81600065,-0.11416850,0.00000000,-0.00000000
4.21110555,1.32827626,-0.17919776,1.83383367,-0.24123365,0.18256417,-0.03973470,0.01826974,-0.00002967,0.14867282,-0.03803530,0.84053289,-0.11483162,0.00000000,-0.00000000
4.21710855,1.37929565,-0.18122652,1.88989548,-0.24336490,0.18942555,-0.04017163,0.01962756,-0.00002235,0.15333483,-0.03913739,0.86392494,-0.11629345,0.00000000,-0.00000000
4.22311156,1.42799818,-0.18442647,1.94283965,-0.24707298,0.19600271,-0.04087155,0.02094129,-0.00001680,0.15770093,-0.04047163,0.88588099,-0.11848514,0.00000000,-0.00000000
4.22911456,1.47365055,-0.18864771,1.99187747,-0.25216520,0.20220263,-0.04180035,0.02218957,-0.00001269,0.16169773,-0.04200059,0.90607236,-0.12131417,0.00000000,-0.00000000
4.23511756,1.51548753,-0.19370882,2.03616910,-0.25840512,0.20792710,-0.04291710,0.02335114,-0.00000971,0.16524862,-0.04368054,0.92414626,-0.12466685,0.00000000,-0.00000000
4.24112056,1.55273429,-0.19940176,2.07484901,-0.26551940,0.21307546,-0.04417508,0.02440546,-0.00000767,0.16827620,-0.04546241,0.93973675,-0.12841166,0.00000000,-0.00000000
