energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.20760380,1.91794188,0.13265412,0.00239755,0.17069437,0.02670321,1.15763867,0.56062055,0.40225879
-5.20160080,1.91834855,0.13417565,0.00220149,0.16673189,0.02679657,1.15171816,0.55293250,0.41102716
-5.19559780,1.91201913,0.13496441,0.00202351,0.16233204,0.02678941,1.14149334,0.54415776,0.41844838
-5.18959480,1.89845937,0.13498327,0.00186279,0.15748614,0.02667521,1.12677646,0.53413164,0.42430436
-5.18359180,1.87737143,0.13421419,0.00171823,0.15220080,0.02644961,1.10750230,0.52273543,0.42841715
-5.17758879,1.84867064,0.13265896,0.00158848,0.14649831,0.02611059,1.08373481,0.50990314,0.43065609
-5.17158579,1.81249446,0.13033921,0.00147208,0.14041634,0.02565855,1.05566877,0.49562572,0.43094363
-5.16558279,1.76920329,0.12729573,0.00136749,0.13400703,0.02509635,1.02362660,0.47995281,0.42925943
-5.15957979,1.71937353,0.12358715,0.00127319,0.12733542,0.02442926,0.98805063,0.46299196,0.42564264
-5.15357679,1.66378306,0.11928803,0.00118773,0.12047747,0.02366477,0.94949099,0.44490552,0.42019221
-5.14757379,1.60339006,0.11448640,0.00110976,0.11351769,0.02281249,0.90859010,0.42590537,0.41306533
-5.14157079,1.53930592,0.10928105,0.00103812,0.10654649,0.02188382,0.86606407,0.40624583,0.40447382
-5.13556778,1.47276355,0.10377838,0.00097180,0.09965739,0.02089165,0.82268210,0.38621515,0.39467877
-5.12956478,1.40508208,0.09808926,0.00090999,0.09294430,0.01985004,0.77924443,0.36612591,0.38398351
-5.12356178,1.33762935,0.09232577,0.00085204,0.08649873,0.01877385,0.73655984,0.34630476,0.37272507
-5.11755878,1.27178344,0.08659812,0.00079753,0.08040732,0.01767833,0.69542324,0.32708189,0.36126460
-5.11155578,1.20889436,0.08101168,0.00074617,0.07474954,0.01657875,0.65659419,0.30878062,0.34997687
-5.10555278,1.15024711,0.07566436,0.00069784,0.06959566,0.01549005,0.62077690,0.29170747,0.33923932
-5.09954977,1.09702719,0.07064432,0.00065251,0.06500512,0.01442646,0.58860217,0.27614295,0.32942095
-5.09354677,1.05028931,0.06602809,0.00061029,0.06102524,0.01340119,0.56061170,0.26233331,0.32087148
-5.08754377,1.01093020,0.06187915,0.00057132,0.05769023,0.01242619,0.53724513,0.25048358,0.31391106
-5.08154077,0.97966611,0.05824684,0.00053583,0.05502065,0.01151190,0.51882996,0.24075187,0.30882096
-5.07553777,0.95701553,0.05516590,0.00050405,0.05302313,0.01066710,0.50557452,0.23324514,0.30583542
-5.06953477,0.94328740,0.05265627,0.00047622,0.05169048,0.00989878,0.49756420,0.22801646,0.30513506
-5.06353177,0.93857518,0.05072338,0.00045259,0.05100209,0.00921212,0.49476072,0.22506389,0.30684195
-5.05752876,0.94275685,0.04935878,0.00043338,0.05092458,0.00861047,0.49700466,0.22433077,0.31101656
-5.05152576,0.95550077,0.04854112,0.00041879,0.05141282,0.00809541,0.50402109,0.22570761,0.31765670
-5.04552276,0.97627743,0.04823740,0.00040901,0.05241104,0.00766687,0.51542817,0.22903536,0.32669842
-5.03951976,1.00437657,0.04840448,0.00040420,0.05385434,0.00732328,0.53074852,0.23411007,0.33801892
