energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-4.88344172,3.18973616,0.02158782,0.33238590,1.17786684,1.02690858,0.40614015,0.00000000,0.05150512,1.13660011
-4.87743872,3.01704396,0.01953250,0.30605065,1.09248984,0.96841989,0.38465443,0.00000000,0.05107971,1.08667700
-4.87143572,2.85340318,0.01767269,0.28191820,1.01314672,0.91286882,0.36398206,0.00000000,0.05074476,1.03842280
-4.86543272,2.69929978,0.01601226,0.25994393,0.93992766,0.86045609,0.34428005,0.00000000,0.05047744,0.99210235
-4.85942971,2.55516859,0.01455213,0.24005341,0.87284012,0.81135323,0.32570562,0.00000000,0.05025895,0.94799557
-4.85342671,2.42142927,0.01329092,0.22215148,0.81182991,0.76571580,0.30841676,0.00000000,0.05007590,0.90640360
-4.84742371,2.29851936,0.01222550,0.20613121,0.75680223,0.72369608,0.29257248,0.00000000,0.04992136,0.86765360
-4.84142071,2.18692268,0.01135151,0.19188245,0.70764170,0.68545473,0.27833251,0.00000000,0.04979568,0.83210147
-4.83541771,2.08719148,0.01066386,0.17929955,0.66423024,0.65117070,0.26585653,0.00000000,0.04970692,0.80013256
-4.82941471,1.99996138,0.01015704,0.16828812,0.62646241,0.62104926,0.25530266,0.00000000,0.04967103,0.77215977
-4.82341171,1.92595843,0.00982543,0.15877060,0.59425726,0.59532771,0.24682536,0.00000000,0.04971154,0.74861921
-4.81740870,1.86599799,0.00966340,0.15069048,0.56756678,0.57427873,0.24057268,0.00000000,0.04985893,0.72996335
-4.81140570,1.82097587,0.00966540,0.14401527,0.54638060,0.55821136,0.23668296,0.00000000,0.05014975,0.71665180
-4.80540270,1.79185223,0.00982585,0.13873814,0.53072720,0.54746972,0.23528108,0.00000000,0.05062525,0.70914010
-4.79939970,1.77962923,0.01013899,0.13487845,0.52067195,0.54242981,0.23647430,0.00000000,0.05132996,0.70786687
-4.79339670,1.78532385,0.01059872,0.13248110,0.51631233,0.54349452,0.24034806,0.00000000,0.05230989,0.71323991
-4.78739370,1.80993717,0.01119823,0.13161510,0.51777105,0.55108728,0.24696180,0.00000000,0.05361078,0.72562168
-4.78139070,1.85442190,0.01192977,0.13237126,0.52518762,0.56564472,0.25634502,0.00000000,0.05527609,0.74531508
-4.77538769,1.91964959,0.01278434,0.13485947,0.53870900,0.58760872,0.26849391,0.00000000,0.05734521,0.77254982
-4.76938469,2.00637912,0.01375139,0.13920534,0.55848003,0.61741802,0.28336875,0.00000000,0.05985159,0.80747037
-4.76338169,2.11522796,0.01481864,0.14554667,0.58463418,0.65549992,0.30089223,0.00000000,0.06282111,0.85012586
-4.75737869,2.24664714,0.01597189,0.15402962,0.61728512,0.70226211,0.32094896,0.00000000,0.06627064,0.90046245
-4.75137569,2.40090102,0.01719497,0.16480485,0.65651944,0.75808477,0.34338624,0.00000000,0.07020681,0.95831868
-4.74537269,2.57805229,0.01846981,0.17802343,0.70239086,0.82331327,0.36801623,0.00000000,0.07462512,1.02342392
-4.73936968,2.77795263,0.01977653,0.19383282,0.75491599,0.89825118,0.39461945,0.00000000,0.07950939,1.09540010
-4.73336668,3.00023882,0.02109376,0.21237278,0.81407164,0.98315391,0.42294964,0.00000000,0.08483144,1.17376659
-4.72736368,3.24433407,0.02239899,0.23377135,0.87979366,1.07822278,0.45273968,0.00000000,0.09055124,1.25794814
-4.72136068,3.50945411,0.02366899,0.25814078,0.95197696,1.18359950,0.48370854,0.00000000,0.09661729,1.34728530
-4.71535768,3.79461724,0.02488040,0.28557370,1.03047660,1.29936129,0.51556875,0.00000000,0.10296735,1.44104710
-4.70935468,4.09865765,0.02601032,0.31613942,1.11510952,1.42551633,0.54803423,0.00000000,0.10952947,1.53844514
-4.70335168,4.42024128,0.02703689,0.34988051,1.20565676,1.56200009,0.58082795,0.00000000,0.11622330,1.63864864
-4.69734867,4.75788341,0.02793996,0.38680993,1.30186566,1.70867227,0.61368905,0.00000000,0.12296155,1.74079964
-4.69134567,5.10996750,0.02870167,0.42690868,1.40345207,1.86531504,0.64637915,0.00000000,0.12965173,1.84402790
-4.68534267,5.47476492,0.02930699,0.47012433,1.51010215,2.03163244,0.67868725,0.00000000,0.13619801,1.94746468
-4.67933967,5.85045519,0.02974417,0.51637044,1.62147386,2.20725167,0.71043312,0.00000000,0.14250317,2.05025510
-4.67333667,6.23514678,0.03000513,0.56552718,1.73719805,2.39172627,0.74146899,0.00000000,0.14847064,2.15156877
-4.66733367,6.62689857,0.03008564,0.61744316,1.85687927,2.58454161,0.77167918,0.00000000,0.15400659,2.25060826
-4.66133067,7.02374207,0.02998549,0.67193867,1.98009631,2.78512293,0.80097796,0.00000000,0.15902196,2.34661563
