energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-4.21710855,2.09005873,1.09791046,0.35734155,0.09185519,0.32598077,0.87978991,0.00000000
-4.21110555,2.07758685,1.08782539,0.35381443,0.08949882,0.33177042,0.86431302,0.00000000
-4.20510255,2.05882078,1.07346671,0.34908687,0.08662998,0.33740866,0.84473410,0.00000000
-4.19909955,2.03497902,1.05551214,0.34336398,0.08331481,0.34303806,0.82164603,0.00000000
-4.19309655,2.00741160,1.03470404,0.33687624,0.07962764,0.34880741,0.79571123,0.00000000
-4.18709355,1.97755263,1.01182438,0.32987140,0.07564873,0.35486513,0.76764123,0.00000000
-4.18109055,1.94687302,0.98766958,0.32260637,0.07146184,0.36135302,0.73817588,0.00000000
-4.17508754,1.91683565,0.96302635,0.31533940,0.06715191,0.36840068,0.70806318,0.00000000
-4.16908454,1.88885493,0.93864958,0.30832299,0.06280281,0.37612090,0.67804059,0.00000000
-4.16308154,1.86426263,0.91524336,0.30179782,0.05849537,0.38460622,0.64881864,0.00000000
-4.15707854,1.84428103,0.89344550,0.29598775,0.05430569,0.39392681,0.62106735,0.00000000
-4.15107554,1.83000427,0.87381630,0.29109622,0.05030376,0.40412969,0.59540583,0.00000000
-4.14507254,1.82238794,0.85683151,0.28730395,0.04655249,0.41523933,0.57239530,0.00000000
-4.13906953,1.82224656,0.84287948,0.28476787,0.04310715,0.42725942,0.55253535,0.00000000
-4.13306653,1.83025813,0.83226213,0.28362121,0.04001510,0.44017563,0.53626315,0.00000000
-4.12706353,1.84697423,0.82519908,0.28397444,0.03731593,0.45395916,0.52395524,0.00000000
-4.12106053,1.87283409,0.82183440,0.28591689,0.03504189,0.46857059,0.51593118,0.00000000
-4.11505753,1.90818066,0.82224495,0.28951868,0.03321843,0.48396393,0.51245836,0.00000000
-4.10905453,1.95327662,0.82644949,0.29483267,0.03186506,0.50009019,0.51375733,0.00000000
-4.10305153,2.00831845,0.83441779,0.30189611,0.03099615,0.51690050,0.52000664,0.00000000
-4.09704852,2.07344664,0.84607873,0.31073184,0.03062178,0.53434818,0.53134677,0.00000000
-4.09104552,2.14875073,0.86132701,0.32134867,0.03074851,0.55238976,0.54788237,0.00000000
-4.08504252,2.23426804,0.88002774,0.33374101,0.03138007,0.57098465,0.56968254,0.00000000
-4.07903952,2.32997566,0.90201882,0.34788744,0.03251779,0.59009359,0.59677870,0.00000000
-4.07303652,2.43577583,0.92711093,0.36374864,0.03416085,0.60967581,0.62916029,0.00000000
-4.06703352,2.55147532,0.95508547,0.38126443,0.03630638,0.62968515,0.66676824,0.00000000
-4.06103052,2.67676016,0.98569066,0.40035044,0.03894921,0.65006543,0.70948678,0.00000000
-4.05502751,2.81116756,1.01863661,0.42089454,0.04208152,0.67074537,0.75713415,0.00000000
-4.04902451,2.95405716,1.05358979,0.44275345,0.04569232,0.69163352,0.80945295,0.00000000
-4.04302151,3.10458427,1.09016807,0.46574987,0.04976674,0.71261373,0.86610109,0.00000000
-4.03701851,3.26167766,1.12793683,0.48967055,0.05428538,0.73354147,0.92664416,0.00000000
-4.03101551,3.42402460,1.16640711,0.51426564,0.05922359,0.75424153,0.99055038,0.00000000
-4.02501251,3.59006541,1.20503655,0.53924963,0.06455091,0.77450755,1.05718875,0.00000000
-4.01900950,3.75799959,1.24323348,0.56430401,0.07023067,0.79410343,1.12583138,0.00000000
-4.01300650,3.92580476,1.28036464,0.58908202,0.07621977,0.81276701,1.19566038,0.00000000
-4.00700350,4.09126913,1.31576646,0.61321517,0.08246883,0.83021587,1.26577966,0.00000000
-4.00100050,4.25203708,1.34875991,0.63632162,0.08892257,0.84615521,1.33523168,0.00000000
