energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
0.18309155,0.76144207,0.16180368,0.53532774,0.00018801,0.01966846,0.06294172,0.12715935,0.01241684,0.06973427
0.18909455,0.72699241,0.15910377,0.51133914,0.00015047,0.01844431,0.05959021,0.12214110,0.01220109,0.06564577
0.19509755,0.70013079,0.15840018,0.49325520,0.00012038,0.01738554,0.05681975,0.11790519,0.01200832,0.06226575
0.20110055,0.68038432,0.15957858,0.48074512,0.00009664,0.01648039,0.05459567,0.11437779,0.01183336,0.05954544
0.20710355,0.66728671,0.16251889,0.47347307,0.00007827,0.01571792,0.05288318,0.11149502,0.01167223,0.05743561
0.21310655,0.66039443,0.16709632,0.47110894,0.00006444,0.01508850,0.05164910,0.10920619,0.01152235,0.05588830
0.21910955,0.65929868,0.17318180,0.47333618,0.00005447,0.01458429,0.05086307,0.10747598,0.01138274,0.05485814
0.22511256,0.66363273,0.18064194,0.47985665,0.00004777,0.01419943,0.05049844,0.10628580,0.01125414,0.05430330
0.23111556,0.67307485,0.18933860,0.49039267,0.00004390,0.01393020,0.05053276,0.10563408,0.01113896,0.05418607
0.23711856,0.68734705,0.19912829,0.50468638,0.00004247,0.01377497,0.05094784,0.10553561,0.01104120,0.05447298
0.24312156,0.70621004,0.20986153,0.52249684,0.00004321,0.01373406,0.05172941,0.10601989,0.01096627,0.05513471
0.24912456,0.72945499,0.22138235,0.54359517,0.00004591,0.01380944,0.05286653,0.10712876,0.01092066,0.05614560
0.25512756,0.75689282,0.23352802,0.56775831,0.00005039,0.01400432,0.05435065,0.10891319,0.01091162,0.05748301
0.26113057,0.78834166,0.24612929,0.59476183,0.00005654,0.01432266,0.05617455,0.11142958,0.01094673,0.05912649
0.26713357,0.82361345,0.25901112,0.62437242,0.00006428,0.01476862,0.05833105,0.11473561,0.01103350,0.06105681
0.27313657,0.86250038,0.27199395,0.65634040,0.00007354,0.01534597,0.06081181,0.11888601,0.01117884,0.06325509
0.27913957,0.90476201,0.28489565,0.69039290,0.00008425,0.01605747,0.06360600,0.12392821,0.01138867,0.06570180
0.28514257,0.95011385,0.29753405,0.72622806,0.00009636,0.01690432,0.06669918,0.12989836,0.01166746,0.06837603
0.29114557,0.99821802,0.30972999,0.76351069,0.00010979,0.01788562,0.07007231,0.13681765,0.01201784,0.07125477
