energy_ev,total_up,Ge_p_up,Ge_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-1.34167084,4.82347035,0.37742143,0.00000000,2.04914084,2.20877963,3.26396942,0.00000000
-1.33566783,4.85623063,0.39931832,0.00000000,2.14993629,2.17600281,3.32694341,0.00000000
-1.32966483,4.87610068,0.42045285,0.00000000,2.24783504,2.13760954,3.38051928,0.00000000
-1.32366183,4.88315821,0.44061369,0.00000000,2.34178954,2.09440984,3.42406559,0.00000000
-1.31765883,4.87758605,0.45960645,0.00000000,2.43080887,2.04721384,3.45707150,0.00000000
-1.31165583,4.85967824,0.47725871,0.00000000,2.51398845,1.99681497,3.47916803,0.00000000
-1.30565283,4.82984414,0.49342411,0.00000000,2.59053568,1.94397539,3.49014497,0.00000000
-1.29964982,4.78860952,0.50798531,0.00000000,2.65979007,1.88941379,3.48996262,0.00000000
-1.29364682,4.73661384,0.52085558,0.00000000,2.72123682,1.83379560,3.47875711,0.00000000
-1.28764382,4.67460295,0.53197907,0.00000000,2.77451318,1.77772522,3.45683896,0.00000000
-1.28164082,4.60341700,0.54132975,0.00000000,2.81940748,1.72174031,3.42468478,0.00000000
-1.27563782,4.52397376,0.54890898,0.00000000,2.85585129,1.66630781,3.38292228,0.00000000
-1.26963482,4.43724799,0.55474219,0.00000000,2.88390545,1.61182155,3.33230964,0.00000000
-1.26363182,4.34424778,0.55887467,0.00000000,2.90374141,1.55860142,3.27371022,0.00000000
-1.25762881,4.24598944,0.56136701,0.00000000,2.91561955,1.50689388,3.20806424,0.00000000
-1.25162581,4.14347238,0.56229036,0.00000000,2.91986622,1.45687398,3.13635912,0.00000000
-1.24562281,4.03765592,0.56172203,0.00000000,2.91685160,1.40864888,3.05960038,0.00000000
-1.23961981,3.92943963,0.55974171,0.00000000,2.90697009,1.36226297,2.97878478,0.00000000
-1.23361681,3.81964878,0.55642854,0.00000000,2.89062496,1.31770453,2.89487747,0.00000000
-1.22761381,3.70902615,0.55185930,0.00000000,2.86821834,1.27491408,2.80879428,0.00000000
-1.22161081,3.59823084,0.54610787,0.00000000,2.84014744,1.23379434,2.72139019,0.00000000
-1.21560780,3.48784431,0.53924584,0.00000000,2.80680708,1.19422143,2.63345430,0.00000000
-1.20960480,3.37838336,0.53134437,0.00000000,2.76859827,1.15605732,2.54571123,0.00000000
-1.20360180,3.27031890,0.52247690,0.00000000,2.72594175,1.11916282,2.45882844,0.00000000
-1.19759880,3.16409918,0.51272262,0.00000000,2.67929524,1.08341074,2.37342814,0.00000000
-1.19159580,3.06017539,0.50217023,0.00000000,2.62917247,1.04869869,2.29010262,0.00000000
-1.18559280,2.95902756,0.49092166,0.00000000,2.57616199,1.01496054,2.20943098,0.00000000
-1.17958979,2.86118823,0.47909528,0.00000000,2.52094361,0.98217632,2.13199557,0.00000000
-1.17358679,2.76726168,0.46682839,0.00000000,2.46430023,0.95037946,2.05839605,0.00000000
-1.16758379,2.67793648,0.45427844,0.00000000,2.40712351,0.91966120,1.98925946,0.00000000
-1.16158079,2.59398973,0.44162285,0.00000000,2.35041146,0.89017153,1.92524468,0.00000000
