energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-4.13306653,2.78849619,-6.15498580,1.21070724,-6.00172125,1.04839983,-1.33852844,0.00795718,-0.00730851,0.05413231,-2.16413433,0.03150025,-0.01868494,1.37939341,-1.70558528
-4.12706353,2.76468494,-6.54935557,1.20631312,-6.33095282,1.03977721,-1.43457476,0.00785626,-0.00809605,0.05174976,-2.31932770,0.03155967,-0.02116355,1.36980899,-1.79787110
-4.12106053,2.74225232,-6.94788330,1.20181326,-6.64365073,1.03205255,-1.53409764,0.00774039,-0.00894190,0.05000378,-2.47397355,0.03161727,-0.02382572,1.36003471,-1.89347683
-4.11505753,2.71947384,-7.34774818,1.19658103,-6.93559605,1.02446020,-1.63677606,0.00760744,-0.00984129,0.04876345,-2.62710243,0.03166206,-0.02665873,1.34937249,-1.99157539
-4.10905453,2.69478100,-7.74606504,1.19004646,-7.20286171,1.01630222,-1.74226379,0.00745597,-0.01078767,0.04791518,-2.77784152,0.03168323,-0.02964463,1.33718583,-2.09119069
-4.10305153,2.66679508,-8.13994833,1.18170748,-7.44193153,1.00696281,-1.85019440,0.00728522,-0.01177261,0.04736070,-2.92543742,0.03167036,-0.03276010,1.32291770,-2.19121548
-4.09704852,2.63435252,-8.52657302,1.17113814,-7.64980731,0.99591933,-1.96018517,0.00709517,-0.01278592,0.04701519,-3.06927264,0.03161362,-0.03597651,1.30610406,-2.29043411
-4.09104552,2.59652163,-8.90323008,1.15799401,-7.82409915,0.98274988,-2.07183947,0.00688646,-0.01381577,0.04680576,-3.20887498,0.03150401,-0.03926014,1.28638276,-2.38754964
-4.08504252,2.55261116,-9.26737449,1.14201478,-7.96309505,0.96713735,-2.18474763,0.00666030,-0.01484884,0.04667011,-3.34391892,0.03133350,-0.04257266,1.26349838,-2.48121472
-4.07903952,2.50217122,-9.61666460,1.12302450,-8.06580676,0.94887025,-2.29848638,0.00641848,-0.01587063,0.04655551,-3.47421926,0.03109519,-0.04587184,1.23730299,-2.57006541
-4.07303652,2.44498759,-9.94899206,1.10092971,-8.13199025,0.92784053,-2.41261704,0.00616322,-0.01686577,0.04641801,-3.59971713,0.03078352,-0.04911241,1.20775372,-2.65275699
-4.06703352,2.38107053,-10.26250240,1.07571596,-8.16214023,0.90403900,-2.52668285,0.00589709,-0.01781843,0.04622184,-3.72045940,0.03039433,-0.05224719,1.17490753,-2.72800098
-4.06103052,2.31063946,-10.55560690,1.04744307,-8.15745962,0.87754857,-2.64020606,0.00562296,-0.01871274,0.04593906,-3.83657275,0.02992508,-0.05522833,1.13891396,-2.79460208
-4.05502751,2.23410447,-10.82698676,1.01623954,-8.11980600,0.84853614,-2.75268523,0.00534387,-0.01953329,0.04554934,-3.94823398,0.02937498,-0.05800869,1.10000639,-2.85149407
-4.04902451,2.15204618,-11.07559107,0.98229645,-8.05161803,0.81724333,-2.86359336,0.00506303,-0.02026555,0.04503988,-4.05563851,0.02874512,-0.06054331,1.05849257,-2.89777354
-4.04302151,2.06519476,-11.30063002,0.94586111,-7.95582583,0.78397678,-2.97237744,0.00478371,-0.02089643,0.04440540,-4.15896895,0.02803860,-0.06279084,1.01474478,-2.93273013
