energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-4.69134567,0.85796970,0.28920050,0.00605071,0.24042692,0.05327100,0.10541744,0.20874125
-4.68534267,0.85633744,0.29035666,0.00608322,0.24357326,0.05255917,0.10417825,0.20439481
-4.67933967,0.85297848,0.29114571,0.00610818,0.24651516,0.05172509,0.10260408,0.19966723
-4.67333667,0.84794836,0.29155018,0.00612492,0.24924346,0.05078042,0.10074494,0.19461964
-4.66733367,0.84130538,0.29154284,0.00613253,0.25174785,0.04973707,0.09865335,0.18931900
-4.66133067,0.83310910,0.29108769,0.00612989,0.25401658,0.04860689,0.09638260,0.18383620
-4.65532766,0.82341994,0.29014194,0.00611570,0.25603650,0.04740137,0.09398504,0.17824432
-4.64932466,0.81230002,0.28865863,0.00608857,0.25779345,0.04613155,0.09151056,0.17261693
-4.64332166,0.79981490,0.28658980,0.00604712,0.25927302,0.04480786,0.08900527,0.16702665
-4.63731866,0.78603595,0.28388997,0.00598999,0.26046134,0.04344020,0.08651044,0.16154389
-4.63131566,0.77104297,0.28051973,0.00591603,0.26134610,0.04203798,0.08406168,0.15623572
-4.62531266,0.75492681,0.27644921,0.00582433,0.26191745,0.04061021,0.08168841,0.15116505
-4.61930965,0.73779160,0.27166117,0.00571429,0.26216877,0.03916566,0.07941360,0.14638981
-4.61330665,0.71975628,0.26615358,0.00558575,0.26209726,0.03771294,0.07725373,0.14196232
-4.60730365,0.70095523,0.25994148,0.00543897,0.26170418,0.03626068,0.07521903,0.13792874
-4.60130065,0.68153786,0.25305812,0.00527472,0.26099483,0.03481752,0.07331380,0.13432849
-4.59529765,0.66166702,0.24555516,0.00509427,0.25997813,0.03339220,0.07153701,0.13119374
-4.58929465,0.64151641,0.23750211,0.00489937,0.25866598,0.03199352,0.06988289,0.12854884
-4.58329165,0.62126692,0.22898489,0.00469225,0.25707232,0.03063023,0.06834169,0.12640980
