energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
4.21710855,2.82803021,0.89818936,0.00000000,3.81599152,0.37166508,1.20161026,0.00000000
4.22311156,2.99889868,0.95701766,0.00000000,4.06402213,0.39416926,1.27335544,0.00000000
4.22911456,3.15910933,1.01296953,0.00000000,4.29999376,0.41525431,1.34027239,0.00000000
4.23511756,3.30609407,1.06519255,0.00000000,4.52042605,0.43457466,1.40121078,0.00000000
4.24112056,3.43749253,1.11289330,0.00000000,4.72210806,0.45181077,1.45510073,0.00000000
4.24712356,3.55123585,1.15536687,0.00000000,4.90222138,0.46668023,1.50098813,0.00000000
4.25312656,3.64562419,1.19202486,0.00000000,5.05845571,0.47894799,1.53806749,0.00000000
4.25912956,3.71939421,1.22242041,0.00000000,5.18911125,0.48843530,1.56571071,0.00000000
4.26513257,3.77177299,1.24626901,0.00000000,5.29318231,0.49502694,1.58349048,0.00000000
4.27113557,3.80251552,1.26346396,0.00000000,5.37041717,0.49867628,1.59119692,0.00000000
4.27713857,3.81192318,1.27408533,0.00000000,5.42135016,0.49940790,1.58884683,0.00000000
4.28314157,3.80084198,1.27840188,0.00000000,5.44730298,0.49731761,1.57668468,0.00000000
4.28914457,3.77063978,1.27686541,0.00000000,5.45035385,0.49256974,1.55517538,0.00000000
4.29514757,3.72316304,1.27009759,0.00000000,5.43327436,0.48539176,1.52498894,0.00000000
4.30115058,3.66067443,1.25886946,0.00000000,5.39943555,0.47606647,1.48697767,0.00000000
4.30715358,3.58577362,1.24407445,0.00000000,5.35268646,0.46492202,1.44214683,0.00000000
4.31315658,3.50130468,1.22669566,0.00000000,5.29720966,0.45232017,1.39162005,0.00000000
4.31915958,3.41025355,1.20776901,0.00000000,5.23735949,0.43864334,1.33660108,0.00000000
4.32516258,3.31564043,1.18834347,0.00000000,5.17748999,0.42428092,1.27833342,0.00000000
4.33116558,3.22041137,1.16944034,0.00000000,5.12177996,0.40961556,1.21805978,0.00000000
4.33716858,3.12733394,1.15201308,0.00000000,5.07406293,0.39500987,1.15698286,0.00000000
4.34317159,3.03890157,1.13690975,0.00000000,5.03766995,0.38079427,1.09622929,0.00000000
4.34917459,2.95725044,1.12483935,0.00000000,5.01529230,0.36725637,1.03681803,0.00000000
4.35517759,2.88409274,1.11634397,0.00000000,5.00887091,0.35463237,0.97963445,0.00000000
4.36118059,2.82066884,1.11177762,0.00000000,5.01951756,0.34310077,0.92541096,0.00000000
4.36718359,2.76772026,1.11129295,0.00000000,5.04747204,0.33277870,0.87471467,0.00000000
4.37318659,2.72548445,1.11483637,0.00000000,5.09209738,0.32372079,0.82794234,0.00000000
4.37918959,2.69371111,1.12215170,0.00000000,5.15191378,0.31592074,0.78532241,0.00000000
4.38519260,2.67169901,1.13279231,0.00000000,5.22466992,0.30931532,0.74692363,0.00000000
4.39119560,2.65835127,1.14614117,0.00000000,5.30744859,0.30379052,0.71266954,0.00000000
4.39719860,2.65224617,1.16143778,0.00000000,5.39680182,0.29918966,0.68235780,0.00000000
4.40320160,2.65172006,1.17781094,0.00000000,5.48890946,0.29532282,0.65568320,0.00000000
4.40920460,2.65495821,1.19431576,0.00000000,5.57975384,0.29197727,0.63226312,0.00000000
4.41520760,2.66008930,1.20997323,0.00000000,5.66530237,0.28892838,0.61166412,0.00000000
4.42121061,2.66527906,1.22381075,0.00000000,5.74168947,0.28595035,0.59342831,0.00000000
4.42721361,2.66881875,1.23490166,0.00000000,5.80538951,0.28282657,0.57709845,0.00000000
4.43321661,2.66920443,1.24240208,0.00000000,5.85337236,0.27935890,0.56224055,0.00000000
4.43921961,2.66520345,1.24558367,0.00000000,5.88323456,0.27537563,0.54846319,0.00000000
4.44522261,2.65590537,1.24386067,0.00000000,5.89329987,0.27073784,0.53543289,0.00000000
4.45122561,2.64075532,1.23681048,0.00000000,5.88268472,0.26534394,0.52288496,0.00000000
4.45722861,2.61956836,1.22418679,0.00000000,5.85132593,0.25913219,0.51062979,0.00000000
