energy_ev,total_up,Hg_p_up,Hg_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-4.70335168,2.08403265,0.67762419,0.38060504,0.30720224,0.00134062,0.17183447,0.66852303
-4.69734867,2.16165720,0.70067694,0.39368475,0.31938540,0.00138571,0.17955516,0.69422758
-4.69134567,2.23684107,0.72242975,0.40629564,0.33084738,0.00143180,0.18670462,0.71929807
-4.68534267,2.30862527,0.74254584,0.41822808,0.34138073,0.00147872,0.19317040,0.74344940
-4.67933967,2.37618306,0.76073837,0.42929130,0.35080928,0.00152639,0.19885440,0.76643490
-4.67333667,2.43884911,0.77678028,0.43931952,0.35899335,0.00157479,0.20367638,0.78805500
-4.66733367,2.49614335,0.79051231,0.44817735,0.36583408,0.00162397,0.20757726,0.80816425
-4.66133067,2.54778843,0.80184899,0.45576414,0.37127648,0.00167410,0.21052167,0.82667630
-4.65532766,2.59371967,0.81078208,0.46201712,0.37531112,0.00172541,0.21249994,0.84356646
-4.64932466,2.63408678,0.81738134,0.46691321,0.37797434,0.00177823,0.21352915,0.85887177
-4.64332166,2.66924691,0.82179247,0.47046925,0.37934685,0.00183293,0.21365344,0.87268849
-4.63731866,2.69974903,0.82423218,0.47274074,0.37955082,0.00188994,0.21294326,0.88516682
-4.63131566,2.72631004,0.82498059,0.47381903,0.37874551,0.00194971,0.21149369,0.89650336
-4.62531266,2.74978339,0.82437111,0.47382706,0.37712147,0.00201271,0.20942189,0.90693133
-4.61930965,2.77112148,0.82277819,0.47291382,0.37489378,0.00207937,0.20686370,0.91670901
-4.61330665,2.79133320,0.82060353,0.47124779,0.37229427,0.00215005,0.20396941,0.92610703
-4.60730365,2.81143863,0.81826100,0.46900956,0.36956325,0.00222503,0.20089901,0.93539489
-4.60130065,2.83242258,0.81616125,0.46638400,0.36694101,0.00230450,0.19781700,0.94482743
-4.59529765,2.85518926,0.81469624,0.46355236,0.36465938,0.00238847,0.19488686,0.95463186
-4.58929465,2.88051987,0.81422459,0.46068460,0.36293370,0.00247679,0.19226560,0.96499588
-4.58329165,2.90903498,0.81505815,0.45793222,0.36195548,0.00256916,0.19009831,0.97605748
-4.57728864,2.94116352,0.81745042,0.45542212,0.36188609,0.00266506,0.18851319,0.98789682
-4.57128564,2.97711934,0.82158708,0.45325150,0.36285157,0.00276378,0.18761702,1.00053057
-4.56528264,3.01688661,0.82757917,0.45148415,0.36493882,0.00286441,0.18749142,1.01390894
-4.55927964,3.06021445,0.83545898,0.45014830,0.36819322,0.00296589,0.18818992,1.02791538
-4.55327664,3.10662090,0.84517878,0.44923593,0.37261780,0.00306697,0.18973598,1.04236914
-4.54727364,3.15540603,0.85661244,0.44870375,0.37817380,0.00316630,0.19212216,1.05703029
-4.54127064,3.20567357,0.86955978,0.44847561,0.38478272,0.00326240,0.19531025,1.07160718
-4.53526763,3.25636002,0.88375347,0.44844627,0.39232970,0.00335378,0.19923261,1.08576581
-4.52926463,3.30627011,0.89886815,0.44848633,0.40066795,0.00343890,0.20379451,1.09914086
-4.52326163,3.35411717,0.91453153,0.44844813,0.40962425,0.00351625,0.20887743,1.11134789
-4.51725863,3.39856687,0.93033688,0.44817221,0.41900526,0.00358443,0.21434329,1.12199621
-4.51125563,3.43828280,0.94585677,0.44749427,0.42860426,0.00364213,0.22003928,1.13070201
-4.50525263,3.47197216,0.96065728,0.44625210,0.43820840,0.00368822,0.22580336,1.13710134
-4.49924962,3.49843026,0.97431249,0.44429245,0.44760591,0.00372177,0.23146997,1.14086248
-4.49324662,3.51658213,0.98641865,0.44147738,0.45659336,0.00374210,0.23687592,1.14169726
-4.48724362,3.52552009,0.99660772,0.43768993,0.46498246,0.00374876,0.24186624,1.13937122
-4.48124062,3.52453620,1.00455968,0.43283901,0.47260645,0.00374163,0.24629957,1.13371203
-4.47523762,3.51314835,1.01001345,0.42686315,0.47932572,0.00372083,0.25005325,1.12461626
-4.46923462,3.49111958,1.01277594,0.41973322,0.48503255,0.00368683,0.25302754,1.11205401
-4.46323162,3.45846980,1.01272899,0.41145388,0.48965486,0.00364035,0.25514909,1.09607158
-4.45722861,3.41547969,1.00983401,0.40206385,0.49315878,0.00358241,0.25637350,1.07679184
-4.45122561,3.36268672,1.00413405,0.39163498,0.49554995,0.00351428,0.25668676,1.05441252
-4.44522261,3.30087333,0.99575338,0.38027011,0.49687355,0.00343745,0.25610569,1.02920229
-4.43921961,3.23104770,0.98489441,0.36810005,0.49721303,0.00335361,0.25467739,1.00149487
-4.43321661,3.15441776,0.97183214,0.35527952,0.49668744,0.00326459,0.25247757,0.97168126
-4.42721361,3.07235918,0.95690632,0.34198248,0.49544768,0.00317233,0.24960818,0.94020037
-4.42121061,2.98637846,0.94051144,0.32839682,0.49367151,0.00307881,0.24619413,0.90752826
-4.41520760,2.89807235,0.92308505,0.31471883,0.49155762,0.00298603,0.24237952,0.87416648
-4.40920460,2.80908487,0.90509469,0.30114748,0.48931900,0.00289593,0.23832345,0.84062968
-4.40320160,2.72106343,0.88702397,0.28787877,0.48717570,0.00281035,0.23419554,0.80743309
-4.39719860,2.63561552,0.86935822,0.27510044,0.48534730,0.00273100,0.23017147,0.77508020
-4.39119560,2.55426744,0.85257023,0.26298708,0.48404537,0.00265939,0.22642864,0.74405096
-4.38519260,2.47842629,0.83710665,0.25169591,0.48346613,0.00259684,0.22314211,0.71479113
-4.37918959,2.40934657,0.82337538,0.24136326,0.48378361,0.00254440,0.22048092,0.68770285
-4.37318659,2.34810231,0.81173451,0.23210193,0.48514349,0.00250283,0.21860487,0.66313689
-4.36718359,2.29556534,0.80248307,0.22399945,0.48765785,0.00247266,0.21766194,0.64138676
-4.36118059,2.25239041,0.79585384,0.21711719,0.49140096,0.00245407,0.21778610,0.62268464
-4.35517759,2.21900704,0.79200845,0.21149037,0.49640633,0.00244700,0.21909575,0.60719949
-4.34917459,2.19561812,0.79103483,0.20712888,0.50266490,0.00245107,0.22169251,0.59503687
-4.34317159,2.18220487,0.79294686,0.20401881,0.51012458,0.00246566,0.22566037,0.58624067
-4.33716858,2.17853734,0.79768633,0.20212458,0.51869100,0.00248990,0.23106512,0.58079633
-4.33116558,2.18418994,0.80512679,0.20139145,0.52822953,0.00252270,0.23795385,0.57863529
