energy_ev,total_up,Ga_p_up,Ga_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
2.26613307,0.86402104,0.21041306,0.00000000,0.42094032,0.20279753,0.84856963,0.00000000
2.27213607,0.85381098,0.21335063,0.00000000,0.42775517,0.20243721,0.83296334,0.00000000
2.27813907,0.84473756,0.21635903,0.00000000,0.43519636,0.20250382,0.81757611,0.00000000
2.28414207,0.83700033,0.21939791,0.00000000,0.44320455,0.20302868,0.80274285,0.00000000
2.29014507,0.83076149,0.22241217,0.00000000,0.45169390,0.20403244,0.78876482,0.00000000
2.29614807,0.82614532,0.22533401,0.00000000,0.46055515,0.20552523,0.77590505,0.00000000
2.30215108,0.82323954,0.22808563,0.00000000,0.46965995,0.20750743,0.76438488,0.00000000
2.30815408,0.82209848,0.23058264,0.00000000,0.47886655,0.20997103,0.75438186,0.00000000
2.31415708,0.82274771,0.23273790,0.00000000,0.48802635,0.21290138,0.74602864,0.00000000
2.32016008,0.82518975,0.23446571,0.00000000,0.49699116,0.21627927,0.73941290,0.00000000
2.32616308,0.82941053,0.23568604,0.00000000,0.50562063,0.22008323,0.73457814,0.00000000
2.33216608,0.83538589,0.23632867,0.00000000,0.51378952,0.22429178,0.73152518,0.00000000
2.33816908,0.84308792,0.23633705,0.00000000,0.52139441,0.22888562,0.73021420,0.00000000
2.34417209,0.85249051,0.23567148,0.00000000,0.52835932,0.23384940,0.73056726,0.00000000
2.35017509,0.86357367,0.23431172,0.00000000,0.53464015,0.23917316,0.73247106,0.00000000
2.35617809,0.87632655,0.23225866,0.00000000,0.54022736,0.24485324,0.73578009,0.00000000
2.36218109,0.89074871,0.22953504,0.00000000,0.54514701,0.25089246,0.74031985,0.00000000
2.36818409,0.90684973,0.22618518,0.00000000,0.54945984,0.25729987,0.74589044,0.00000000
2.37418709,0.92464705,0.22227367,0.00000000,0.55325856,0.26408968,0.75227034,0.00000000
2.38019010,0.94416243,0.21788318,0.00000000,0.55666350,0.27127984,0.75922052,0.00000000
2.38619310,0.96541705,0.21311134,0.00000000,0.55981676,0.27888996,0.76648893,0.00000000
2.39219610,0.98842582,0.20806707,0.00000000,0.56287524,0.28693908,0.77381546,0.00000000
2.39819910,1.01319126,0.20286631,0.00000000,0.56600298,0.29544312,0.78093735,0.00000000
2.40420210,1.03969740,0.19762754,0.00000000,0.56936312,0.30441238,0.78759513,0.00000000
2.41020510,1.06790424,0.19246724,0.00000000,0.57311012,0.31384917,0.79353899,0.00000000
2.41620810,1.09774323,0.18749555,0.00000000,0.57738239,0.32374577,0.79853549,0.00000000
2.42221111,1.12911410,0.18281234,0.00000000,0.58229601,0.33408283,0.80237458,0.00000000
2.42821411,1.16188344,0.17850386,0.00000000,0.58793971,0.34482832,0.80487655,0.00000000
2.43421711,1.19588521,0.17464015,0.00000000,0.59437137,0.35593716,0.80589887,0.00000000
2.44022011,1.23092326,0.17127330,0.00000000,0.60161624,0.36735157,0.80534257,0.00000000
