energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-4.77538769,6.32359381,0.01544831,0.17824780,2.62261257,4.04170817,1.88087023,0.00000000,0.42077374,0.69676605
-4.76938469,6.39079014,0.01561607,0.18081415,2.66163312,4.07423939,1.90889242,0.00000000,0.42936009,0.70562322
-4.76338169,6.45239121,0.01579623,0.18326025,2.69643760,4.10405740,1.93430073,0.00000000,0.43753586,0.71390060
-4.75737869,6.50751230,0.01598613,0.18554203,2.72657724,4.13066129,1.95677055,0.00000000,0.44521417,0.72153022
-4.75137569,6.55551545,0.01618299,0.18761982,2.75171653,4.15370774,1.97605771,0.00000000,0.45232026,0.72846564
-4.74537269,6.59601143,0.01638381,0.18945882,2.77163828,4.17301110,1.99200011,0.00000000,0.45879161,0.73468119
-4.73936968,6.62885023,0.01658542,0.19102951,2.78624423,4.18853559,2.00451598,0.00000000,0.46457756,0.74017036
-4.73336668,6.65410128,0.01678446,0.19230777,2.79555110,4.20038058,2.01359925,0.00000000,0.46963846,0.74494337
-4.72736368,6.67202452,0.01697739,0.19327501,2.79968264,4.20875949,2.01931234,0.00000000,0.47394447,0.74902409
-4.72136068,6.68303442,0.01716053,0.19391801,2.79885807,4.21397406,2.02177692,0.00000000,0.47747416,0.75244656
-4.71535768,6.68765892,0.01733011,0.19422872,2.79337781,4.21638509,2.02116314,0.00000000,0.48021287,0.75525124
-4.70935468,6.68649569,0.01748238,0.19420396,2.78360689,4.21638155,2.01767797,0.00000000,0.48215122,0.75748132
-4.70335168,6.68016809,0.01761368,0.19384498,2.76995725,4.21434966,2.01155330,0.00000000,0.48328365,0.75917915
-4.69734867,6.66928297,0.01772058,0.19315695,2.75286943,4.21064361,2.00303432,0.00000000,0.48360716,0.76038309
-4.69134567,6.65439275,0.01780003,0.19214846,2.73279446,4.20555956,1.99236867,0.00000000,0.48312043,0.76112477
-4.68534267,6.63596315,0.01784946,0.19083089,2.71017684,4.19931402,1.97979689,0.00000000,0.48182318,0.76142707
-4.67933967,6.61434846,0.01786695,0.18921783,2.68543890,4.19202807,1.96554440,0.00000000,0.47971601,0.76130274
-4.67333667,6.58977500,0.01785136,0.18732450,2.65896727,4.18371780,1.94981531,0.00000000,0.47680050,0.76075365
-4.66733367,6.56233353,0.01780243,0.18516711,2.63110180,4.17429163,1.93278814,0.00000000,0.47307971,0.75977092
-4.66133067,6.53198059,0.01772086,0.18276235,2.60212707,4.16355434,1.91461351,0.00000000,0.46855896,0.75833558
