energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
2.05602801,6.02959623,0.01414379,0.42550358,0.56637404,2.65251835,0.09529512,0.80674238,1.69201127,2.60967769
2.06203102,6.17466069,0.01446500,0.41606871,0.57988163,2.75852475,0.09489560,0.82541793,1.71403166,2.66724700
2.06803402,6.31241672,0.01480936,0.40614803,0.59276812,2.86228396,0.09441276,0.84243158,1.73297702,2.72043892
2.07403702,6.44063052,0.01517796,0.39581360,0.60484454,2.96241257,0.09385007,0.85748484,1.74831881,2.76820830
2.08004002,6.55713076,0.01557146,0.38513951,0.61591968,3.05753965,0.09320925,0.87029331,1.75957710,2.80956428
2.08604302,6.65987219,0.01599003,0.37420112,0.62580573,3.14634385,0.09249051,0.88059575,1.76633605,2.84360042
2.09204602,6.74700092,0.01643341,0.36307438,0.63432472,3.22759144,0.09169289,0.88816306,1.76825893,2.86952449
2.09804902,6.81691867,0.01690093,0.35183539,0.64131545,3.30017397,0.09081484,0.89280711,1.76510199,2.88668688
2.10405203,6.86834322,0.01739162,0.34056005,0.64664071,3.36314388,0.08985477,0.89438867,1.75672648,2.89460622
2.11005503,6.90036248,0.01790427,0.32932395,0.65019444,3.41574669,0.08881177,0.89282445,1.74310837,2.89299106
2.11605803,6.91247950,0.01843759,0.31820224,0.65190855,3.45744843,0.08768628,0.88809254,1.72434516,2.88175654
2.12206103,6.90464633,0.01899038,0.30726980,0.65175903,3.48795697,0.08648071,0.88023628,1.70065942,2.86103509
2.12806403,6.87728482,0.01956163,0.29660120,0.64977098,3.50723651,0.08520001,0.86936611,1.67239863,2.83118067
2.13406703,6.83129320,0.02015068,0.28627091,0.64602238,3.51551421,0.08385212,0.85565939,1.64003140,2.79276600
2.14007004,6.76803751,0.02075740,0.27635322,0.64064623,3.51327889,0.08244823,0.83935816,1.60413980,2.74657282
2.14607304,6.68932785,0.02138221,0.26692226,0.63383078,3.50127144,0.08100289,0.82076476,1.56540799,2.69357532
2.15207604,6.59737989,0.02202621,0.25805165,0.62581794,3.48046728,0.07953397,0.80023550,1.52460748,2.63491727
2.15807904,6.49476260,0.02269120,0.24981416,0.61689946,3.45205138,0.07806230,0.77817265,1.48257927,2.57188356
2.16408204,6.38433364,0.02337956,0.24228096,0.60741123,3.41738658,0.07661128,0.75501485,1.44021345,2.50586709
2.17008504,6.26916456,0.02409423,0.23552076,0.59772550,3.37797618,0.07520621,0.73122634,1.39842680,2.43833207
2.17608804,6.15245786,0.02483850,0.22959858,0.58824138,3.33542211,0.07387350,0.70728541,1.35813897,2.37077508
2.18209105,6.03745877,0.02561577,0.22457435,0.57937377,3.29137982,0.07263983,0.68367229,1.32024816,2.30468499
2.18809405,5.92736422,0.02642926,0.22050128,0.57154122,3.24751141,0.07153114,0.66085703,1.28560668,2.24150318
2.19409705,5.82523216,0.02728167,0.21742401,0.56515280,3.20543848,0.07057166,0.63928762,1.25499758,2.18258520
2.20010005,5.73389381,0.02817478,0.21537670,0.56059486,3.16669598,0.06978297,0.61937871,1.22911259,2.12916512
2.20610305,5.65587178,0.02910912,0.21438106,0.55821774,3.13268855,0.06918304,0.60150137,1.20853252,2.08232349
2.21210605,5.59330656,0.03008353,0.21444446,0.55832326,3.10465074,0.06878545,0.58597405,1.19371040,2.04296010
2.21810905,5.54789384,0.03109488,0.21555819,0.56115329,3.08361214,0.06859871,0.57305501,1.18495813,2.01177189
2.22411206,5.52083465,0.03213775,0.21769597,0.56687992,3.07036866,0.06862580,0.56293653,1.18243715,1.98923703
2.23011506,5.51280008,0.03320426,0.22081285,0.57559775,3.06546075,0.06886380,0.55574090,1.18615326,1.97560519
2.23611806,5.52391193,0.03428399,0.22484459,0.58731848,3.06915937,0.06930388,0.55151837,1.19595613,1.97089446
2.24212106,5.55374001,0.03536399,0.22970758,0.60196822,3.08146030,0.06993137,0.55024704,1.21154343,1.97489483
2.24812406,5.60131655,0.03642900,0.23529941,0.61938768,3.10208691,0.07072611,0.55183476,1.23246951,1.98717804
2.25412706,5.66516748,0.03746171,0.24150007,0.63933524,3.13050162,0.07166303,0.55612286,1.25815859,2.00711351
2.26013007,5.74335977,0.03844324,0.24817387,0.66149284,3.16592581,0.07271283,0.56289160,1.28792197,2.03388978
2.26613307,5.83356347,0.03935367,0.25517204,0.68547465,3.20736766,0.07384291,0.57186728,1.32097867,2.06654072
2.27213607,5.93312673,0.04017270,0.26233587,0.71083806,3.25365708,0.07501837,0.58273052,1.35647908,2.10397578
2.27813907,6.03916107,0.04088040,0.26950046,0.73709672,3.30348681,0.07620306,0.59512579,1.39353055,2.14501310
2.28414207,6.14863427,0.04145795,0.27649878,0.76373503,3.35545821,0.07736077,0.60867150,1.43122419,2.18841463
2.29014507,6.25846741,0.04188841,0.28316609,0.79022365,3.40813021,0.07845636,0.62297068,1.46866188,2.23292191
2.29614807,6.36563271,0.04215744,0.28934433,0.81603531,3.46006959,0.07945680,0.63762163,1.50498247,2.27729145
2.30215108,6.46724835,0.04225400,0.29488652,0.84066041,3.50990075,0.08033221,0.65222838,1.53938619,2.32032845
2.30815408,6.56066673,0.04217083,0.29966077,0.86362164,3.55635286,0.08105673,0.66641055,1.57115646,2.36091783
2.31415708,6.64355279,0.04190491,0.30355396,0.88448728,3.59830262,0.08160926,0.67981233,1.59967813,2.39805149
2.32016008,6.71394930,0.04145771,0.30647469,0.90288242,3.63481066,0.08197395,0.69211034,1.62445166,2.43085101
2.32616308,6.77032667,0.04083526,0.30835558,0.91849799,3.66515015,0.08214062,0.70302013,1.64510261,2.45858505
2.33216608,6.81161546,0.04004805,0.30915465,0.93109698,3.68882633,0.08210483,0.71230121,1.66138633,2.48068109
2.33816908,6.83722053,0.03911081,0.30885582,0.94051808,3.70558611,0.08186783,0.71976051,1.67318772,2.49673132
2.34417209,6.84701669,0.03804202,0.30746855,0.94667630,3.71541738,0.08143627,0.72525424,1.68051619,2.50649263
2.35017509,6.84132646,0.03686341,0.30502652,0.94956106,3.71853828,0.08082178,0.72868823,1.68349640,2.50988112
2.35617809,6.82088157,0.03559926,0.30158556,0.94923164,3.71537689,0.08004028,0.73001688,1.68235516,2.50696172
2.36218109,6.78677026,0.03427566,0.29722085,0.94581063,3.70654255,0.07911127,0.72924084,1.67740537,2.49793343
2.36818409,6.74037352,0.03291968,0.29202358,0.93947557,3.69279044,0.07805697,0.72640357,1.66902774,2.48311135
2.37418709,6.68329329,0.03155861,0.28609722,0.93044932,3.67498102,0.07690135,0.72158719,1.65765137,2.46290629
2.38019010,6.61727654,0.03021911,0.27955362,0.91898972,3.65403671,0.07566927,0.71490761,1.64373385,2.43780304
2.38619310,6.54413856,0.02892650,0.27250901,0.90537902,3.63089780,0.07438550,0.70650935,1.62774212,2.40833840
2.39219610,6.46568930,0.02770411,0.26508022,0.88991347,3.60647975,0.07307387,0.69656021,1.61013455,2.37507979
2.39819910,6.38366565,0.02657266,0.25738113,0.87289361,3.58163407,0.07175651,0.68524594,1.59134514,2.33860536
2.40420210,6.29967254,0.02554986,0.24951962,0.85461559,3.55711424,0.07045320,0.67276506,1.57177037,2.29948632
