energy_ev,total_up,Pd_p_up,Pd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
2.30215108,5.35167469,6.41827539,0.59610567,1.30103578,0.01536568,3.59762992,0.00000000
2.30815408,5.19196361,6.18635703,0.57388143,1.24382553,0.01471092,3.54241534,0.00000000
2.31415708,5.02431842,5.94925189,0.55137995,1.18722038,0.01406400,3.47686951,0.00000000
2.32016008,4.85102566,5.71033150,0.52885840,1.13185159,0.01343208,3.40229685,0.00000000
2.32616308,4.67435850,5.47286064,0.50656409,1.07831857,0.01282161,3.32002216,0.00000000
2.33216608,4.49652205,5.23991932,0.48472911,1.02717622,0.01223830,3.23135273,0.00000000
2.33816908,4.31960395,5.01433425,0.46356570,0.97892358,0.01168696,3.13754599,0.00000000
2.34417209,4.14553203,4.79862210,0.44326241,0.93399404,0.01117152,3.03978387,0.00000000
2.35017509,3.97604042,4.59494622,0.42398117,0.89274769,0.01069500,2.93915445,0.00000000
2.35617809,3.81264487,4.40508774,0.40585532,0.85546583,0.01025947,2.83664106,0.00000000
2.36218109,3.65662761,4.23043100,0.38898867,0.82234805,0.00986617,2.73311841,0.00000000
2.36818409,3.50903141,4.07196287,0.37345556,0.79351174,0.00951549,2.62935486,0.00000000
2.37418709,3.37066204,3.93028462,0.35930172,0.76899398,0.00920711,2.52601978,0.00000000
2.38019010,3.24209811,3.80563447,0.34654593,0.74875563,0.00894005,2.42369453,0.00000000
2.38619310,3.12370664,3.69791882,0.33518230,0.73268727,0.00871276,2.32288555,0.00000000
2.39219610,3.01566297,3.60674971,0.32518291,0.72061676,0.00852326,2.22403821,0.00000000
2.39819910,2.91797317,3.53148634,0.31650080,0.71231781,0.00836921,2.12754994,0.00000000
2.40420210,2.83049763,3.47127818,0.30907298,0.70751937,0.00824800,2.03378169,0.00000000
2.41020510,2.75297436,3.42510803,0.30282346,0.70591529,0.00815684,1.94306680,0.00000000
2.41620810,2.68504097,3.39183318,0.29766608,0.70717394,0.00809285,1.85571682,0.00000000
2.42221111,2.62625460,3.37022366,0.29350712,0.71094756,0.00805311,1.77202421,0.00000000
2.42821411,2.57610926,3.35899672,0.29024757,0.71688092,0.00803471,1.69226199,0.00000000
2.43421711,2.53405055,3.35684710,0.28778522,0.72461928,0.00803479,1.61668082,0.00000000
2.44022011,2.49948784,3.36247313,0.28601631,0.73381550,0.00805061,1.54550410,0.00000000
2.44622311,2.47180416,3.37459876,0.28483699,0.74413614,0.00807953,1.47892182,0.00000000
2.45222611,2.45036429,3.39199182,0.28414456,0.75526657,0.00811907,1.41708405,0.00000000
2.45822911,2.43452154,3.41347903,0.28383853,0.76691522,0.00816691,1.36009464,0.00000000
2.46423212,2.42362352,3.43795797,0.28382154,0.77881676,0.00822091,1.30800599,0.00000000
2.47023512,2.41701759,3.46440653,0.28400022,0.79073437,0.00827912,1.26081520,0.00000000
2.47623812,2.41405585,3.49188981,0.28428601,0.80246115,0.00833979,1.21846218,0.00000000
2.48224112,2.41410015,3.51956480,0.28459588,0.81382049,0.00840138,1.18082963,0.00000000
2.48824412,2.41652692,3.54668256,0.28485305,0.82466570,0.00846258,1.14774506,0.00000000
2.49424712,2.42073178,3.57258810,0.28498759,0.83487859,0.00852225,1.11898463,0.00000000
2.50025013,2.42613372,3.59671753,0.28493702,0.84436725,0.00857950,1.09427845,0.00000000
2.50625313,2.43217869,3.61859273,0.28464663,0.85306303,0.00863358,1.07331708,0.00000000
2.51225613,2.43834230,3.63781338,0.28406981,0.86091667,0.00868393,1.05575877,0.00000000
2.51825913,2.44413160,3.65404655,0.28316808,0.86789390,0.00873011,1.04123698,0.00000000
2.52426213,2.44908581,3.66701439,0.28191098,0.87397051,0.00877179,1.02936801,0.00000000
2.53026513,2.45277601,3.67648027,0.28027573,0.87912721,0.00880865,1.01975819,0.00000000
2.53626813,2.45480419,3.68223430,0.27824675,0.88334439,0.00884042,1.01201068,0.00000000
2.54227114,2.45480161,3.68407904,0.27581501,0.88659733,0.00886677,1.00573151,0.00000000
2.54827414,2.45242712,3.68181641,0.27297725,0.88885181,0.00888727,1.00053509,0.00000000
2.55427714,2.44736573,3.67523685,0.26973519,0.89006067,0.00890140,0.99604898,0.00000000
