energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-1.97798899,0.50481738,0.43508074,0.04622330,0.03150465,0.02572092,0.06486546,0.03689260,0.23627398,0.00000000
-1.97198599,0.54623670,0.44974665,0.05101545,0.03512890,0.02825919,0.06903312,0.04027772,0.25050404,0.00000000
-1.96598299,0.59266926,0.46905277,0.05627084,0.03908727,0.03102073,0.07384903,0.04402098,0.26718095,0.00000000
-1.95997999,0.64345316,0.49247970,0.06193228,0.04333699,0.03396115,0.07920655,0.04807201,0.28602544,0.00000000
-1.95397699,0.69782721,0.51942244,0.06793372,0.04782973,0.03703228,0.08499059,0.05237309,0.30670958,0.00000000
-1.94797399,0.75493619,0.54919863,0.07420036,0.05251134,0.04018238,0.09107822,0.05685946,0.32885998,0.00000000
-1.94197099,0.81384037,0.58105959,0.08064923,0.05732209,0.04335670,0.09733981,0.06146004,0.35206283,0.00000000
-1.93596798,0.87352914,0.61420420,0.08719011,0.06219705,0.04649822,0.10364075,0.06609836,0.37587057,0.00000000
-1.92996498,0.93293871,0.64779518,0.09372691,0.06706693,0.04954864,0.10984370,0.07069396,0.39981030,0.00000000
-1.92396198,0.99097348,0.68097762,0.10015933,0.07185913,0.05244961,0.11581129,0.07516395,0.42339365,0.00000000
-1.91795898,1.04653048,0.71289908,0.10638490,0.07649912,0.05514413,0.12140915,0.07942489,0.44612784,0.00000000
-1.91195598,1.09852596,0.74273078,0.11230125,0.08091201,0.05757798,0.12650919,0.08339485,0.46752760,0.00000000
-1.90595298,1.14592338,0.76968909,0.11780850,0.08502429,0.05970134,0.13099301,0.08699551,0.48712760,0.00000000
-1.89994997,1.18776145,0.79305655,0.12281187,0.08876568,0.06147027,0.13475519,0.09015439,0.50449478,0.00000000
-1.89394697,1.22318127,0.81220160,0.12722406,0.09207097,0.06284819,0.13770641,0.09280687,0.51924024,0.00000000
-1.88794397,1.25145127,0.82659634,0.13096769,0.09488181,0.06380713,0.13977626,0.09489818,0.53103015,0.00000000
-1.88194097,1.27198898,0.83583137,0.13397740,0.09714829,0.06432883,0.14091546,0.09638501,0.53959520,0.00000000
-1.87593797,1.28437862,0.83962733,0.13620172,0.09883046,0.06440559,0.14109764,0.09723690,0.54473821,0.00000000
-1.86993497,1.28838372,0.83784245,0.13760448,0.09989934,0.06404076,0.14032035,0.09743714,0.54633955,0.00000000
-1.86393197,1.28395437,0.83047596,0.13816588,0.10033781,0.06324900,0.13860543,0.09698331,0.54436023,0.00000000
-1.85792896,1.27122870,0.81766719,0.13788302,0.10014101,0.06205618,0.13599865,0.09588735,0.53884239,0.00000000
-1.85192596,1.25052866,0.79969038,0.13676994,0.09931642,0.06049902,0.13256873,0.09417512,0.52990737,0.00000000
-1.84592296,1.22235044,0.77694571,0.13485726,0.09788352,0.05862443,0.12840571,0.09188559,0.51775129,0.00000000
-1.83991996,1.18734995,0.74994673,0.13219131,0.09587311,0.05648871,0.12361881,0.08906962,0.50263859,0.00000000
-1.83391696,1.14632424,0.71930511,0.12883290,0.09332634,0.05415647,0.11833397,0.08578841,0.48489362,0.00000000
-1.82791396,1.10018959,0.68571315,0.12485573,0.09029340,0.05169952,0.11269100,0.08211171,0.46489090,0.00000000
-1.82191096,1.04995748,0.64992508,0.12034451,0.08683204,0.04919568,0.10684071,0.07811583,0.44304427,0.00000000
-1.81590795,0.99670921,0.61273780,0.11539302,0.08300588,0.04672756,0.10094193,0.07388159,0.41979563,0.00000000
-1.80990495,0.94157042,0.57497181,0.11010186,0.07888275,0.04438139,0.09515872,0.06949223,0.39560346,0.00000000
-1.80390195,0.88568617,0.53745306,0.10457632,0.07453281,0.04224591,0.08965762,0.06503147,0.37093180,0.00000000
-1.79789895,0.83019748,0.50099621,0.09892420,0.07002694,0.04041127,0.08460524,0.06058162,0.34623987,0.00000000
-1.79189595,0.77621995,0.46638963,0.09325370,0.06543502,0.03896807,0.08016606,0.05622190,0.32197269,0.00000000
-1.78589295,0.72482463,0.43438249,0.08767150,0.06082449,0.03800639,0.07650042,0.05202705,0.29855290,0.00000000
-1.77988994,0.67702155,0.40567388,0.08228088,0.05625903,0.03761483,0.07376282,0.04806611,0.27637394,0.00000000
-1.77388694,0.63374580,0.38090384,0.07718013,0.05179744,0.03787953,0.07210025,0.04440147,0.25579454,0.00000000
-1.76788394,0.59584597,0.36064620,0.07246101,0.04749275,0.03888304,0.07165067,0.04108816,0.23713458,0.00000000
-1.76188094,0.56407471,0.34540280,0.06820751,0.04339158,0.04070321,0.07254144,0.03817339,0.22067209,0.00000000
-1.75587794,0.53908102,0.33559877,0.06449465,0.03953361,0.04341168,0.07488766,0.03569621,0.20664144,0.00000000
-1.74987494,0.52140391,0.33157846,0.06138750,0.03595141,0.04707238,0.07879039,0.03368734,0.19523231,0.00000000
-1.74387194,0.51146695,0.33360171,0.05894032,0.03267028,0.05173966,0.08433463,0.03216920,0.18658946,0.00000000
-1.73786893,0.50957361,0.34184025,0.05719585,0.02970839,0.05745628,0.09158715,0.03115584,0.18081298,0.00000000
-1.73186593,0.51590310,0.35637403,0.05618466,0.02707697,0.06425129,0.10059414,0.03065313,0.17795903,0.00000000
-1.72586293,0.53050658,0.37718744,0.05592470,0.02478066,0.07213769,0.11137879,0.03065883,0.17804085,0.00000000
-1.71985993,0.55330418,0.40416576,0.05642096,0.02281789,0.08111023,0.12393892,0.03116277,0.18103005,0.00000000
-1.71385693,0.58408266,0.43709181,0.05766527,0.02118136,0.09114323,0.13824472,0.03214703,0.18685811,0.00000000
-1.70785393,0.62249457,0.47564357,0.05963634,0.01985863,0.10218875,0.15423697,0.03358617,0.19541832,0.00000000
-1.70185093,0.66805903,0.51939295,0.06229993,0.01883258,0.11417512,0.17182574,0.03544751,0.20656795,0.00000000
-1.69584792,0.72016494,0.56780651,0.06560939,0.01808208,0.12700606,0.19088989,0.03769149,0.22013097,0.00000000
-1.68984492,0.77807696,0.62024852,0.06950635,0.01758255,0.14056051,0.21127746,0.04027216,0.23590139,0.00000000
-1.68384192,0.84094495,0.67598696,0.07392179,0.01730658,0.15469332,0.23280718,0.04313777,0.25364717,0.00000000
-1.67783892,0.90781698,0.73420277,0.07877742,0.01722456,0.16923679,0.25527112,0.04623155,0.27311494,0.00000000
-1.67183592,0.97765623,0.79400262,0.08398730,0.01730530,0.18400329,0.27843858,0.04949261,0.29403535,0.00000000
-1.66583292,1.04936160,0.85443524,0.08945983,0.01751669,0.19878871,0.30206105,0.05285708,0.31612915,0.00000000
-1.65982991,1.12179170,0.91451106,0.09509993,0.01782627,0.21337692,0.32587828,0.05625934,0.33911372,0.00000000
-1.65382691,1.19379171,0.97322467,0.10081141,0.01820194,0.22754497,0.34962507,0.05963340,0.36271001,0.00000000
