energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
4.80540270,1.26789079,-1.26789079,0.61962003,-0.61962003,0.00000000,-0.00000000,1.56612474,-1.56612474,0.02081266,-0.02081266,0.04525991,-0.04525991,0.18426174,-0.18426174
4.81140570,1.30162391,-1.30162391,0.62706591,-0.62706591,0.00000000,-0.00000000,1.59837444,-1.59837444,0.02134356,-0.02134356,0.04630036,-0.04630036,0.19383897,-0.19383897
4.81740870,1.33402994,-1.33402994,0.63414021,-0.63414021,0.00000000,-0.00000000,1.62948768,-1.62948768,0.02184064,-0.02184064,0.04721769,-0.04721769,0.20343476,-0.20343476
4.82341171,1.36497285,-1.36497285,0.64080843,-0.64080843,0.00000000,-0.00000000,1.65936087,-1.65936087,0.02230123,-0.02230123,0.04801019,-0.04801019,0.21297495,-0.21297495
4.82941471,1.39433642,-1.39433642,0.64704634,-0.64704634,0.00000000,-0.00000000,1.68791484,-1.68791484,0.02272308,-0.02272308,0.04867801,-0.04867801,0.22238317,-0.22238317
4.83541771,1.42202434,-1.42202434,0.65283857,-0.65283857,0.00000000,-0.00000000,1.71509279,-1.71509279,0.02310427,-0.02310427,0.04922310,-0.04922310,0.23158242,-0.23158242
4.84142071,1.44795955,-1.44795955,0.65817636,-0.65817636,0.00000000,-0.00000000,1.74085680,-1.74085680,0.02344324,-0.02344324,0.04964914,-0.04964914,0.24049664,-0.24049664
4.84742371,1.47208319,-1.47208319,0.66305470,-0.66305470,0.00000000,-0.00000000,1.76518340,-1.76518340,0.02373867,-0.02373867,0.04996143,-0.04996143,0.24905229,-0.24905229
4.85342671,1.49435293,-1.49435293,0.66746905,-0.66746905,0.00000000,-0.00000000,1.78805831,-1.78805831,0.02398950,-0.02398950,0.05016670,-0.05016670,0.25717992,-0.25717992
4.85942971,1.51474100,-1.51474100,0.67141197,-0.67141197,0.00000000,-0.00000000,1.80947078,-1.80947078,0.02419485,-0.02419485,0.05027297,-0.05027297,0.26481552,-0.26481552
4.86543272,1.53323179,-1.53323179,0.67486984,-0.67486984,0.00000000,-0.00000000,1.82940784,-1.82940783,0.02435400,-0.02435400,0.05028936,-0.05028936,0.27190174,-0.27190174
4.87143572,1.54981915,-1.54981915,0.67782011,-0.67782011,0.00000000,-0.00000000,1.84784876,-1.84784876,0.02446635,-0.02446635,0.05022578,-0.05022578,0.27838874,-0.27838874
4.87743872,1.56450342,-1.56450342,0.68022903,-0.68022903,0.00000000,-0.00000000,1.86476001,-1.86476001,0.02453141,-0.02453141,0.05009272,-0.05009272,0.28423488,-0.28423488
4.88344172,1.57728826,-1.57728826,0.68205031,-0.68205031,0.00000000,-0.00000000,1.88009094,-1.88009094,0.02454881,-0.02454881,0.04990093,-0.04990093,0.28940693,-0.28940693
4.88944472,1.58817732,-1.58817732,0.68322474,-0.68322474,0.00000000,-0.00000000,1.89377040,-1.89377040,0.02451828,-0.02451828,0.04966108,-0.04966108,0.29387997,-0.29387997
4.89544772,1.59717094,-1.59717094,0.68368074,-0.68368074,0.00000000,-0.00000000,1.90570450,-1.90570450,0.02443968,-0.02443968,0.04938347,-0.04938347,0.29763704,-0.29763704
4.90145073,1.60426298,-1.60426298,0.68333606,-0.68333606,0.00000000,-0.00000000,1.91577564,-1.91577564,0.02431303,-0.02431303,0.04907764,-0.04907764,0.30066839,-0.30066839
4.90745373,1.60943797,-1.60943797,0.68210032,-0.68210032,0.00000000,-0.00000000,1.92384287,-1.92384287,0.02413853,-0.02413853,0.04875207,-0.04875207,0.30297061,-0.30297061
4.91345673,1.61266881,-1.61266881,0.67987852,-0.67987852,0.00000000,-0.00000000,1.92974379,-1.92974379,0.02391659,-0.02391659,0.04841391,-0.04841391,0.30454556,-0.30454556
4.91945973,1.61391527,-1.61391527,0.67657517,-0.67657517,0.00000000,-0.00000000,1.93329783,-1.93329783,0.02364787,-0.02364787,0.04806869,-0.04806869,0.30539932,-0.30539932
4.92546273,1.61312348,-1.61312348,0.67209893,-0.67209893,0.00000000,-0.00000000,1.93431113,-1.93431113,0.02333332,-0.02333332,0.04772016,-0.04772016,0.30554113,-0.30554113
4.93146573,1.61022664,-1.61022664,0.66636749,-0.66636749,0.00000000,-0.00000000,1.93258277,-1.93258277,0.02297422,-0.02297422,0.04737017,-0.04737017,0.30498257,-0.30498257
4.93746873,1.60514720,-1.60514720,0.65931247,-0.65931247,0.00000000,-0.00000000,1.92791239,-1.92791239,0.02257222,-0.02257222,0.04701869,-0.04701869,0.30373696,-0.30373696
4.94347174,1.59780033,-1.59780033,0.65088407,-0.65088407,0.00000000,-0.00000000,1.92010890,-1.92010890,0.02212933,-0.02212933,0.04666389,-0.04666389,0.30181905,-0.30181905
4.94947474,1.58809909,-1.58809909,0.64105511,-0.64105511,0.00000000,-0.00000000,1.90900011,-1.90900011,0.02164798,-0.02164798,0.04630234,-0.04630234,0.29924512,-0.29924512
4.95547774,1.57596073,-1.57596073,0.62982449,-0.62982449,0.00000000,-0.00000000,1.89444287,-1.89444287,0.02113104,-0.02113104,0.04592934,-0.04592934,0.29603338,-0.29603338
4.96148074,1.56131432,-1.56131432,0.61721964,-0.61721964,0.00000000,-0.00000000,1.87633336,-1.87633336,0.02058179,-0.02058179,0.04553930,-0.04553930,0.29220479,-0.29220479
4.96748374,1.54410899,-1.54410899,0.60329782,-0.60329782,0.00000000,-0.00000000,1.85461710,-1.85461710,0.02000395,-0.02000395,0.04512625,-0.04512625,0.28778411,-0.28778411
4.97348674,1.52432276,-1.52432276,0.58814640,-0.58814640,0.00000000,-0.00000000,1.82929809,-1.82929809,0.01940162,-0.01940162,0.04468434,-0.04468434,0.28280116,-0.28280116
4.97948974,1.50197103,-1.50197103,0.57188173,-0.57188173,0.00000000,-0.00000000,1.80044668,-1.80044668,0.01877931,-0.01877931,0.04420846,-0.04420846,0.27729225,-0.27729225
4.98549275,1.47711463,-1.47711463,0.55464699,-0.55464699,0.00000000,-0.00000000,1.76820564,-1.76820564,0.01814185,-0.01814185,0.04369475,-0.04369475,0.27130144,-0.27130144
4.99149575,1.44986653,-1.44986653,0.53660874,-0.53660874,0.00000000,-0.00000000,1.73279395,-1.73279395,0.01749437,-0.01749437,0.04314116,-0.04314116,0.26488185,-0.26488185
4.99749875,1.42039698,-1.42039698,0.51795265,-0.51795265,0.00000000,-0.00000000,1.69450808,-1.69450808,0.01684219,-0.01684219,0.04254790,-0.04254790,0.25809651,-0.25809651
5.00350175,1.38893641,-1.38893641,0.49887833,-0.49887833,0.00000000,-0.00000000,1.65372039,-1.65372039,0.01619075,-0.01619075,0.04191778,-0.04191778,0.25101893,-0.25101893
5.00950475,1.35577601,-1.35577601,0.47959371,-0.47959371,0.00000000,-0.00000000,1.61087467,-1.61087467,0.01554554,-0.01554554,0.04125645,-0.04125645,0.24373320,-0.24373320
5.01550775,1.32126560,-1.32126560,0.46030909,-0.46030909,0.00000000,-0.00000000,1.56647876,-1.56647876,0.01491195,-0.01491195,0.04057249,-0.04057249,0.23633356,-0.23633356
5.02151076,1.28580886,-1.28580886,0.44123125,-0.44123125,0.00000000,-0.00000000,1.52109454,-1.52109454,0.01429523,-0.01429523,0.03987734,-0.03987734,0.22892336,-0.22892336
5.02751376,1.24985588,-1.24985588,0.42255787,-0.42255787,0.00000000,-0.00000000,1.47532550,-1.47532550,0.01370029,-0.01370029,0.03918504,-0.03918504,0.22161360,-0.22161360
5.03351676,1.21389354,-1.21389354,0.40447248,-0.40447248,0.00000000,-0.00000000,1.42980253,-1.42980253,0.01313169,-0.01313169,0.03851189,-0.03851189,0.21452085,-0.21452085
5.03951976,1.17843372,-1.17843372,0.38714026,-0.38714026,0.00000000,-0.00000000,1.38516831,-1.38516831,0.01259349,-0.01259349,0.03787591,-0.03787591,0.20776484,-0.20776484
5.04552276,1.14400023,-1.14400023,0.37070479,-0.37070479,0.00000000,-0.00000000,1.34206099,-1.34206099,0.01208917,-0.01208917,0.03729618,-0.03729618,0.20146567,-0.20146567
5.05152576,1.11111467,-1.11111467,0.35528594,-0.35528594,0.00000000,-0.00000000,1.30109782,-1.30109782,0.01162156,-0.01162156,0.03679215,-0.03679215,0.19574084,-0.19574084
