energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-4.69734867,2.16388855,0.03813046,0.33868275,0.39066793,0.43445920,0.08594498,0.69323301
-4.69134567,2.33026539,0.04090857,0.36642155,0.41837977,0.46925354,0.09306060,0.74349673
-4.68534267,2.50161729,0.04363243,0.39409500,0.44794710,0.50455874,0.10015504,0.79697532
-4.67933967,2.67582509,0.04625836,0.42128764,0.47908897,0.53991208,0.10712629,0.85315748
-4.67333667,2.85066696,0.04874308,0.44757584,0.51149402,0.57483774,0.11386926,0.91148602
-4.66733367,3.02387645,0.05104487,0.47253791,0.54483032,0.60885893,0.12027825,0.97137484
-4.66133067,3.19320624,0.05312471,0.49576489,0.57875650,0.64151105,0.12624958,1.03222766
-4.65532766,3.35649524,0.05494746,0.51687191,0.61293351,0.67235532,0.13168428,1.09345800
-4.64932466,3.51173619,0.05648293,0.53550944,0.64703676,0.70099243,0.13649087,1.15450941
-4.64332166,3.65714085,0.05770691,0.55137404,0.68076790,0.72707552,0.14058798,1.21487510
-4.63731866,3.79119994,0.05860197,0.56421824,0.71386584,0.75032187,0.14390678,1.27411605
-4.63131566,3.91273504,0.05915815,0.57385885,0.74611652,0.77052291,0.14639304,1.33187679
-4.62531266,4.02094000,0.05937343,0.58018360,0.77736080,0.78755190,0.14800884,1.38789807
-4.61930965,4.11540994,0.05925387,0.58315554,0.80750039,0.80136896,0.14873372,1.44202584
-4.61330665,4.19615647,0.05881362,0.58281511,0.83650131,0.81202327,0.14856534,1.49421615
-4.60730365,4.26360839,0.05807462,0.57927978,0.86439482,0.81965213,0.14751953,1.54453581
-4.60130065,4.31859800,0.05706606,0.57274110,0.89127591,0.82447717,0.14562977,1.59315884
-4.59529765,4.36233368,0.05582363,0.56345948,0.91729935,0.82679761,0.14294610,1.64035892
-4.58929465,4.39636020,0.05438856,0.55175674,0.94267360,0.82698102,0.13953358,1.68649852
-4.58329165,4.42250873,0.05280656,0.53800683,0.96765294,0.82545205,0.13547020,1.73201518
-4.57728864,4.44283894,0.05112653,0.52262505,0.99252829,0.82267946,0.13084460,1.77740582
-4.57128564,4.45957589,0.04939934,0.50605631,1.01761715,0.81916213,0.12575337,1.82320986
-4.56528264,4.47504445,0.04767646,0.48876274,1.04325313,0.81541462,0.12029838,1.86999206
-4.55927964,4.49160379,0.04600866,0.47121127,1.06977561,0.81195274,0.11458395,1.91832566
-4.55327664,4.51158443,0.04444475,0.45386148,1.09751980,0.80927975,0.10871417,1.96877659
-4.54727364,4.53722964,0.04303039,0.43715431,1.12680760,0.80787352,0.10279035,2.02188901
-4.54127064,4.57064263,0.04180704,0.42150174,1.15793933,0.80817502,0.09690876,2.07817244
-4.53526763,4.61374026,0.04081105,0.40727788,1.19118649,0.81057835,0.09115863,2.13809047
-4.52926463,4.66821368,0.04007285,0.39481161,1.22678533,0.81542242,0.08562055,2.20205071
-4.52326163,4.73549532,0.03961635,0.38438078,1.26493126,0.82298419,0.08036516,2.27039569
-4.51725863,4.81673181,0.03945851,0.37620814,1.30577367,0.83347360,0.07545232,2.34339408
-4.51125563,4.91276166,0.03960899,0.37045883,1.34941103,0.84702974,0.07093056,2.42123186
-4.50525263,5.02409674,0.04007007,0.36723930,1.39588596,0.86371840,0.06683690,2.50400278
-4.49924962,5.15090658,0.04083665,0.36659766,1.44518005,0.88353056,0.06319690,2.59169789
-4.49324662,5.29300471,0.04189637,0.36852517,1.49720842,0.90638178,0.06002507,2.68419408
-4.48724362,5.44983681,0.04322992,0.37295857,1.55181394,0.93211245,0.05732535,2.78124161
-4.48124062,5.62047077,0.04481143,0.37978340,1.60876144,0.96048864,0.05509185,2.88245127
-4.47523762,5.80358935,0.04660899,0.38883779,1.66773208,0.99120386,0.05330963,2.98728192
-4.46923462,5.99748663,0.04858528,0.39991675,1.72831856,1.02388160,0.05195561,3.09502933
-4.46323162,6.20006995,0.05069827,0.41277694,1.79002164,1.05807897,0.05099952,3.20481776
-4.45722861,6.40886910,0.05290208,0.42714155,1.85224866,1.09329151,0.05040487,3.31559555
-4.45122561,6.62105474,0.05514784,0.44270563,1.91431482,1.12895954,0.05012998,3.42613607
-4.44522261,6.83346804,0.05738474,0.45914150,1.97544781,1.16447611,0.05012897,3.53504545
-4.43921961,7.04266284,0.05956104,0.47610439,2.03479624,1.19919678,0.05035284,3.64077792
-4.43321661,7.24496141,0.06162524,0.49323836,2.09144242,1.23245122,0.05075054,3.74165947
-4.42721361,7.43652383,0.06352716,0.51018230,2.14441927,1.26355664,0.05127000,3.83592004
-4.42121061,7.61343054,0.06521920,0.52657620,2.19273161,1.29183279,0.05185929,3.92173384
-4.41520760,7.77177616,0.06665740,0.54206742,2.23538098,1.31661836,0.05246769,3.99726688
-4.40920460,7.90777225,0.06780261,0.55631716,2.27139361,1.33728810,0.05304679,4.06073021
-4.40320160,8.01785556,0.06862145,0.56900671,2.29985027,1.35327038,0.05355157,4.11043713
-4.39719860,8.09879772,0.06908726,0.57984368,2.31991710,1.36406427,0.05394142,4.14486166
-4.39119560,8.14781181,0.06918078,0.58856777,2.33087583,1.36925573,0.05418109,4.16269607
-4.38519260,8.16265124,0.06889077,0.59495622,2.33215218,1.36853190,0.05424154,4.16290445
-4.37918959,8.14169622,0.06821429,0.59882845,2.32334093,1.36169304,0.05410060,4.14476991
-4.37318659,8.08402356,0.06715686,0.60004999,2.30422653,1.34866149,0.05374360,4.10793278
-4.36718359,7.98945639,0.06573228,0.59853550,2.27479800,1.32948704,0.05316362,4.05241793
-4.36118059,7.85859081,0.06396229,0.59425056,2.23525739,1.30434856,0.05236168,3.97864952
-4.35517759,7.69279800,0.06187593,0.58721245,2.18602123,1.27355158,0.05134662,3.88745233
-4.34917459,7.49420120,0.05950871,0.57748960,2.12771481,1.23752196,0.05013480,3.78003925
-4.34317159,7.26562806,0.05690164,0.56519985,2.06115928,1.19679573,0.04874957,3.65798543
-4.33716858,7.01054035,0.05410004,0.55050751,1.98735229,1.15200558,0.04722048,3.52318992
-4.33116558,6.73294351,0.05115230,0.53361927,1.90744275,1.10386445,0.04558239,3.37782641
-4.32516258,6.43727993,0.04810861,0.51477913,1.82270083,1.05314687,0.04387436,3.22428520
