energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-4.57728864,7.66481580,0.01761732,0.79286665,2.98346123,3.73387593,0.13333834,2.28451322
-4.57128564,7.87145744,0.01802659,0.83780471,3.05166171,3.90858121,0.13020587,2.28670495
-4.56528264,8.11891459,0.01839557,0.88945699,3.13578730,4.11032888,0.12707450,2.29533078
-4.55927964,8.41013248,0.01872043,0.94819486,3.23720431,4.34084585,0.12395314,2.31108467
-4.55327664,8.74758043,0.01899805,1.01431582,3.35706408,4.60158171,0.12084877,2.33456156
-4.54727364,9.13315724,0.01922604,1.08803072,3.49625521,4.89364732,0.11776732,2.36623835
-4.54127064,9.56808992,0.01940280,1.16945073,3.65535459,5.21774984,0.11471447,2.40645245
-4.53526763,10.05282953,0.01952751,1.25857446,3.83457912,5.57412654,0.11169617,2.45537905
-4.52926463,10.58694889,0.01960009,1.35527587,4.03374052,5.96248021,0.10871895,2.51300838
-4.52326163,11.16904806,0.01962115,1.45929332,4.25220567,6.38191941,0.10579010,2.57912449
-4.51725863,11.79667387,0.01959190,1.57022059,4.48886535,6.83090725,0.10291752,2.65328729
-4.51125563,12.46625985,0.01951408,1.68750032,4.74211401,7.30722210,0.10010957,2.73481987
-4.50525263,13.17309294,0.01938987,1.81042057,5.00984297,7.80793388,0.09737469,2.82280247
-4.49924962,13.91131215,0.01922177,1.93811493,5.28944922,8.32939887,0.09472108,2.91607486
-4.49324662,14.67394377,0.01901257,2.06956664,5.57786110,8.86727560,0.09215625,3.01324816
-4.48724362,15.45297560,0.01876526,2.20361706,5.87158175,9.41656335,0.08968676,3.11272660
-4.48124062,16.23947138,0.01848296,2.33897856,6.16675014,9.97166424,0.08731797,3.21273949
-4.47523762,17.02372455,0.01816892,2.47425176,6.45921879,10.52646856,0.08505383,3.31138278
-4.46923462,17.79544821,0.01782651,2.60794708,6.74464630,11.07446191,0.08289696,3.40666920
-4.46323162,18.54399678,0.01745920,2.73851005,7.01860211,11.60885217,0.08084867,3.49658522
-4.45722861,19.25861261,0.01707058,2.86434993,7.27668012,12.12271256,0.07890917,3.57915285
-4.45122561,19.92868976,0.01666437,2.98387088,7.51461721,12.60913711,0.07707784,3.65249370
-4.44522261,20.54404593,0.01624444,3.09550500,7.72841250,13.06140350,0.07535353,3.71489278
-4.43921961,21.09519300,0.01581481,3.19774613,7.91444288,13.47313807,0.07373485,3.76485905
-4.43321661,21.57359645,0.01537966,3.28918361,8.06957029,13.83847778,0.07222046,3.80118030
-4.42721361,21.97191425,0.01494328,3.36853494,8.19123690,14.15222346,0.07080925,3.82296975
-4.42121061,22.28420660,0.01451002,3.43467637,8.27754429,14.40997925,0.06950050,3.82970245
-4.41520760,22.50610903,0.01408428,3.48667036,8.32731380,14.60827359,0.06829386,3.82123975
-4.40920460,22.63496267,0.01367034,3.52378930,8.34012566,14.74465756,0.06718926,3.79784101
