energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-3.14857429,1.45725838,-0.85336604,0.06123790,-0.03363339,1.06320412,-0.44428179,0.00180911,-0.00001983,0.04156319,-0.13432199,0.14423254,-0.11712322,0.12558898,-0.09999822,0.00758828,-0.00112566,0.19592384,-0.19842912
-3.14257129,1.42980389,-0.83763820,0.06139961,-0.03236685,1.04703637,-0.44341482,0.00180290,-0.00002229,0.03881757,-0.12684821,0.14396583,-0.11242562,0.12146046,-0.09811489,0.00764781,-0.00107300,0.18882857,-0.19031433
-3.13656828,1.40152007,-0.82152724,0.06168781,-0.03106163,1.02969899,-0.44262499,0.00178666,-0.00002520,0.03649984,-0.11916566,0.14419093,-0.10750515,0.11711581,-0.09617909,0.00768739,-0.00102162,0.18217047,-0.18218784
-3.13056528,1.37312326,-0.80548003,0.06214856,-0.02974113,1.01176250,-0.44214664,0.00176100,-0.00002865,0.03460511,-0.11135704,0.14494735,-0.10244109,0.11261190,-0.09422900,0.00771195,-0.00097238,0.17602797,-0.17416849
-3.12456228,1.34537056,-0.78997962,0.06282993,-0.02843016,0.99383506,-0.44223846,0.00172674,-0.00003278,0.03312498,-0.10350536,0.14626643,-0.09731841,0.10801011,-0.09230661,0.00772740,-0.00092628,0.17047844,-0.16637578
-3.11855928,1.31903469,-0.77553402,0.06378051,-0.02715430,0.97654220,-0.44317738,0.00168484,-0.00003770,0.03204794,-0.09569206,0.14816947,-0.09222517,0.10337423,-0.09045701,0.00774047,-0.00088445,0.16559654,-0.15892703
-3.11255628,1.29487736,-0.76266343,0.06504788,-0.02593926,0.96050542,-0.44525140,0.00163638,-0.00004359,0.03135970,-0.08799526,0.15066597,-0.08725003,0.09876837,-0.08872727,0.00775849,-0.00084812,0.16145218,-0.15193452
-3.10655328,1.27362239,-0.75188636,0.06667687,-0.02481028,0.94632064,-0.44875138,0.00158253,-0.00005061,0.03104346,-0.08048801,0.15375218,-0.08247978,0.09425479,-0.08716526,0.00778914,-0.00081862,0.15810844,-0.14550272
-3.10055028,1.25592970,-0.74370501,0.06870775,-0.02379148,0.93453729,-0.45396214,0.00152447,-0.00005895,0.03108010,-0.07323688,0.15741002,-0.07799707,0.08989195,-0.08581822,0.00784019,-0.00079735,0.15561942,-0.13972571
-3.09454727,1.24237151,-0.73859045,0.07117456,-0.02290529,0.92563911,-0.46115307,0.00146339,-0.00006882,0.03144835,-0.06630067,0.16160653,-0.07387841,0.08573272,-0.08473122,0.00791920,-0.00078574,0.15402805,-0.13468485
-3.08854427,1.23341158,-0.73696796,0.07410342,-0.02217192,0.92002738,-0.47056872,0.00140045,-0.00008046,0.03212488,-0.05972945,0.16629384,-0.07019239,0.08182286,-0.08394559,0.00803320,-0.00078526,0.15336416,-0.13044685
