energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-4.85942971,4.47734166,0.03285859,0.83317679,2.26693578,1.61685393,0.05999259,1.70894491,0.14100867,0.06623125
-4.85342671,4.46866746,0.03251197,0.82952659,2.28372938,1.61368303,0.05976430,1.71033245,0.14076281,0.06498876
-4.84742371,4.45546571,0.03204061,0.82502985,2.29823002,1.60906747,0.05942455,1.70992846,0.14034196,0.06372896
-4.84142071,4.43747616,0.03145513,0.81970554,2.31002722,1.60297874,0.05896924,1.70749939,0.13973453,0.06244734
-4.83541771,4.41442464,0.03076818,0.81356328,2.31871532,1.59537529,0.05839524,1.70282002,0.13893021,0.06113906
-4.82941471,4.38603366,0.02999418,0.80660390,2.32390643,1.58620250,0.05770070,1.69568105,0.13792050,0.05979930
-4.82341171,4.35203519,0.02914902,0.79882081,2.32524350,1.57539420,0.05688531,1.68589687,0.13669929,0.05842360
-4.81740870,4.31218523,0.02824964,0.79020195,2.32241306,1.56287587,0.05595051,1.67331319,0.13526323,0.05700820
-4.81140570,4.26627950,0.02731369,0.78073213,2.31515726,1.54856936,0.05489955,1.65781421,0.13361225,0.05555026
-4.80540270,4.21416943,0.02635915,0.77039585,2.30328453,1.53239871,0.05373762,1.63932905,0.13174976,0.05404814
-4.79939970,4.15577765,0.02540393,0.75918027,2.28667851,1.51429694,0.05247177,1.61783699,0.12968296,0.05250150
-4.79339670,4.09111210,0.02446552,0.74707818,2.26530486,1.49421321,0.05111085,1.59337142,0.12742288,0.05091146
-4.78739370,4.02027779,0.02356061,0.73409082,2.23921548,1.47211992,0.04966532,1.56602209,0.12498435,0.04928059
-4.78139070,3.94348559,0.02270481,0.72023042,2.20855007,1.44801930,0.04814704,1.53593551,0.12238587,0.04761287
-4.77538769,3.86105708,0.02191229,0.70552225,2.17353458,1.42194895,0.04656901,1.50331355,0.11964928,0.04591367
-4.76938469,3.77342521,0.02119555,0.69000597,2.13447686,1.39398588,0.04494506,1.46840986,0.11679931,0.04418954
-4.76338169,3.68113018,0.02056519,0.67373645,2.09175925,1.36424879,0.04328953,1.43152449,0.11386308,0.04244808
-4.75737869,3.58481077,0.02002970,0.65678366,2.04582854,1.33289825,0.04161691,1.39299669,0.11086938,0.04069769
-4.75137569,3.48519093,0.01959528,0.63923189,1.99718351,1.30013473,0.03994152,1.35319611,0.10784796,0.03894735
