energy_ev,total_up,Al_p_up,Al_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
1.33566783,7.33307183,0.65737713,0.00000000,4.00514268,5.59837208,0.07504139,1.41844729
1.34167084,7.16174400,0.64259662,0.00000000,3.95313557,5.44977057,0.07533990,1.38711832
1.34767384,6.98400902,0.62776789,0.00000000,3.88995324,5.29815837,0.07531790,1.35485679
1.35367684,6.80099804,0.61300295,0.00000000,3.81576928,5.14468856,0.07496461,1.32178058
1.35967984,6.61370592,0.59838289,0.00000000,3.73088006,4.99036504,0.07427400,1.28797658
1.36568284,6.42299660,0.58395868,0.00000000,3.63571459,4.83603607,0.07324525,1.25350717
1.37168584,6.22961304,0.56975299,0.00000000,3.53083978,4.68239382,0.07188314,1.21841721
1.37768884,6.03419125,0.55576312,0.00000000,3.41696081,4.52997995,0.07019821,1.18274103
1.38369185,5.83727778,0.54196478,0.00000000,3.29491635,4.37919690,0.06820680,1.14650932
1.38969485,5.63935036,0.52831670,0.00000000,3.16566909,4.23032488,0.06593084,1.10975565
1.39569785,5.44084115,0.51476584,0.00000000,3.03029189,4.08354379,0.06339752,1.07252257
1.40170085,5.24216213,0.50125314,0.00000000,2.88995037,3.93895966,0.06063877,1.03486715
1.40770385,5.04373204,0.48771956,0.00000000,2.74588297,3.79663470,0.05769053,0.99686599
1.41370685,4.84600418,0.47411217,0.00000000,2.59937921,3.65661989,0.05459203,0.95861963
1.41970985,4.64949439,0.46039030,0.00000000,2.45175751,3.51898880,0.05138489,0.92025639
1.42571286,4.45480804,0.44653126,0.00000000,2.30434336,3.38387148,0.04811218,0.88193562
1.43171586,4.26266510,0.43253570,0.00000000,2.15844875,3.25148651,0.04481752,0.84385028
1.43771886,4.07392210,0.41843226,0.00000000,2.01535359,3.12216998,0.04154419,0.80622878
1.44372186,3.88958958,0.40428136,0.00000000,1.87628970,2.99639951,0.03833427,0.76933612
1.44972486,3.71084395,0.39017798,0.00000000,1.74242753,2.87481201,0.03522795,0.73347397
1.45572786,3.53903243,0.37625338,0.00000000,1.61486582,2.75821371,0.03226282,0.69897981
1.46173087,3.37567029,0.36267548,0.00000000,1.49462398,2.64758150,0.02947346,0.66622486
1.46773387,3.22242937,0.34964806,0.00000000,1.38263701,2.54405476,0.02689095,0.63561070
1.47373687,3.08111757,0.33740856,0.00000000,1.27975238,2.44891743,0.02454273,0.60756448
1.47973987,2.95364933,0.32622472,0.00000000,1.18672853,2.36357033,0.02245236,0.58253274
1.48574287,2.84200715,0.31638990,0.00000000,1.10423422,2.28949438,0.02063947,0.56097371
1.49174587,2.74819518,0.30821735,0.00000000,1.03284838,2.22820574,0.01911986,0.54334826
1.49774887,2.67418593,0.30203357,0.00000000,0.97305988,2.18120429,0.01790546,0.53010948
1.50375188,2.62186161,0.29817075,0.00000000,0.92526668,2.14991732,0.01700449,0.52169131
1.50975488,2.59295219,0.29695879,0.00000000,0.88977437,2.13564062,0.01642150,0.51849613
1.51575788,2.58897213,0.29871676,0.00000000,0.86679367,2.13947939,0.01615750,0.52088204
1.52176088,2.61115838,0.30374429,0.00000000,0.85643697,2.16229143,0.01620997,0.52914979
1.52776388,2.66041193,0.31231303,0.00000000,0.85871419,2.20463522,0.01657287,0.54353016
1.53376688,2.73724551,0.32465831,0.00000000,0.87352796,2.26672537,0.01723664,0.56417193
1.53976988,2.84173965,0.34097135,0.00000000,0.90066874,2.34839761,0.01818817,0.59113109
1.54577289,2.97350924,0.36139211,0.00000000,0.93981023,2.44908533,0.01941069,0.62436166
1.55177589,3.13168233,0.38600307,0.00000000,0.99050552,2.56780910,0.02088376,0.66370862
1.55777889,3.31489254,0.41482396,0.00000000,1.05218463,2.70318014,0.02258323,0.70890325
1.56378189,3.52128581,0.44780774,0.00000000,1.12415374,2.85341818,0.02448130,0.75956130
1.56978489,3.74854174,0.48483782,0.00000000,1.20559675,3.01638347,0.02654660,0.81518409
1.57578789,3.99390928,0.52572668,0.00000000,1.29557928,3.18962200,0.02874442,0.87516289
1.58179090,4.25425565,0.57021592,0.00000000,1.39305552,3.37042249,0.03103706,0.93878643
1.58779390,4.52612707,0.61797778,0.00000000,1.49687789,3.55588301,0.03338426,1.00525152
1.59379690,4.80581926,0.66861814,0.00000000,1.60580960,3.74298477,0.03574384,1.07367663
1.59979990,5.08945517,0.72168088,0.00000000,1.71853980,3.92867000,0.03807240,1.14311801
1.60580290,5.37306729,0.77665374,0.00000000,1.83370122,4.10992092,0.04032617,1.21258804
1.61180590,5.65268151,0.83297533,0.00000000,1.94988978,4.28383639,0.04246194,1.28107518
1.61780890,5.92439966,0.89004344,0.00000000,2.06568576,4.44770330,0.04443805,1.34756504
1.62381191,6.18447787,0.94722426,0.00000000,2.17967618,4.59905982,0.04621543,1.41106190
1.62981491,6.42939831,1.00386260,0.00000000,2.29047760,4.73574795,0.04775858,1.47060999
1.63581791,6.65593217,1.05929274,0.00000000,2.39675915,4.85595385,0.04903649,1.52531394
1.64182091,6.86119233,1.11284988,0.00000000,2.49726512,4.95823454,0.05002351,1.57435785
1.64782391,7.04267467,1.16388184,0.00000000,2.59083665,5.04153069,0.05070004,1.61702234
1.65382691,7.19828774,1.21176095,0.00000000,2.67643236,5.10516589,0.05105299,1.65269914
1.65982991,7.32637091,1.25589583,0.00000000,2.75314730,5.14883326,0.05107618,1.68090300
1.66583292,7.42570180,1.29574282,0.00000000,2.82023006,5.17257128,0.05077038,1.70128047
1.67183592,7.49549403,1.33081690,0.00000000,2.87709778,5.17673086,0.05014321,1.71361559
1.67783892,7.53538698,1.36070175,0.00000000,2.92334865,5.16193620,0.04920880,1.71783231
1.68384192,7.54542894,1.38505877,0.00000000,2.95877176,5.12904201,0.04798729,1.71399386
1.68984492,7.52605551,1.40363477,0.00000000,2.98335391,5.07908973,0.04650407,1.70229908
1.69584792,7.47806468,1.41626807,0.00000000,2.99728302,5.01326521,0.04478898,1.68307604
1.70185093,7.40258987,1.42289277,0.00000000,3.00094786,4.93285969,0.04287534,1.65677320
1.70785393,7.30107203,1.42354095,0.00000000,2.99493373,4.83923579,0.04079897,1.62394830
1.71385693,7.17523123,1.41834262,0.00000000,2.98001366,4.73379930,0.03859710,1.58525559
1.71985993,7.02703811,1.40752327,0.00000000,2.95713491,4.61797733,0.03630745,1.54143134
1.72586293,6.85868498,1.39139886,0.00000000,2.92740057,4.49320242,0.03396721,1.49327834
1.73186593,6.67255616,1.37036839,0.00000000,2.89204608,4.36090198,0.03161220,1.44164946
1.73786893,6.47119703,1.34490398,0.00000000,2.85241094,4.22249202,0.02927614,1.38743062
1.74387194,6.25728103,1.31553874,0.00000000,2.80990575,4.07937353,0.02699000,1.33152353
