energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-5.43571786,4.67070405,0.00218971,1.35655147,0.26401684,0.13461602,2.41844392,1.85468473,0.00784515,0.71386157
-5.42971486,4.91302632,0.00220547,1.41721777,0.28179782,0.13832599,2.53035243,1.96471747,0.00740169,0.75194264
-5.42371186,5.16101166,0.00223410,1.47476093,0.30281149,0.14309535,2.63613680,2.07682437,0.00710813,0.79546342
-5.41770885,5.41242826,0.00227560,1.52858364,0.32688628,0.14879816,2.73466789,2.19029308,0.00695168,0.84395831
-5.41170585,5.66512855,0.00233032,1.57815727,0.35383084,0.15530391,2.82496445,2.30443657,0.00691921,0.89693511
-5.40570285,5.91707795,0.00239898,1.62303016,0.38343484,0.16248006,2.90621489,2.41859896,0.00699741,0.95388165
-5.39969985,6.16637850,0.00248271,1.66283363,0.41546981,0.17019442,2.97779412,2.53215961,0.00717294,1.01427224
-5.39369685,6.41128769,0.00258304,1.69728563,0.44969018,0.17831756,3.03927495,2.64453576,0.00743253,1.07757422
-5.38769385,6.65023266,0.00270191,1.72619221,0.48583466,0.18672524,3.09043364,2.75518385,0.00776312,1.14325468
-5.38169085,6.88182033,0.00284157,1.74944685,0.52362790,0.19530081,3.13124954,2.86359976,0.00815193,1.21078725
-5.37568784,7.10484386,0.00300459,1.76702786,0.56278263,0.20393763,3.16189898,2.96931834,0.00858652,1.27965914
-5.36968484,7.31828585,0.00319372,1.77899402,0.60300207,0.21254147,3.18274355,3.07191240,0.00905493,1.34937823
-5.36368184,7.52131881,0.00341186,1.78547884,0.64398284,0.22103284,3.19431354,3.17099142,0.00954577,1.41948023
-5.35767884,7.71330327,0.00366187,1.78668362,0.68541814,0.22934920,3.19728704,3.26620024,0.01004829,1.48953569
-5.35167584,7.89378373,0.00394652,1.78286949,0.72700117,0.23744698,3.19246566,3.35721775,0.01055258,1.55915662
-5.34567284,8.06248286,0.00426833,1.77434883,0.76842877,0.24530334,3.18074782,3.44375583,0.01104964,1.62800262
-5.33966983,8.21929389,0.00462942,1.76147621,0.80940518,0.25291764,3.16310066,3.52555849,0.01153156,1.69578633
-5.33366683,8.36427166,0.00503143,1.74463905,0.84964572,0.26031241,3.14053155,3.60240132,0.01199167,1.76227780
-5.32766383,8.49762219,0.00547534,1.72424820,0.88888046,0.26753395,3.11406037,3.67409117,0.01242467,1.82730786
-5.32166083,8.61969112,0.00596141,1.70072861,0.92685767,0.27465227,3.08469344,3.74046606,0.01282676,1.89077029
-5.31565783,8.73095119,0.00648907,1.67451028,0.96334716,0.28176059,3.05340003,3.80139535,0.01319581,1.95262260
-5.30965483,8.83198907,0.00705687,1.64601958,0.99814322,0.28897417,3.02109212,3.85678013,0.01353139,2.01288569
-5.30365183,8.92349184,0.00766242,1.61567119,1.03106742,0.29642857,2.98860809,3.90655377,0.01383489,2.07164213
-5.29764882,9.00623353,0.00830245,1.58386068,1.06197101,0.30427745,2.95670048,3.95068281,0.01410954,2.12903340
-5.29164582,9.08106213,0.00897276,1.55095805,1.09073707,0.31268972,2.92602829,3.98916797,0.01436039,2.18525616
-5.28564282,9.14888739,0.00966838,1.51730221,1.11728231,0.32184640,2.89715341,4.02204559,0.01459430,2.24055756
-5.27963982,9.21066981,0.01038359,1.48319668,1.14155851,0.33193704,2.87054121,4.04938927,0.01481981,2.29522997
-5.27363682,9.26741086,0.01111216,1.44890649,1.16355363,0.34315586,2.84656459,4.07131186,0.01504704,2.34960508
-5.26763382,9.32014465,0.01184744,1.41465646,1.18329243,0.35569778,2.82551109,4.08796758,0.01528749,2.40404749
-5.26163082,9.36993079,0.01258258,1.38063086,1.20083658,0.36975431,2.80759213,4.09955440,0.01555384,2.45894792
