energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
0.21310655,1.49618666,0.64957459,0.25718534,0.05214459,0.60135458,0.09375282,0.02150968,0.52083092
0.21910955,1.38082577,0.60196883,0.23773431,0.04771618,0.55478926,0.09553154,0.02074139,0.47634317
0.22511256,1.27086194,0.55682964,0.21911141,0.04335376,0.51042407,0.09764622,0.02009069,0.43409067
0.23111556,1.16734244,0.51457619,0.20151414,0.03911046,0.46870896,0.10007977,0.01956622,0.39437688
0.23711856,1.07110026,0.47553108,0.18510204,0.03503214,0.43000276,0.10280130,0.01917317,0.35743937
0.24312156,0.98275026,0.43991980,0.16999579,0.03115683,0.39457207,0.10576716,0.01891342,0.32344838
0.24912456,0.90269339,0.40787363,0.15627782,0.02751447,0.36259354,0.10892261,0.01878584,0.29250780
0.25512756,0.83112794,0.37943575,0.14399421,0.02412701,0.33415893,0.11220393,0.01878663,0.26465843
0.26113057,0.76806643,0.35456981,0.13315750,0.02100869,0.30928237,0.11554092,0.01890975,0.23988301
0.26713357,0.71335672,0.33317025,0.12375040,0.01816661,0.28790925,0.11885967,0.01914731,0.21811268
0.27313657,0.66670586,0.31507372,0.11572987,0.01560146,0.26992605,0.12208534,0.01949001,0.19923444
0.27913957,0.62770518,0.30007097,0.10903156,0.01330834,0.25517055,0.12514500,0.01992753,0.18309900
0.28514257,0.59585527,0.28791847,0.10357414,0.01127770,0.24344187,0.12797015,0.02044885,0.16952891
0.29114557,0.57058979,0.27834933,0.09926349,0.00949624,0.23450990,0.13049899,0.02104256,0.15832627
0.29714857,0.55129715,0.27108316,0.09599654,0.00794784,0.22812384,0.13267829,0.02169701,0.14927993
0.30315158,0.53733953,0.26583444,0.09366456,0.00661444,0.22401953,0.13446465,0.02240048,0.14217201
0.30915458,0.52806877,0.26231943,0.09215607,0.00547681,0.22192554,0.13582534,0.02314121,0.13678333
0.31515758,0.52283918,0.26026142,0.09135902,0.00451522,0.22156806,0.13673850,0.02390743,0.13289809
0.32116058,0.52101730,0.25939458,0.09116263,0.00371008,0.22267460,0.13719288,0.02468727,0.13030746
0.32716358,0.52198911,0.25946639,0.09145864,0.00304238,0.22497668,0.13718709,0.02546875,0.12881240
0.33316658,0.52516499,0.26023906,0.09214226,0.00249405,0.22821185,0.13672845,0.02623969,0.12822566
0.33916958,0.52998311,0.26149012,0.09311283,0.00204826,0.23212512,0.13583162,0.02698762,0.12837332
0.34517259,0.53591183,0.26301253,0.09427427,0.00168959,0.23647018,0.13451703,0.02769986,0.12909573
0.35117559,0.54245163,0.26461457,0.09553552,0.00140413,0.24101060,0.13280932,0.02836348,0.13024830
0.35717859,0.54913711,0.26611974,0.09681095,0.00117951,0.24552114,0.13073580,0.02896548,0.13170211
0.36318159,0.55553939,0.26736695,0.09802084,0.00100489,0.24978947,0.12832518,0.02949295,0.13334446
0.36918459,0.56126921,0.26821112,0.09909207,0.00087092,0.25361819,0.12560649,0.02993338,0.13507951
0.37518759,0.56598077,0.26852416,0.09995879,0.00076965,0.25682727,0.12260834,0.03027497,0.13682889
0.38119060,0.56937631,0.26819657,0.10056342,0.00069441,0.25925692,0.11935860,0.03050701,0.13853248
0.38719360,0.57121123,0.26713930,0.10085759,0.00063975,0.26077061,0.11588434,0.03062041,0.14014908
0.39319660,0.57129946,0.26528611,0.10080321,0.00060130,0.26125824,0.11221219,0.03060807,0.14165707
0.39919960,0.56951874,0.26259588,0.10037353,0.00057569,0.26063924,0.10836893,0.03046538,0.14305490
0.40520260,0.56581533,0.25905511,0.09955411,0.00056046,0.25886538,0.10438233,0.03019066,0.14436123
0.41120560,0.56020783,0.25468002,0.09834360,0.00055396,0.25592311,0.10028215,0.02978554,0.14561474
0.41720860,0.55278966,0.24951839,0.09675438,0.00055528,0.25183528,0.09610118,0.02925521,0.14687346
0.42321161,0.54372996,0.24365077,0.09481288,0.00056422,0.24666208,0.09187625,0.02860870,0.14821344
0.42921461,0.53327250,0.23719102,0.09255954,0.00058121,0.24050107,0.08764918,0.02785896,0.14972693
0.43521761,0.52173268,0.23028605,0.09004850,0.00060728,0.23348626,0.08346751,0.02702283,0.15151989
0.44122061,0.50949242,0.22311467,0.08734688,0.00064403,0.22578628,0.07938506,0.02612094,0.15370887
0.44722361,0.49699316,0.21588561,0.08453376,0.00069363,0.21760155,0.07546219,0.02517744,0.15641749
