energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-4.82941471,4.25215514,0.02069482,0.30334720,0.37216603,0.89643639,3.00607217,0.01120122,1.02728345
-4.82341171,4.26277499,0.02115013,0.31486772,0.36766545,0.89994063,2.99905513,0.01185839,1.03031251
-4.81740870,4.27081108,0.02155580,0.32720035,0.36243327,0.90480991,2.98749389,0.01255650,1.03451807
-4.81140570,4.27616195,0.02191535,0.34023303,0.35649523,0.91101821,2.97138478,0.01329253,1.03993829
-4.80540270,4.27867562,0.02223295,0.35383120,0.34988057,0.91850245,2.95074335,0.01406242,1.04656139
-4.79939970,4.27815920,0.02251313,0.36783888,0.34262272,0.92716497,2.92560953,0.01486111,1.05432888
-4.79339670,4.27439048,0.02276049,0.38208058,0.33476015,0.93687762,2.89605248,0.01568258,1.06314034
-4.78739370,4.26713100,0.02297936,0.39636404,0.32633722,0.94748706,2.86217487,0.01651996,1.07285944
-4.78139070,4.25614033,0.02317353,0.41048381,0.31740489,0.95882135,2.82411636,0.01736563,1.08332110
-4.77538769,4.24119099,0.02334599,0.42422564,0.30802135,0.97069745,2.78205632,0.01821143,1.09433941
-4.76938469,4.22208380,0.02349873,0.43737137,0.29825243,0.98292936,2.73621567,0.01904875,1.10571612
-4.76338169,4.19866297,0.02363258,0.44970448,0.28817179,0.99533662,2.68685797,0.01986884,1.11724939
-4.75737869,4.17083065,0.02374717,0.46101581,0.27786076,1.00775281,2.63428950,0.02066293,1.12874249
-4.75137569,4.13856033,0.02384096,0.47110947,0.26740792,1.02003362,2.57885863,0.02142256,1.14001221
-4.74537269,4.10190847,0.02391128,0.47980857,0.25690833,1.03206413,2.52095417,0.02213973,1.15089654
-4.73936968,4.06102395,0.02395455,0.48696069,0.24646244,1.04376494,2.46100284,0.02280722,1.16126148
-4.73336668,4.01615455,0.02396651,0.49244264,0.23617467,1.05509681,2.39946563,0.02341875,1.17100647
-4.72736368,3.96764994,0.02394244,0.49616451,0.22615167,1.06606343,2.33683305,0.02396923,1.18006841
-4.72136068,3.91596083,0.02387755,0.49807270,0.21650032,1.07671218,2.27361914,0.02445488,1.18842382
-4.71535768,3.86163366,0.02376729,0.49815181,0.20732553,1.08713259,2.21035425,0.02487343,1.19608911
-4.70935468,3.80530086,0.02360765,0.49642523,0.19872781,1.09745265,2.14757647,0.02522415,1.20311879
-4.70335168,3.74766649,0.02339552,0.49295447,0.19080070,1.10783274,2.08582186,0.02550788,1.20960169
-4.69734867,3.68948766,0.02312891,0.48783710,0.18362827,1.11845762,2.02561371,0.02572704,1.21565525
-4.69134567,3.63155214,0.02280717,0.48120354,0.17728251,1.12952662,1.96745087,0.02588550,1.22141803
-4.68534267,3.57465299,0.02243114,0.47321257,0.17182095,1.14124252,1.91179575,0.02598847,1.22704095
-4.67933967,3.51956123,0.02200321,0.46404603,0.16728444,1.15379961,1.85906236,0.02604224,1.23267747
-4.67333667,3.46699779,0.02152731,0.45390264,0.16369528,1.16737154,1.80960477,0.02605400,1.23847334
-4.66733367,3.41760606,0.02100880,0.44299148,0.16105571,1.18209957,1.76370684,0.02603155,1.24455647
-4.66133067,3.37192654,0.02045436,0.43152515,0.15934700,1.19808199,1.72157349,0.02598294,1.25102747
-4.65532766,3.33037495,0.01987168,0.41971314,0.15852899,1.21536520,1.68332438,0.02591625,1.25795148
-4.64932466,3.29322515,0.01926931,0.40775551,0.15854038,1.23393713,1.64899011,0.02583923,1.26535178
-4.64332166,3.26059791,0.01865625,0.39583722,0.15929964,1.25372339,1.61851158,0.02575904,1.27320561
-4.63731866,3.23245622,0.01804173,0.38412340,0.16070662,1.27458642,1.59174261,0.02568202,1.28144255
-4.63131566,3.20860777,0.01743486,0.37275554,0.16264489,1.29632783,1.56845576,0.02561350,1.28994561
-4.62531266,3.18871428,0.01684434,0.36184896,0.16498462,1.31869383,1.54835137,0.02555766,1.29855499
-4.61930965,3.17230759,0.01627823,0.35149141,0.16758611,1.34138345,1.53106929,0.02551747,1.30707429
-4.61330665,3.15881133,0.01574373,0.34174290,0.17030367,1.36405911,1.51620290,0.02549463,1.31527895
-4.60730365,3.14756720,0.01524704,0.33263659,0.17298984,1.38635893,1.50331467,0.02548969,1.32292622
-4.60130065,3.13786424,0.01479320,0.32418077,0.17549976,1.40791000,1.49195252,0.02550208,1.32976620
-4.59529765,3.12896939,0.01438611,0.31636149,0.17769547,1.42834190,1.48166613,0.02553028,1.33555315
-4.58929465,3.12015756,0.01402848,0.30914588,0.17945001,1.44729949,1.47202228,0.02557199,1.34005637
-4.58329165,3.11073949,0.01372190,0.30248585,0.18065113,1.46445435,1.46261860,0.02562426,1.34306996
-4.57728864,3.10008583,0.01346689,0.29632179,0.18120447,1.47951404,1.45309480,0.02568374,1.34442082
-4.57128564,3.08764608,0.01326300,0.29058635,0.18103607,1.49222885,1.44314107,0.02574678,1.34397444
-4.56528264,3.07296155,0.01310896,0.28520780,0.18009404,1.50239554,1.43250313,0.02580965,1.34163803
-4.55927964,3.05567181,0.01300275,0.28011312,0.17834947,1.50985812,1.42098394,0.02586856,1.33736101
-4.55327664,3.03551456,0.01294174,0.27523040,0.17579642,1.51450575,1.40844203,0.02591983,1.33113277
-4.54727364,3.01231938,0.01292277,0.27049086,0.17245114,1.51626807,1.39478685,0.02595989,1.32297802
-4.54127064,2.98599630,0.01294225,0.26583011,0.16835041,1.51510855,1.37997157,0.02598529,1.31295015
-4.53526763,2.95652021,0.01299622,0.26118902,0.16354934,1.51101666,1.36398403,0.02599267,1.30112308
-4.52926463,2.92391269,0.01308038,0.25651405,0.15811851,1.50399932,1.34683652,0.02597878,1.28758244
-4.52326163,2.88822287,0.01319011,0.25175722,0.15214082,1.49407284,1.32855528,0.02594034,1.27241656
-4.51725863,2.84950883,0.01332055,0.24687596,0.14570806,1.48125569,1.30917042,0.02587408,1.25570820
-4.51125563,2.80782115,0.01346653,0.24183266,0.13891746,1.46556314,1.28870709,0.02577666,1.23752745
