energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
1.79789895,1.63188763,0.06043288,0.14685739,0.47467907,0.14035396,0.65671735,0.00000000,0.52998239,0.00705782
1.80390195,1.60250908,0.05791817,0.14436775,0.45617560,0.13919068,0.67333234,0.00000000,0.50208915,0.00712738
1.80990495,1.57092446,0.05522895,0.14159809,0.43726763,0.13791903,0.69044824,0.00000000,0.47341631,0.00718408
1.81590795,1.53772592,0.05240072,0.13857422,0.41825051,0.13655530,0.70781293,0.00000000,0.44450869,0.00722767
1.82191096,1.50349589,0.04947059,0.13532089,0.39941699,0.13511332,0.72515613,0.00000000,0.41590189,0.00725793
1.82791396,1.46879437,0.04647654,0.13186158,0.38105102,0.13360423,0.74219335,0.00000000,0.38811138,0.00727464
1.83391696,1.43414815,0.04345667,0.12821847,0.36342241,0.13203646,0.75863020,0.00000000,0.36162316,0.00727758
1.83991996,1.40004228,0.04044852,0.12441266,0.34678207,0.13041582,0.77416710,0.00000000,0.33688612,0.00726656
1.84592296,1.36691368,0.03748830,0.12046439,0.33135814,0.12874576,0.78850426,0.00000000,0.31430603,0.00724141
1.85192596,1.33514688,0.03461029,0.11639345,0.31735297,0.12702777,0.80134686,0.00000000,0.29424124,0.00720197
1.85792896,1.30507161,0.03184619,0.11221954,0.30494080,0.12526181,0.81241031,0.00000000,0.27699973,0.00714813
1.86393197,1.27696207,0.02922464,0.10796266,0.29426621,0.12344678,0.82142575,0.00000000,0.26283749,0.00707984
1.86993497,1.25103745,0.02677079,0.10364338,0.28544316,0.12158103,0.82814533,0.00000000,0.25195767,0.00699709
1.87593797,1.22746339,0.02450593,0.09928302,0.27855444,0.11966283,0.83234765,0.00000000,0.24451044,0.00689996
1.88194097,1.20635409,0.02244730,0.09490377,0.27365157,0.11769077,0.83384285,0.00000000,0.24059321,0.00678861
1.88794397,1.18777466,0.02060792,0.09052861,0.27075488,0.11566411,0.83247759,0.00000000,0.24025096,0.00666331
1.89394697,1.17174365,0.01899654,0.08618113,0.26985378,0.11358304,0.82813956,0.00000000,0.24347652,0.00652443
1.89994997,1.15823549,0.01761773,0.08188530,0.27090713,0.11144887,0.82076158,0.00000000,0.25021082,0.00637250
1.90595298,1.14718275,0.01647199,0.07766507,0.27384379,0.10926411,0.81032503,0.00000000,0.26034303,0.00620819
1.91195598,1.13847834,0.01555595,0.07354403,0.27856320,0.10703249,0.79686253,0.00000000,0.27371065,0.00603231
1.91795898,1.13197767,0.01486270,0.06954497,0.28493627,0.10475887,0.78045967,0.00000000,0.29009994,0.00584588
1.92396198,1.12750099,0.01438209,0.06568950,0.29280650,0.10244919,0.76125578,0.00000000,0.30924665,0.00565006
1.92996498,1.12483607,0.01410118,0.06199774,0.30199160,0.10011027,0.73944356,0.00000000,0.33083757,0.00544622
1.93596798,1.12374161,0.01400467,0.05848809,0.31228562,0.09774970,0.71526742,0.00000000,0.35451305,0.00523592
1.94197099,1.12395142,0.01407540,0.05517707,0.32346173,0.09537567,0.68902080,0.00000000,0.37987084,0.00502088
1.94797399,1.12517984,0.01429491,0.05207929,0.33527586,0.09299683,0.66104208,0.00000000,0.40647141,0.00480301
1.95397699,1.12712832,0.01464397,0.04920757,0.34747105,0.09062222,0.63170960,0.00000000,0.43384497,0.00458441
1.95997999,1.12949345,0.01510314,0.04657314,0.35978279,0.08826122,0.60143552,0.00000000,0.46150019,0.00436728
1.96598299,1.13197622,0.01565339,0.04418593,0.37194496,0.08592359,0.57065897,0.00000000,0.48893452,0.00415401
1.97198599,1.13429243,0.01627663,0.04205495,0.38369659,0.08361950,0.53983846,0.00000000,0.51564605,0.00394704
1.97798899,1.13618394,0.01695623,0.04018875,0.39478900,0.08135965,0.50944400,0.00000000,0.54114636,0.00374893
