energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-4.86543272,1.37800397,0.01250009,0.12305581,0.00799823,0.00000000,0.64160889,0.37609172,0.00576395,0.73978714
-4.85942971,1.35274016,0.01151748,0.11894657,0.00761316,0.00000000,0.63960693,0.37629641,0.00557495,0.72649096
-4.85342671,1.33290957,0.01061959,0.11521646,0.00725424,0.00000000,0.63915274,0.37864423,0.00544385,0.71579258
-4.84742371,1.31884025,0.00981444,0.11190437,0.00692533,0.00000000,0.64032079,0.38319619,0.00537567,0.70783736
-4.84142071,1.31070220,0.00910782,0.10903526,0.00662959,0.00000000,0.64311958,0.38996179,0.00537438,0.70268677
-4.83541771,1.30850944,0.00850333,0.10662037,0.00636952,0.00000000,0.64749215,0.39889942,0.00544284,0.70032037
-4.82941471,1.31212577,0.00800241,0.10465776,0.00614699,0.00000000,0.65331885,0.40991791,0.00558267,0.70064007
-4.82341171,1.32127411,0.00760444,0.10313327,0.00596323,0.00000000,0.66042220,0.42287914,0.00579421,0.70347637
-4.81740870,1.33554878,0.00730686,0.10202170,0.00581886,0.00000000,0.66857364,0.43760165,0.00607647,0.70859621
-4.81140570,1.35443044,0.00710531,0.10128834,0.00571395,0.00000000,0.67750188,0.45386520,0.00642704,0.71571221
-4.80540270,1.37730312,0.00699377,0.10089063,0.00564803,0.00000000,0.68690260,0.47141623,0.00684212,0.72449296
-4.79939970,1.40347304,0.00696476,0.10077991,0.00562009,0.00000000,0.69644893,0.48997415,0.00731650,0.73457387
-4.79339670,1.43218862,0.00700948,0.10090327,0.00562867,0.00000000,0.70580245,0.50923837,0.00784360,0.74556843
-4.78739370,1.46266128,0.00711806,0.10120541,0.00567186,0.00000000,0.71462432,0.52889595,0.00841555,0.75707941
-4.78139070,1.49408666,0.00727977,0.10163041,0.00574730,0.00000000,0.72258602,0.54862986,0.00902329,0.76870974
-4.77538769,1.52566565,0.00748320,0.10212337,0.00585227,0.00000000,0.72937939,0.56812762,0.00965671,0.78007286
-4.76938469,1.55662506,0.00771657,0.10263196,0.00598367,0.00000000,0.73472574,0.58709020,0.01030489,0.79080216
-4.76338169,1.58623722,0.00796794,0.10310772,0.00613809,0.00000000,0.73838360,0.60524094,0.01095626,0.80055950
-4.75737869,1.61383840,0.00822549,0.10350721,0.00631182,0.00000000,0.74015503,0.62233432,0.01159893,0.80904245
-4.75137569,1.63884542,0.00847774,0.10379292,0.00650092,0.00000000,0.73989040,0.63816433,0.01222093,0.81599039
-4.74537269,1.66077017,0.00871387,0.10393390,0.00670129,0.00000000,0.73749140,0.65257207,0.01281055,0.82118916
-4.73936968,1.67923180,0.00892390,0.10390628,0.00690867,0.00000000,0.73291256,0.66545234,0.01335667,0.82447438
-4.73336668,1.69396594,0.00909895,0.10369343,0.00711878,0.00000000,0.72616107,0.67675902,0.01384903,0.82573345
-4.72736368,1.70483105,0.00923140,0.10328608,0.00732736,0.00000000,0.71729530,0.68650870,0.01427858,0.82490617
-4.72136068,1.71181134,0.00931509,0.10268211,0.00753024,0.00000000,0.70642195,0.69478261,0.01463769,0.82198412
-4.71535768,1.71501624,0.00934540,0.10188631,0.00772347,0.00000000,0.69369215,0.70172629,0.01492043,0.81700886
-4.70935468,1.71467632,0.00931936,0.10090991,0.00790337,0.00000000,0.67929677,0.70754716,0.01512269,0.81006905
-4.70335168,1.71113556,0.00923563,0.09977012,0.00806659,0.00000000,0.66346092,0.71250962,0.01524235,0.80129657
-4.69734867,1.70484016,0.00909450,0.09848944,0.00821024,0.00000000,0.64643815,0.71692782,0.01527926,0.79086185
-4.69134567,1.69632407,0.00889780,0.09709508,0.00833193,0.00000000,0.62850428,0.72115618,0.01523527,0.77896842
-4.68534267,1.68619154,0.00864877,0.09561824,0.00842980,0.00000000,0.60995117,0.72557775,0.01511409,0.76584695
-4.67933967,1.67509715,0.00835191,0.09409339,0.00850258,0.00000000,0.59108057,0.73059081,0.01492117,0.75174877
-4.67333667,1.66372392,0.00801276,0.09255761,0.00854961,0.00000000,0.57219805,0.73659402,0.01466347,0.73693928
-4.66733367,1.65276010,0.00763768,0.09104987,0.00857082,0.00000000,0.55360732,0.74397070,0.01434915,0.72169110
