energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
0.08104052,1.36858217,0.00134413,0.01893383,0.26086107,0.55193992,0.54066287,0.81496403,0.00565242,0.05077886
0.08704352,1.40049763,0.00118982,0.02062472,0.26533035,0.56078292,0.55345992,0.83293847,0.00619799,0.04975380
0.09304652,1.44197842,0.00106886,0.02254332,0.27137349,0.57330007,0.57015812,0.85573762,0.00682652,0.04951316
0.09904952,1.49334258,0.00097749,0.02469279,0.27895052,0.58976779,0.59069186,0.88357109,0.00753846,0.05007978
0.10505253,1.55477318,0.00091217,0.02707450,0.28799180,0.61041379,0.61492260,0.91657613,0.00833329,0.05147250
0.11105553,1.62630479,0.00086960,0.02968785,0.29839855,0.63540870,0.64263887,0.95480737,0.00920940,0.05370545
0.11705853,1.70781199,0.00084675,0.03252998,0.31004402,0.66485805,0.67355792,0.99822817,0.01016396,0.05678726
0.12306153,1.79900016,0.00084085,0.03559557,0.32277527,0.69879477,0.70732876,1.04670366,0.01119280,0.06072012
0.12906453,1.89939874,0.00084934,0.03887652,0.33641557,0.73717244,0.74353669,1.09999576,0.01229030,0.06549865
0.13506753,2.00835733,0.00086993,0.04236173,0.35076732,0.77985944,0.78170917,1.15776036,0.01344929,0.07110884
0.14107054,2.12504473,0.00090049,0.04603676,0.36561546,0.82663432,0.82132293,1.21954679,0.01466100,0.07752689
0.14707354,2.24845109,0.00093911,0.04988364,0.38073125,0.87718251,0.86181213,1.28479965,0.01591504,0.08471811
0.15307654,2.37739357,0.00098401,0.05388055,0.39587628,0.93109478,0.90257750,1.35286308,0.01719941,0.09263592
0.15907954,2.51052533,0.00103356,0.05800173,0.41080676,0.98786757,0.94299633,1.42298746,0.01850055,0.10122112
0.16508254,2.64634842,0.00108623,0.06221728,0.42527776,1.04690543,0.98243296,1.49433855,0.01980347,0.11040125
0.17108554,2.78323036,0.00114060,0.06649318,0.43904756,1.10752599,1.02024989,1.56600892,0.02109197,0.12009042
0.17708854,2.91942471,0.00119534,0.07079135,0.45188183,1.16896733,1.05581907,1.63703175,0.02234877,0.13018939
0.18309155,3.05309551,0.00124918,0.07506986,0.46355763,1.23039808,1.08853331,1.70639658,0.02355594,0.14058615
0.18909455,3.18234558,0.00130096,0.07928331,0.47386725,1.29093028,1.11781763,1.77306702,0.02469515,0.15115687
0.19509755,3.30524827,0.00134957,0.08338331,0.48262166,1.34963471,1.14314034,1.83600010,0.02574811,0.16176740
0.20110055,3.41988254,0.00139400,0.08731920,0.48965371,1.40555875,1.16402353,1.89416673,0.02669702,0.17227517
0.20710355,3.52437037,0.00143331,0.09103888,0.49482087,1.45774628,1.18005297,1.94657318,0.02752500,0.18253157
0.21310655,3.61691619,0.00146668,0.09448981,0.49800761,1.50525919,1.19088696,1.99228275,0.02821659,0.19238469
0.21910955,3.69584696,0.00149338,0.09762010,0.49912734,1.54719990,1.19626406,2.03043739,0.02875819,0.20168241
0.22511256,3.75965206,0.00151282,0.10037982,0.49812380,1.58273424,1.19600939,2.06027845,0.02913851,0.21027576
0.23111556,3.80702160,0.00152453,0.10272219,0.49497202,1.61111385,1.19003939,2.08116606,0.02934892,0.21802240
0.23711856,3.83688187,0.00152817,0.10460496,0.48967870,1.63169728,1.17836474,2.09259654,0.02938380,0.22479013
0.24312156,3.84842668,0.00152358,0.10599162,0.48228204,1.64396890,1.16109142,2.09421716,0.02924073,0.23046034
0.24912456,3.84114321,0.00151071,0.10685263,0.47285097,1.64755498,1.13841980,2.08583783,0.02892067,0.23493123
