energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Te_p_up,Te_d_up
0.38719360,4.60160641,0.00569130,1.11173849,1.67211926,1.84290501,0.05890043,1.97497048,0.00000000
0.39319660,4.62033889,0.00556710,1.09467038,1.66629199,1.85473654,0.06228044,1.98315151,0.00000000
0.39919960,4.62899198,0.00546196,1.07636299,1.65606588,1.86250653,0.06596649,1.98603010,0.00000000
0.40520260,4.62601838,0.00537036,1.05651387,1.64108599,1.86543114,0.06993979,1.98329159,0.00000000
0.41120560,4.61031074,0.00528767,1.03490367,1.62115631,1.86291721,0.07418475,1.97479392,0.00000000
0.41720860,4.58123811,0.00521022,1.01140263,1.59624584,1.85458248,0.07869097,1.96057005,0.00000000
0.42321161,4.53866396,0.00513530,0.98597338,1.56648836,1.84026698,0.08345501,1.94082464,0.00000000
0.42921461,4.48294486,0.00506127,0.95867021,1.53217602,1.82003511,0.08848181,1.91592522,0.00000000
0.43521761,4.41491001,0.00498747,0.92963482,1.49374692,1.79416836,0.09378573,1.88638801,0.00000000
0.44122061,4.33582273,0.00491425,0.89908901,1.45176744,1.76314923,0.09939094,1.85285891,0.00000000
0.44722361,4.24732522,0.00484286,0.86732450,1.40690986,1.72763686,0.10533125,1.81609028,0.00000000
0.45322661,4.15136928,0.00477538,0.83469068,1.35992650,1.68843592,0.11164918,1.77691417,0.00000000
0.45922961,4.05013581,0.00471455,0.80158049,1.31162118,1.64645985,0.11839429,1.73621310,0.00000000
0.46523262,3.94594647,0.00466371,0.76841534,1.26281945,1.60269056,0.12562080,1.69488914,0.00000000
0.47123562,3.84117139,0.00462658,0.73562954,1.21433862,1.55813607,0.13338450,1.65383269,0.00000000
0.47723862,3.73813661,0.00460711,0.70365489,1.16695895,1.51378832,0.14173906,1.61389184,0.00000000
0.48324162,3.63903530,0.00460932,0.67290601,1.12139706,1.47058288,0.15073193,1.57584371,0.00000000
0.48924462,3.54584620,0.00463714,0.64376698,1.07828257,1.42936228,0.16039989,1.54036870,0.00000000
0.49524762,3.46026272,0.00469425,0.61657966,1.03813892,1.39084460,0.17076460,1.50802871,0.00000000
0.50125063,3.38363532,0.00478391,0.59163415,1.00136898,1.35559845,0.18182828,1.47925020,0.00000000
0.50725363,3.31692925,0.00490888,0.56916151,0.96824587,1.32402541,0.19356982,1.45431280,0.00000000
0.51325663,3.26069918,0.00507127,0.54932899,0.93890925,1.29635027,0.20594155,1.43334369,0.00000000
0.51925963,3.21508109,0.00527248,0.53223767,0.91336697,1.27261937,0.21886696,1.41631818,0.00000000
0.52526263,3.17980138,0.00551314,0.51792251,0.89150185,1.25270675,0.23223950,1.40306614,0.00000000
0.53126563,3.15420211,0.00579308,0.50635462,0.87308311,1.23632750,0.24592267,1.39328400,0.00000000
0.53726863,3.13728090,0.00611135,0.49744535,0.85778164,1.22305745,0.25975153,1.38655171,0.00000000
0.54327164,3.12774293,0.00646623,0.49105202,0.84518847,1.21235796,0.27353565,1.38235359,0.00000000
0.54927464,3.12406272,0.00685535,0.48698490,0.83483538,1.20360452,0.28706347,1.38010237,0.00000000
0.55527764,3.12455230,0.00727576,0.48501494,0.82621671,1.19611766,0.30010799,1.37916492,0.00000000
0.56128064,3.12743298,0.00772409,0.48488206,0.81881143,1.18919467,0.31243361,1.37888875,0.00000000
0.56728364,3.13090724,0.00819675,0.48630347,0.81210444,1.18214074,0.32380389,1.37862799,0.00000000
0.57328664,3.13322807,0.00869010,0.48898192,0.80560644,1.17429803,0.33398985,1.37776770,0.00000000
0.57928964,3.13276292,0.00920078,0.49261348,0.79887138,1.16507174,0.34277862,1.37574574,0.00000000
0.58529265,3.12805011,0.00972593,0.49689477,0.79151124,1.15395203,0.34998189,1.37207127,0.00000000
0.59129565,3.11784596,0.01026354,0.50152952,0.78320752,1.14053135,0.35544394,1.36633945,0.00000000
