energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-5.33966983,5.31528950,0.04762430,0.57090529,0.22145461,0.24087632,3.32071716,2.30699531,0.06326585,2.70771569
-5.33366683,5.45907205,0.04892864,0.58061989,0.22852987,0.24860879,3.40481854,2.36695537,0.06445969,2.79118809
-5.32766383,5.59720794,0.05012043,0.58947140,0.23575860,0.25624857,3.48426704,2.42394023,0.06550467,2.87267575
-5.32166083,5.72921598,0.05118828,0.59746956,0.24314080,0.26376306,3.55883970,2.47775247,0.06639857,2.95181356
-5.31565783,5.85483982,0.05212343,0.60465807,0.25068021,0.27112057,3.62845507,2.52833275,0.06714358,3.02832028
-5.30965483,5.97403919,0.05292005,0.61111178,0.25838354,0.27828960,3.69316523,2.57575670,0.06774616,3.10199752
-5.30365183,6.08697100,0.05357544,0.61693232,0.26625958,0.28523817,3.75314173,2.62022544,0.06821674,3.17272504
-5.29764882,6.19396140,0.05409019,0.62224237,0.27431822,0.29193302,3.80865620,2.66204992,0.06856933,3.24045250
-5.29164582,6.29547012,0.05446811,0.62717885,0.28256940,0.29833905,3.86005689,2.70162990,0.06882090,3.30518804
-5.28564282,6.39204898,0.05471610,0.63188544,0.29102202,0.30441884,3.90774224,2.73942831,0.06899073,3.36698458
-5.27963982,6.48429651,0.05484384,0.63650472,0.29968294,0.31013250,3.95213311,2.77594237,0.06909960,3.42592427
-5.27363682,6.57281094,0.05486341,0.64117046,0.30855605,0.31543778,3.99364475,2.81167248,0.06916889,3.48210203
-5.26763382,6.65814366,0.05478874,0.64600025,0.31764138,0.32029046,4.03266019,2.84709047,0.06921969,3.53560886
-5.26163082,6.74075536,0.05463499,0.65108894,0.32693444,0.32464520,4.06950585,2.88260865,0.06927184,3.58651582
-5.25562781,6.82097681,0.05441793,0.65650322,0.33642560,0.32845656,4.10443070,2.91855084,0.06934306,3.63485920
-5.24962481,6.89897587,0.05415321,0.66227735,0.34609968,0.33168036,4.13758942,2.95512711,0.06944810,3.68062775
-5.24362181,6.97473221,0.05385570,0.66841047,0.35593562,0.33427520,4.16903039,2.99241298,0.06959802,3.72375230
-5.23761881,7.04802074,0.05353886,0.67486543,0.36590627,0.33620405,4.19868850,3.03033443,0.06979963,3.76409829
-5.23161581,7.11840440,0.05321415,0.68156913,0.37597826,0.33743587,4.22638312,3.06865934,0.07005504,3.80146155
-5.22561281,7.18523657,0.05289063,0.68841448,0.38611196,0.33794712,4.25182090,3.10699575,0.07036150,3.83556740
-5.21960980,7.24767307,0.05257464,0.69526373,0.39626145,0.33772303,4.27460325,3.14479747,0.07071136,3.86607329
-5.21360680,7.30469311,0.05226959,0.70195311,0.40637460,0.33675860,4.29423802,3.18137664,0.07109228,3.89257469
-5.20760380,7.35512867,0.05197605,0.70829850,0.41639312,0.33505922,4.31015491,3.21592302,0.07148768,3.91461435
-5.20160080,7.39770099,0.05169185,0.71410203,0.42625270,0.33264091,4.32172401,3.24752936,0.07187737,3.93169442
-5.19559780,7.43106300,0.05141244,0.71915921,0.43588322,0.32953012,4.32827687,3.27522181,0.07223829,3.94329113
-5.18959480,7.45384604,0.05113131,0.72326642,0.44520899,0.32576305,4.32912939,3.29799436,0.07254549,3.94887169
-5.18359180,7.46470929,0.05084061,0.72622848,0.45414924,0.32138469,4.32360589,3.31484580,0.07277316,3.94791260
-5.17758879,7.46239002,0.05053175,0.72786598,0.46261859,0.31644747,4.31106364,3.32481785,0.07289572,3.93991909
-5.17158579,7.44575283,0.05019613,0.72802221,0.47052784,0.31100962,4.29091717,3.32703289,0.07288888,3.92444470
-5.16558279,7.41383621,0.04982579,0.72656927,0.47778488,0.30513349,4.26266152,3.32072968,0.07273076,3.90111059
-5.15957979,7.36589445,0.04941413,0.72341343,0.48429589,0.29888364,4.22589389,3.30529571,0.07240280,3.86962366
-5.15357679,7.30143362,0.04895643,0.71849921,0.48996671,0.29232516,4.18033287,3.28029480,0.07189061,3.82979294
-5.14757379,7.22024003,0.04845033,0.71181237,0.49470451,0.28552194,4.12583471,3.24548882,0.07118460,3.78154357
-5.14157079,7.12240044,0.04789622,0.70338148,0.49841962,0.27853530,4.06240600,3.20085262,0.07028046,3.72492777
-5.13556778,7.00831296,0.04729731,0.69327815,0.50102762,0.27142281,3.99021231,3.14658179,0.06917941,3.66013245
-5.12956478,6.87868874,0.04665974,0.68161586,0.50245149,0.26423750,3.90958253,3.08309275,0.06788815,3.58748316
-5.12356178,6.73454408,0.04599233,0.66854747,0.50262397,0.25702745,3.82100866,3.01101543,0.06641870,3.50744399
-5.11755878,6.57718384,0.04530629,0.65426159,0.50148985,0.24983569,3.72514112,2.93117901,0.06478799,3.42061383
-5.11155578,6.40817670,0.04461476,0.63897779,0.49900833,0.24270058,3.62277963,2.84459119,0.06301723,3.32771870
-5.10555278,6.22932340,0.04393215,0.62294105,0.49515523,0.23565646,3.51486028,2.75241222,0.06113116,3.22960086
-5.09954977,6.04261957,0.04327353,0.60641553,0.48992502,0.22873460,3.40243895,2.65592470,0.05915725,3.12720478
-5.09354677,5.85021441,0.04265386,0.58967797,0.48333265,0.22196444,3.28667209,2.55650038,0.05712475,3.02156085
-5.08754377,5.65436697,0.04208726,0.57301089,0.47541498,0.21537494,3.16879541,2.45556546,0.05506375,2.91376719
-5.08154077,5.45740167,0.04158631,0.55669601,0.46623189,0.20899607,3.05010132,2.35456556,0.05300433,2.80497031
-5.07553777,5.26166450,0.04116139,0.54100788,0.45586692,0.20286029,2.93191607,2.25493171,0.05097564,2.69634536
-5.06953477,5.06948123,0.04082019,0.52620817,0.44442741,0.19700393,2.81557725,2.15804839,0.04900523,2.58907640
-5.06353177,4.88311886,0.04056729,0.51254053,0.43204411,0.19146845,2.70241241,2.06522466,0.04711840,2.48433744
-5.05752876,4.70475102,0.04040395,0.50022640,0.41887020,0.18630145,2.59371951,1.97766898,0.04533771,2.38327456
-5.05152576,4.53642802,0.04032802,0.48946172,0.40507983,0.18155740,2.49074944,1.89646843,0.04368270,2.28698962
-5.04552276,4.38005176,0.04033405,0.48041454,0.39086598,0.17729796,2.39469116,1.82257246,0.04216966,2.19652572
-5.03951976,4.23735558,0.04041360,0.47322365,0.37643789,0.17359196,2.30665931,1.75678133,0.04081168,2.11285459
-5.03351676,4.10988879,0.04055564,0.46799810,0.36201791,0.17051494,2.22768456,1.69973924,0.03961863,2.03686604
-5.02751376,3.99900561,0.04074713,0.46481755,0.34783795,0.16814819,2.15870621,1.65193169,0.03859747,1.96935928
-5.02151076,3.90585784,0.04097366,0.46373334,0.33413552,0.16657739,2.10056695,1.61368694,0.03775245,1.91103609
-5.01550775,3.83139071,0.04122021,0.46477013,0.32114950,0.16589086,2.05400922,1.58518080,0.03708548,1.86249571
-5.00950475,3.77634132,0.04147188,0.46792804,0.30911562,0.16617734,2.01967283,1.56644453,0.03659643,1.82423110
-5.00350175,3.74123890,0.04171466,0.47318496,0.29826189,0.16752347,1.99809325,1.55737497,0.03628353,1.79662642
-4.99749875,3.72640635,0.04193607,0.48049913,0.28880401,0.17001103,1.98970008,1.55774649,0.03614363,1.77995549
-4.99149575,3.73196258,0.04212585,0.48981157,0.28094073,0.17371395,1.99481541,1.56722411,0.03617248,1.77438099
-4.98549275,3.75782513,0.04227636,0.50104842,0.27484957,0.17869522,2.01365155,1.58537718,0.03636496,1.77995409
-4.97948974,3.80371285,0.04238303,0.51412302,0.27068266,0.18500388,2.04630804,1.61169330,0.03671515,1.79661455
-4.97348674,3.86914847,0.04244449,0.52893759,0.26856301,0.19267204,2.09276775,1.64559174,0.03721643,1.82419098
-4.96748374,3.95346108,0.04246265,0.54538453,0.26858126,0.20171221,2.15289222,1.68643628,0.03786146,1.86240131
-4.96148074,4.05578853,0.04244257,0.56334731,0.27079296,0.21211494,2.22641625,1.73354695,0.03864205,1.91085336
-4.95547774,4.17508021,0.04239220,0.58270083,0.27521644,0.22384695,2.31294232,1.78621057,0.03954909,1.96904577
-4.94947474,4.31010042,0.04232200,0.60331159,0.28183149,0.23684980,2.41193513,1.84368996,0.04057236,2.03636923
-4.94347174,4.45943297,0.04224441,0.62503737,0.29057864,0.25103924,2.52271691,1.90523175,0.04170036,2.11210835
-4.93746873,4.62148744,0.04217333,0.64772684,0.30135941,0.26630525,2.64446417,1.97007293,0.04292016,2.19544439
-4.93146573,4.79450783,0.04212343,0.67121909,0.31403730,0.28251292,2.77620652,2.03744621,0.04421725,2.28545913
-4.92546273,4.97658417,0.04210962,0.69534324,0.32843971,0.29950398,2.91682836,2.10658458,0.04557545,2.38114030
-4.91945973,5.16566762,0.04214638,0.71991829,0.34436065,0.31709932,3.06507391,2.17672509,0.04697691,2.48138881
-4.91345673,5.35958965,0.04224725,0.74475328,0.36156439,0.33510201,3.21955623,2.24711252,0.04840215,2.58502817
-4.90745373,5.55608543,0.04242436,0.76964804,0.37978978,0.35330122,3.37877057,2.31700298,0.04983024,2.69081637
-4.90145073,5.75282184,0.04268809,0.79439442,0.39875537,0.37147655,3.54111216,2.38566801,0.05123897,2.79746028
-4.89544772,5.94742978,0.04304679,0.81877820,0.41816506,0.38940287,3.70489842,2.45239923,0.05260524,2.90363286
-4.88944472,6.13754062,0.04350671,0.84258157,0.43771430,0.40685547,3.86839538,2.51651402,0.05390539,3.00799289
-4.88344172,6.32082600,0.04407196,0.86558628,0.45709650,0.42361525,4.02984758,2.57736211,0.05511576,3.10920716
-4.87743872,6.49504031,0.04474460,0.88757718,0.47600966,0.43947398,4.18751084,2.63433321,0.05621312,3.20597468
-4.87143572,6.65806453,0.04552490,0.90834621,0.49416289,0.45423919,4.33968681,2.68686561,0.05717528,3.29705231
-4.86543272,6.80795016,0.04641152,0.92769651,0.51128271,0.46773875,4.48475817,2.73445542,0.05798163,3.38128125
-4.85942971,6.94296168,0.04740193,0.94544660,0.52711885,0.47982486,4.62122317,2.77666608,0.05861373,3.45761335
-4.85342671,7.06161602,0.04849266,0.96143425,0.54144949,0.49037728,4.74772822,2.81313791,0.05905576,3.52513645
-4.84742371,7.16271731,0.04967970,0.97552005,0.55408558,0.49930583,4.86309727,2.84359684,0.05929504,3.58309764
-4.84142071,7.24538541,0.05095877,0.98759031,0.56487436,0.50655193,4.96635669,2.86786208,0.05932238,3.63092357
-4.83541771,7.30907692,0.05232557,0.99755923,0.57370172,0.51208924,5.05675467,2.88585202,0.05913238,3.66823657
-4.82941471,7.35359732,0.05377596,1.00537021,0.58049350,0.51592340,5.13377435,2.89758783,0.05872361,3.69486597
-4.82341171,7.37910377,0.05530607,1.01099629,0.58521574,0.51809088,5.19714017,2.90319444,0.05809867,3.71085382
-4.81740870,7.38609784,0.05691226,1.01443966,0.58787372,0.51865695,5.24681706,2.90289843,0.05726415,3.71645433
-4.81140570,7.37540829,0.05859107,1.01573024,0.58851009,0.51771310,5.28300283,2.89702279,0.05623045,3.71212706
-4.80540270,7.34816443,0.06033901,1.01492364,0.58720206,0.51537373,5.30611389,2.88597844,0.05501152,3.69852352
-4.79939970,7.30576065,0.06215231,1.01209843,0.58405785,0.51177252,5.31676512,2.87025275,0.05362449,3.67646779
-4.79339670,7.24981367,0.06402665,1.00735300,0.57921256,0.50705850,5.31574488,2.85039525,0.05208917,3.64693140
-4.78739370,7.18211376,0.06595675,1.00080223,0.57282361,0.50139202,5.30398605,2.82700127,0.05042760,3.61100356
-4.78139070,7.10457198,0.06793608,0.99257403,0.56506604,0.49494073,5.28253459,2.80069381,0.04866342,3.56985761
-4.77538769,7.01916531,0.06995652,0.98280613,0.55612764,0.48787574,5.25251672,2.77210465,0.04682128,3.52471497
-4.76938469,6.92788168,0.07200804,0.97164311,0.54620437,0.48036810,5.21510601,2.74185536,0.04492629,3.47680803
-4.76338169,6.83266703,0.07407850,0.95923379,0.53549590,0.47258556,5.17149163,2.71053908,0.04300335,3.42734319
-4.75737869,6.73537610,0.07615355,0.94572919,0.52420162,0.46468989,5.12284873,2.67870377,0.04107667,3.37746566
-4.75137569,6.63772878,0.07821657,0.93128093,0.51251702,0.45683452,5.07031182,2.64683783,0.03916924,3.32822720
-4.74537269,6.54127323,0.08024881,0.91604005,0.50063060,0.44916279,5.01495170,2.61535859,0.03730239,3.28055802
-4.73936968,6.44735699,0.08222959,0.90015636,0.48872128,0.44180659,4.95775656,2.58460420,0.03549540,3.23524391
-4.73336668,6.35710650,0.08413669,0.88377794,0.47695622,0.43488540,4.89961720,2.55482922,0.03376524,3.19290911
-4.72736368,6.27141550,0.08594678,0.86705091,0.46548921,0.42850579,4.84131650,2.52620409,0.03212637,3.15400577
-4.72136068,6.19094207,0.08763604,0.85011924,0.45445928,0.42276115,4.78352292,2.49881845,0.03059059,3.11880977
-4.71535768,6.11611389,0.08918075,0.83312442,0.44398973,0.41773175,4.72678763,2.47268794,0.02916699,3.08742322
-4.70935468,6.04714094,0.09055805,0.81620504,0.43418740,0.41348489,4.67154491,2.44776424,0.02786201,3.05978294
