energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-4.61930965,1.05325873,0.00776885,0.01029166,0.25697410,0.49173142,0.42386556,0.00000000
-4.61330665,1.02711757,0.00763803,0.00945074,0.25035907,0.47995421,0.41357533,0.00000000
-4.60730365,0.99818122,0.00745760,0.00871585,0.24276594,0.46796529,0.40124755,0.00000000
-4.60130065,0.96665950,0.00723083,0.00807785,0.23425156,0.45582837,0.38700460,0.00000000
-4.59529765,0.93288373,0.00696195,0.00753000,0.22490285,0.44366008,0.37101980,0.00000000
-4.58929465,0.89728976,0.00665598,0.00706806,0.21483277,0.43162151,0.35351101,0.00000000
-4.58329165,0.86039686,0.00631859,0.00669034,0.20417541,0.41990751,0.33473247,0.00000000
-4.57728864,0.82278372,0.00595588,0.00639763,0.19308033,0.40873463,0.31496579,0.00000000
-4.57128564,0.78506285,0.00557418,0.00619309,0.18170662,0.39832818,0.29451025,0.00000000
-4.56528264,0.74785486,0.00517988,0.00608204,0.17021684,0.38890943,0.27367300,0.00000000
-4.55927964,0.71176377,0.00477924,0.00607173,0.15877122,0.38068340,0.25275970,0.00000000
-4.55327664,0.67735473,0.00437819,0.00617106,0.14752238,0.37382815,0.23206574,0.00000000
-4.54727364,0.64513501,0.00398224,0.00639021,0.13661075,0.36848590,0.21186875,0.00000000
-4.54127064,0.61553909,0.00359632,0.00674028,0.12616088,0.36475672,0.19242219,0.00000000
-4.53526763,0.58891842,0.00322473,0.00723287,0.11627882,0.36269482,0.17395061,0.00000000
-4.52926463,0.56553605,0.00287106,0.00787959,0.10705045,0.36230785,0.15664637,0.00000000
-4.52326163,0.54556615,0.00253818,0.00869168,0.09854100,0.36355905,0.14066789,0.00000000
-4.51725863,0.52909821,0.00222825,0.00967941,0.09079548,0.36637216,0.12613943,0.00000000
-4.51125563,0.51614544,0.00194272,0.01085166,0.08384003,0.37063890,0.11315212,0.00000000
-4.50525263,0.50665664,0.00168242,0.01221541,0.07768411,0.37622837,0.10176622,0.00000000
-4.49924962,0.50053090,0.00144763,0.01377525,0.07232329,0.38299805,0.09201424,0.00000000
-4.49324662,0.49763415,0.00123810,0.01553302,0.06774242,0.39080565,0.08390486,0.00000000
-4.48724362,0.49781655,0.00105321,0.01748743,0.06391915,0.39952120,0.07742729,0.00000000
-4.48124062,0.50092993,0.00089205,0.01963382,0.06082756,0.40903866,0.07255596,0.00000000
-4.47523762,0.50684427,0.00075345,0.02196403,0.05844164,0.41928636,0.06925534,0.00000000
-4.46923462,0.51546240,0.00063616,0.02446642,0.05673862,0.43023563,0.06748468,0.00000000
-4.46323162,0.52673215,0.00053886,0.02712600,0.05570196,0.44190706,0.06720251,0.00000000
-4.45722861,0.54065544,0.00046027,0.02992484,0.05532380,0.45437397,0.06837089,0.00000000
-4.45122561,0.55729379,0.00039921,0.03284250,0.05560698,0.46776268,0.07095918,0.00000000
-4.44522261,0.57676997,0.00035466,0.03585677,0.05656635,0.48224949,0.07494732,0.00000000
-4.43921961,0.59926571,0.00032578,0.03894450,0.05822955,0.49805430,0.08032849,0.00000000
