energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-4.72736368,2.03271940,0.00298956,0.05731416,0.39599271,1.12774179,0.21188156,0.77943169,0.17436361,0.00000000
-4.72136068,2.01258162,0.00285262,0.05583283,0.40417380,1.12914867,0.21066854,0.75864573,0.17047616,0.00000000
-4.71535768,2.00658144,0.00271817,0.05492391,0.41585612,1.13959748,0.21139233,0.74163907,0.16795370,0.00000000
-4.70935468,2.01494475,0.00258891,0.05457816,0.43090784,1.15897411,0.21401069,0.72879851,0.16686206,0.00000000
-4.70335168,2.03765198,0.00246750,0.05477923,0.44914643,1.18699122,0.21846154,0.72044476,0.16725197,0.00000000
-4.69734867,2.07443253,0.00235642,0.05550381,0.47034257,1.22319124,0.22466371,0.71682239,0.16915660,0.00000000
-4.69134567,2.12476487,0.00225793,0.05672208,0.49422493,1.26695340,0.23251813,0.71809167,0.17258949,0.00000000
-4.68534267,2.18788279,0.00217402,0.05839825,0.52048582,1.31750477,0.24190958,0.72432217,0.17754287,0.00000000
-4.67933967,2.26278777,0.00210636,0.06049140,0.54878743,1.37393521,0.25270899,0.73548883,0.18398670,0.00000000
-4.67333667,2.34826739,0.00205620,0.06295646,0.57876860,1.43521601,0.26477618,0.75147031,0.19186829,0.00000000
-4.66733367,2.44291927,0.00202443,0.06574537,0.61005171,1.50022173,0.27796307,0.77204970,0.20111263,0.00000000
