energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-5.35167584,2.88480300,0.04296608,0.29876253,0.12393035,0.85267743,1.03624975,0.03178669,1.37621622
-5.34567284,2.98055406,0.03800709,0.32010935,0.12959700,0.92786090,1.07541150,0.03272744,1.40510505
-5.33966983,3.09156858,0.03345975,0.34316626,0.13602452,1.00981477,1.11950344,0.03377566,1.44136221
-5.33366683,3.21794233,0.02932822,0.36794152,0.14319661,1.09852368,1.16842737,0.03493908,1.48510553
-5.32766383,3.35943080,0.02560934,0.39440629,0.15107360,1.19384621,1.22195932,0.03622302,1.53629676
-5.32166083,3.51544586,0.02229349,0.42249283,0.15959179,1.29550966,1.27975077,0.03763020,1.59474084
-5.31565783,3.68506260,0.01936556,0.45209388,0.16866360,1.40310866,1.34133410,0.03916062,1.66008945
-5.30965483,3.86703611,0.01680591,0.48306338,0.17817865,1.51610745,1.40613193,0.04081152,1.73184862
-5.30365183,4.05982735,0.01459145,0.51521834,0.18800589,1.63384604,1.47346995,0.04257745,1.80938998
-5.29764882,4.26163700,0.01269655,0.54834198,0.19799647,1.75554978,1.54259300,0.04445035,1.89196512
-5.29164582,4.47044578,0.01109396,0.58218782,0.20798760,1.88034198,1.61268341,0.04641975,1.97872241
-5.28564282,4.68405948,0.00975568,0.61648457,0.21780692,2.00725890,1.68288111,0.04847298,2.06872548
-5.27963982,4.90015677,0.00865368,0.65094161,0.22727753,2.13526654,1.75230461,0.05059541,2.16097257
-5.27363682,5.11633795,0.00776049,0.68525484,0.23622321,2.26327833,1.82007197,0.05277080,2.25441605
-5.26763382,5.33017261,0.00704975,0.71911263,0.24447385,2.39017313,1.88532109,0.05498152,2.34798130
-5.26163082,5.53924483,0.00649655,0.75220164,0.25187059,2.51481268,1.94722855,0.05720892,2.44058437
-5.25562781,5.74119450,0.00607777,0.78421238,0.25827080,2.63605811,2.00502645,0.05943363,2.53114801
-5.24962481,5.93375380,0.00577221,0.81484433,0.26355230,2.75278495,2.05801688,0.06163584,2.61861580
-5.24362181,6.11477869,0.00556071,0.84381060,0.26761704,2.86389654,2.10558373,0.06379567,2.70196419
-5.23761881,6.28227507,0.00542615,0.87084203,0.27039370,2.96833570,2.14720177,0.06589343,2.78021277
-5.23161581,6.43442032,0.00535341,0.89569083,0.27183954,3.06509492,2.18244319,0.06791001,2.85243291
-5.22561281,6.56958102,0.00532927,0.91813390,0.27194106,3.15322539,2.21098178,0.06982716,2.91775523
-5.21960980,6.68632767,0.00534230,0.93797573,0.27071376,3.23184537,2.23259508,0.07162793,2.97537657
-5.21360680,6.78344791,0.00538270,0.95505132,0.26820095,3.30014828,2.24716507,0.07329703,3.02456684
-5.20760380,6.85995915,0.00544215,0.96922897,0.26447164,3.35741127,2.25467762,0.07482126,3.06467649
-5.20160080,6.91512173,0.00551369,0.98041325,0.25961776,3.40300455,2.25522131,0.07619002,3.09514485
-5.19559780,6.94845326,0.00559154,0.98854806,0.25375082,3.43640177,2.24898579,0.07739573,3.11550984
