energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-0.62731366,1.73441357,0.00174520,0.52843872,0.02399477,0.62245732,0.96362044,0.03446956,0.18230387
-0.62131066,1.72503296,0.00160397,0.53393988,0.02217460,0.62106074,0.95460230,0.03375358,0.17698850
-0.61530765,1.73806765,0.00146777,0.54643662,0.02056809,0.62861778,0.95814836,0.03341530,0.17401122
-0.60930465,1.77491811,0.00133801,0.56642722,0.01917927,0.64558571,0.97499436,0.03348065,0.17347988
-0.60330165,1.83665432,0.00121589,0.59430169,0.01800938,0.67230414,1.00569564,0.03396917,0.17547079
-0.59729865,1.92396494,0.00110241,0.63032269,0.01705675,0.70897702,1.05060096,0.03489319,0.18002510
-0.59129565,2.03710909,0.00099835,0.67460749,0.01631677,0.75565533,1.10982767,0.03625696,0.18714541
-0.58529265,2.17587313,0.00090422,0.72711167,0.01578189,0.81222113,1.18323951,0.03805602,0.19679274
-0.57928964,2.33953462,0.00082033,0.78761543,0.01544162,0.87837387,1.27042809,0.04027661,0.20888388
-0.57328664,2.52683590,0.00074675,0.85571332,0.01528267,0.95362012,1.37069954,0.04289539,0.22328961
-0.56728364,2.73596974,0.00068333,0.93080832,0.01528907,1.03726735,1.48306736,0.04587922,0.23983367
-0.56128064,2.96457917,0.00062975,1.01211099,0.01544245,1.12842300,1.60625287,0.04918535,0.25829300
-0.55527764,3.20977352,0.00058550,1.09864446,0.01572229,1.22599936,1.73869411,0.05276179,0.27839914
-0.54927464,3.46816193,0.00054993,1.18925564,0.01610633,1.32872493,1.87856396,0.05654804,0.29984120
-0.54327164,3.73590517,0.00052226,1.28263303,0.01657095,1.43516261,2.02379784,0.06047607,0.32227019
-0.53726863,4.00878555,0.00050163,1.37733109,0.01709169,1.54373468,2.17213096,0.06447166,0.34530503
-0.53126563,4.28229422,0.00048712,1.47180085,0.01764375,1.65275429,2.32114462,0.06845599,0.36854000
-0.52526263,4.55173382,0.00047777,1.56442608,0.01820253,1.76046274,2.46832043,0.07234751,0.39155352
-0.51925963,4.81233378,0.00047259,1.65356421,0.01874423,1.86507157,2.61110117,0.07606396,0.41391818
-0.51325663,5.05937467,0.00047062,1.73759048,0.01924639,1.96480814,2.74695615,0.07952458,0.43521153
-0.50725363,5.28831736,0.00047093,1.81494411,0.01968841,2.05796297,2.87344889,0.08265240,0.45502755
-0.50125063,5.49493206,0.00047266,1.88417462,0.02005208,2.14293724,2.98830449,0.08537640,0.47298811
-0.49524762,5.67542235,0.00047498,1.94398650,0.02032201,2.21828833,3.08947413,0.08763374,0.48875425
-0.48924462,5.82653906,0.00047719,1.99328056,0.02048600,2.28277172,3.17519390,0.08937162,0.50203669
-0.48324162,5.94567935,0.00047866,2.03119020,0.02053527,2.33537745,3.24403559,0.09054903,0.51260524
-0.47723862,6.03096683,0.00047887,2.05711106,0.02046472,2.37535949,3.29494730,0.09113802,0.52029668
-0.47123562,6.08130936,0.00047742,2.07072293,0.02027292,2.40225698,3.32728211,0.09112467,0.52502083
-0.46523262,6.09643233,0.00047400,2.07200295,0.01996212,2.41590642,3.34081374,0.09050960,0.52676455
-0.45922961,6.07688626,0.00046844,2.06122972,0.01953812,2.41644450,3.33573878,0.08930794,0.52559359
-0.45322661,6.02402873,0.00046066,2.03897812,0.01900997,2.40430154,3.31266541,0.08754898,0.52165211
-0.44722361,5.93998197,0.00045070,2.00610535,0.01838971,2.38018622,3.27258974,0.08527525,0.51516006
-0.44122061,5.82756832,0.00043867,1.96372880,0.01769194,2.34506223,3.21686081,0.08254129,0.50640845
-0.43521761,5.69022688,0.00042478,1.91319674,0.01693334,2.30011847,3.14713622,0.07941201,0.49575283
-0.42921461,5.53191498,0.00040932,1.85605326,0.01613223,2.24673375,3.06533052,0.07596087,0.48360501
-0.42321161,5.35699890,0.00039262,1.79399866,0.01530795,2.18643801,2.97355869,0.07226773,0.47042368
-0.41720860,5.17013793,0.00037506,1.72884686,0.01448044,2.12087133,2.87407703,0.06841674,0.45670382
-0.41120560,4.97616616,0.00035706,1.66248130,0.01366963,2.05174237,2.76922372,0.06449406,0.44296558
-0.40520260,4.77997538,0.00033904,1.59681041,0.01289499,1.98078751,2.66136104,0.06058569,0.42974259
-0.39919960,4.58640266,0.00032144,1.53372406,0.01217503,1.90973176,2.55282095,0.05677543,0.41757022
-0.39319660,4.40012470,0.00030467,1.47505163,0.01152692,1.84025228,2.44585516,0.05314293,0.40697369
-0.38719360,4.22556086,0.00028912,1.42252255,0.01096608,1.77394494,2.34259055,0.04976198,0.39845647
-0.38119060,4.06678593,0.00027516,1.37772967,0.01050584,1.71229433,2.24499038,0.04669903,0.39248888
-0.37518759,3.92745284,0.00026308,1.34209586,0.01015724,1.65664695,2.15482128,0.04401197,0.38949706
-0.36918459,3.81072554,0.00025315,1.31684384,0.00992871,1.60818785,2.07362570,0.04174910,0.38985245
-0.36318159,3.71922154,0.00024557,1.30296950,0.00982599,1.56792012,2.00269961,0.03994842,0.39386171
-0.35717859,3.65496382,0.00024046,1.30121864,0.00985194,1.53664726,1.94307470,0.03863708,0.40175739
-0.35117559,3.61934174,0.00023789,1.31206740,0.01000652,1.51495819,1.89550478,0.03783111,0.41368940
-0.34517259,3.61308102,0.00023786,1.33570661,0.01028677,1.50321492,1.86045608,0.03753528,0.42971749
-0.33916958,3.63622306,0.00024029,1.37203036,0.01068681,1.50154299,1.83810108,0.03774324,0.44980511
