energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-5.60980490,0.42761820,0.09401812,0.00000000,0.03862640,0.15538608,0.00203130,0.09739035
-5.60380190,0.41619226,0.09181103,0.00000000,0.03962857,0.15320115,0.00216870,0.09406884
-5.59779890,0.40465838,0.08970591,0.00000000,0.04108342,0.15156181,0.00234462,0.09052214
-5.59179590,0.39355775,0.08782826,0.00000000,0.04309614,0.15071677,0.00256792,0.08685517
-5.58579290,0.38347369,0.08631597,0.00000000,0.04578291,0.15094141,0.00284843,0.08317824
-5.57978989,0.37502051,0.08531688,0.00000000,0.04926943,0.15253323,0.00319694,0.07960474
-5.57378689,0.36883194,0.08498614,0.00000000,0.05368898,0.15580674,0.00362512,0.07624867
-5.56778389,0.36554909,0.08548341,0.00000000,0.05918014,0.16108774,0.00414540,0.07322233
-5.56178089,0.36580816,0.08697005,0.00000000,0.06588407,0.16870722,0.00477082,0.07063403
-5.55577789,0.37022819,0.08960611,0.00000000,0.07394147,0.17899476,0.00551489,0.06858593
-5.54977489,0.37939888,0.09354744,0.00000000,0.08348914,0.19227159,0.00639137,0.06717206
-5.54377189,0.39386869,0.09894271,0.00000000,0.09465631,0.20884338,0.00741402,0.06647648
-5.53776888,0.41413345,0.10593053,0.00000000,0.10756069,0.22899302,0.00859637,0.06657163
-5.53176588,0.44062553,0.11463672,0.00000000,0.12230449,0.25297325,0.00995138,0.06751696
-5.52576288,0.47370403,0.12517171,0.00000000,0.13897048,0.28099972,0.01149121,0.06935769
-5.51975988,0.51364589,0.13762814,0.00000000,0.15761819,0.31324437,0.01322684,0.07212391
-5.51375688,0.56063854,0.15207885,0.00000000,0.17828046,0.34982958,0.01516781,0.07582989
-5.50775388,0.61477403,0.16857512,0.00000000,0.20096052,0.39082322,0.01732189,0.08047365
-5.50175088,0.67604504,0.18714544,0.00000000,0.22562972,0.43623486,0.01969486,0.08603687
