energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.72386193,13.94521246,2.36893878,10.01310039,0.24937675,0.01988053,1.11772117,0.08153531,1.76783474
-5.71785893,13.81634504,2.36805428,9.89683698,0.24907728,0.02000989,1.11928253,0.08134080,1.76032745
-5.71185593,13.64115272,2.36186565,9.74700497,0.24762496,0.02005612,1.11638981,0.08078539,1.74701010
-5.70585293,13.41874146,2.34980923,9.56330892,0.24500729,0.02001635,1.10883171,0.07986669,1.72765715
-5.69984992,13.14920494,2.33146660,9.34614462,0.24123368,0.01988941,1.09648798,0.07859011,1.70218397
-5.69384692,12.83366074,2.30658313,9.09661765,0.23633570,0.01967590,1.07933582,0.07696871,1.67065276
-5.68784392,12.47425343,2.27508120,8.81653902,0.23036674,0.01937812,1.05745321,0.07502297,1.63327357
-5.68184092,12.07412380,2.23706725,8.50839759,0.22340113,0.01900009,1.03101881,0.07278029,1.59040053
-5.67583792,11.63734550,2.19283255,8.17531040,0.21553271,0.01854735,1.00030846,0.07027437,1.54252343
-5.66983492,11.16883168,2.14284756,7.82095282,0.20687295,0.01802684,0.96568836,0.06754434,1.49025509
-5.66383192,10.67421563,2.08775029,7.44947155,0.19754861,0.01744669,0.92760516,0.06463389,1.43431522
-5.65782891,10.15971077,2.02832928,7.06538417,0.18769907,0.01681596,0.88657343,0.06159022,1.37551142
-5.65182591,9.63195605,1.96550210,6.67346959,0.17747343,0.01614438,0.84316111,0.05846298,1.31471830
-5.64582291,9.09785343,1.90029042,6.27865411,0.16702745,0.01544211,0.79797336,0.05530321,1.25285552
-5.63981991,8.56440425,1.83379300,5.88589762,0.15652039,0.01471942,0.75163589,0.05216228,1.19086582
-5.63381691,8.03855099,1.76715762,5.50008461,0.14611201,0.01398648,0.70477808,0.04909091,1.12969375
-5.62781391,7.52703015,1.70155334,5.12592372,0.13595954,0.01325310,0.65801688,0.04613827,1.07026593
-5.62181091,7.03624134,1.63814414,4.76785927,0.12621502,0.01252856,0.61194196,0.04335120,1.01347352
-5.61580790,6.57213592,1.57806464,4.42999705,0.11702278,0.01182144,0.56710261,0.04077354,0.96015712
-5.60980490,6.14012768,1.52239878,4.11604585,0.10851730,0.01113950,0.52399686,0.03844559,0.91109461
-5.60380190,5.74502624,1.47216151,3.82927511,0.10082139,0.01048963,0.48306306,0.03640367,0.86699171
-5.59779890,5.39099260,1.42828391,3.57248826,0.09404468,0.00987784,0.44467395,0.03467981,0.82847531
-5.59179590,5.08151526,1.39160126,3.34801030,0.08828248,0.00930927,0.40913325,0.03330154,0.79608917
-5.58579290,4.81940394,1.36284388,3.15768785,0.08361489,0.00878825,0.37667465,0.03229172,0.77029161
